DOI	id	News Finding	Paper Finding	News Context	Paper Context	scores	field	split	final_score	source	News URL	text
10.1016/j.cub.2013.07.055	Biology_tweet_167	Darwin's dilemma resolved - high rates of evolution in Cambrian explosion consistent with natural selection: 	This study provides the first explicit estimates of rates of both phenotypic and molecular evolution during the Cambrian explosion, permitting illuminating comparisons with later Phanerozoic rates.	Darwin's dilemma resolved - high rates of evolution in Cambrian explosion consistent with natural selection: 	Phenotypic traits diverge at 1.17% pMyr in the early Cambrian, w83 the average rate for the remainder of the Phanerozoic (0.139% pMyr); molecular divergence is 0.204% pMyr, w93 the subsequent rate (0.021%). This study provides the first explicit estimates of rates of both phenotypic and molecular evolution during the Cambrian explosion, permitting illuminating comparisons with later Phanerozoic rates. The 4-and 5.5-fold increases in phenotypic and molecular evolutionary rates respectively provide quantitative support for the widespread view that evolutionary rates were elevated during the Cambrian explosion.	[4.0, 3.0, 5.0, 3.0]	Biology	val	3.75	tweets	378419209358700544	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Darwin\'s dilemma resolved - high rates of evolution in Cambrian explosion consistent with natural selection: ""><b>Finding A:</b></span> Darwin\'s dilemma resolved - high rates of evolution in Cambrian explosion consistent with natural selection: <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Phenotypic traits diverge at 1.17% pMyr in the early Cambrian, w83 the average rate for the remainder of the Phanerozoic (0.139% pMyr); molecular divergence is 0.204% pMyr, w93 the subsequent rate (0.021%). This study provides the first explicit estimates of rates of both phenotypic and molecular evolution during the Cambrian explosion, permitting illuminating comparisons with later Phanerozoic rates. The 4-and 5.5-fold increases in phenotypic and molecular evolutionary rates respectively provide quantitative support for the widespread view that evolutionary rates were elevated during the Cambrian explosion.""><b>Finding B:</b></span> This study provides the first explicit estimates of rates of both phenotypic and molecular evolution during the Cambrian explosion, permitting illuminating comparisons with later Phanerozoic rates.']"
10.1073/pnas.1504869112	Biology_116	The researchers found that study plots with lianas accumulated 76 percent less biomass over the experimental period due to reduced tree growth and increased tree death.	Lianas, per-unit biomass, have a much stronger competitive effect on trees than do other trees (3), and our findings appear to represent the unique effect of lianas on forest carbon dynamics and not merely the effect of biomass removal.	The researchers found that study plots with lianas accumulated 76 percent less biomass over the experimental period due to reduced tree growth and increased tree death. Extrapolating their results to tropical forests as a whole, the team calculated that lianas could potentially reduce long-term storage of carbon in tropical forests by one-third or more. The study will be useful in guiding scientists working to predict the trajectory of carbon storage as atmospheric concentrations rise, and it may help explain recent observations that the carbon storage capacity of tropical forests is declining.	Because biomass dynamics of lianas are included in the whole-forest estimates, our findings corroborate earlier research that lianas themselves do not compensate for the loss in tree biomass that they cause . Lianas, per-unit biomass, have a much stronger competitive effect on trees than do other trees (3), and our findings appear to represent the unique effect of lianas on forest carbon dynamics and not merely the effect of biomass removal. This point is confirmed by our inclusion of lianas in the biomass calculations in the control plots.	[4.0, 3.0, 5.0]	Biology	train	4.0	news	http://feedproxy.google.com/~r/TechnologyOrg/~3/PUyOGba13Ho/	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: The researchers found that study plots with lianas accumulated 76 percent less biomass over the experimental period due to reduced tree growth and increased tree death. Extrapolating their results to tropical forests as a whole, the team calculated that lianas could potentially reduce long-term storage of carbon in tropical forests by one-third or more. The study will be useful in guiding scientists working to predict the trajectory of carbon storage as atmospheric concentrations rise, and it may help explain recent observations that the carbon storage capacity of tropical forests is declining.""><b>Finding A:</b></span> The researchers found that study plots with lianas accumulated 76 percent less biomass over the experimental period due to reduced tree growth and increased tree death.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Because biomass dynamics of lianas are included in the whole-forest estimates, our findings corroborate earlier research that lianas themselves do not compensate for the loss in tree biomass that they cause . Lianas, per-unit biomass, have a much stronger competitive effect on trees than do other trees (3), and our findings appear to represent the unique effect of lianas on forest carbon dynamics and not merely the effect of biomass removal. This point is confirmed by our inclusion of lianas in the biomass calculations in the control plots.""><b>Finding B:</b></span> Lianas, per-unit biomass, have a much stronger competitive effect on trees than do other trees (3), and our findings appear to represent the unique effect of lianas on forest carbon dynamics and not merely the effect of biomass removal.']"
10.1016/j.stemcr.2018.03.019	Biology_41	X Chromosome Dosage Influences DNA Methylation Dynamics during Reprogramming to Mouse iPSCs.	Therefore, differences in DNA methylation correlate with the X chromosome status of iPSCs.	Note: material may have been edited for length and content. For further information, please contact the cited source. X Chromosome Dosage Influences DNA Methylation Dynamics during Reprogramming to Mouse iPSCs.	Specifically, iPSCs and ESCs clustered into two main groups ( Figure 1D ). Therefore, differences in DNA methylation correlate with the X chromosome status of iPSCs. These data suggested that the first principal component, which correlated with the number of active X chromosomes and captured the separation of XO/XY and XX ESCs/iPSCs as well as most variation in methylation ( Figure 1D ), corresponded to the previously described global difference in methylation between established male and female PSCs or XO and XX female PSCs (Choi et al., , 2017a .	[3.0, 2.0, 5.0, 4.0]	Biology	train	5.0	news	http://ct.moreover.com/?a=33847856937&p=1pl&v=1&x=vV_Dne2GAjTKIkp14dSTOw	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Note: material may have been edited for length and content. For further information, please contact the cited source. X Chromosome Dosage Influences DNA Methylation Dynamics during Reprogramming to Mouse iPSCs.""><b>Finding A:</b></span> X Chromosome Dosage Influences DNA Methylation Dynamics during Reprogramming to Mouse iPSCs.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Specifically, iPSCs and ESCs clustered into two main groups ( Figure 1D ). Therefore, differences in DNA methylation correlate with the X chromosome status of iPSCs. These data suggested that the first principal component, which correlated with the number of active X chromosomes and captured the separation of XO/XY and XX ESCs/iPSCs as well as most variation in methylation ( Figure 1D ), corresponded to the previously described global difference in methylation between established male and female PSCs or XO and XX female PSCs (Choi et al., , 2017a .""><b>Finding B:</b></span> Therefore, differences in DNA methylation correlate with the X chromosome status of iPSCs.']"
10.1038/ncomms4081	Biology_tweet_66	Synthetic self-propelled swimming bio-bots:  (powered by cardiomyocytes) 	The study thus provides a foundation for a new class of self-propelled, batch-fabricable, soft biological swimming machines.	Synthetic self-propelled swimming bio-bots:  (powered by cardiomyocytes) 	Although only cardiomyocytes are used as contractile cells in this work, the method is applicable to other homotypic cell types, such as optogenetic muscle cells for light-actuated swimming, or heterotypic cells types, such as turtle cardiomyocytes and fibroblasts for room temperature swimming, and neurons and muscle cells for sensing-based intelligent swimming. The study thus provides a foundation for a new class of self-propelled, batch-fabricable, soft biological swimming machines. The cross-section of the channel determines the shape of the PDMS filament.	[4.0, 4.0, 5.0, 5.0]	Biology	train	4.5	tweets	425687584958726144	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Synthetic self-propelled swimming bio-bots:  (powered by cardiomyocytes) ""><b>Finding A:</b></span> Synthetic self-propelled swimming bio-bots:  (powered by cardiomyocytes) <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Although only cardiomyocytes are used as contractile cells in this work, the method is applicable to other homotypic cell types, such as optogenetic muscle cells for light-actuated swimming, or heterotypic cells types, such as turtle cardiomyocytes and fibroblasts for room temperature swimming, and neurons and muscle cells for sensing-based intelligent swimming. The study thus provides a foundation for a new class of self-propelled, batch-fabricable, soft biological swimming machines. The cross-section of the channel determines the shape of the PDMS filament.""><b>Finding B:</b></span> The study thus provides a foundation for a new class of self-propelled, batch-fabricable, soft biological swimming machines.']"
10.1038/s41467-018-06358-z	Biology_tweet_1	"Just published in Nature: ""...In any case, the burned area is robustly projected to increase. The higher the warming level is, the larger is the increase of burned area, ranging from ~40% to ~100% across the scenarios""
"	The higher the warming level is, the larger is the increase of burned area, ranging from~40% to~100% across the scenarios.	"Just published in Nature: ""...In any case, the burned area is robustly projected to increase. The higher the warming level is, the larger is the increase of burned area, ranging from ~40% to ~100% across the scenarios""
"	In any case, the burned area is robustly projected to increase. The higher the warming level is, the larger is the increase of burned area, ranging from~40% to~100% across the scenarios. Our results indicate that significant benefits would be obtained if warming were limited to well below 2°C.	[5.0, 5.0, 5.0, 5.0, 5.0]	Biology	train	5.0	tweets	1047144638677700608	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Just published in Nature: ""...In any case, the burned area is robustly projected to increase. The higher the warming level is, the larger is the increase of burned area, ranging from ~40% to ~100% across the scenarios""\n""><b>Finding A:</b></span> Just published in Nature: ""...In any case, the burned area is robustly projected to increase. The higher the warming level is, the larger is the increase of burned area, ranging from ~40% to ~100% across the scenarios""\n<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: In any case, the burned area is robustly projected to increase. The higher the warming level is, the larger is the increase of burned area, ranging from~40% to~100% across the scenarios. Our results indicate that significant benefits would be obtained if warming were limited to well below 2°C.""><b>Finding B:</b></span> The higher the warming level is, the larger is the increase of burned area, ranging from~40% to~100% across the scenarios.']"
10.3945/jn.113.188441	Biology_56	Eating instant noodles at least twice a week was associated with 68% more cardiometabolic syndrome for women, regardless of what else their diet was made up of.	The consumption of instant noodles was associated with increased prevalence of metabolic syndrome in women, independent of major dietary patterns.	Neither of those diets on the whole were associated with an uptick in cardio-metabolic syndrome--which is a collection of risk factors for heart disease, type-2 diabetes and stroke including high blood pressure, blood sugar, and cholesterol. Eating instant noodles at least twice a week was associated with 68% more cardiometabolic syndrome for women, regardless of what else their diet was made up of. This effect was only seen in women.	The 2 major dietary patterns were associated with distinct cardiometabolic risk factors. The consumption of instant noodles was associated with increased prevalence of metabolic syndrome in women, independent of major dietary patterns. The prevalence of overweight in the adult population increased from 26% in 1998 to 32% in 2007 (1) and that of metabolic syndrome in the adult population increased from 25% to 31% in the same time period .	[5.0, 4.0, 4.0, 4.0]	Biology	train	4.25	news	http://time.com/3149497/instant-noodles-heart-risks/	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Neither of those diets on the whole were associated with an uptick in cardio-metabolic syndrome--which is a collection of risk factors for heart disease, type-2 diabetes and stroke including high blood pressure, blood sugar, and cholesterol. Eating instant noodles at least twice a week was associated with 68% more cardiometabolic syndrome for women, regardless of what else their diet was made up of. This effect was only seen in women.""><b>Finding A:</b></span> Eating instant noodles at least twice a week was associated with 68% more cardiometabolic syndrome for women, regardless of what else their diet was made up of.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: The 2 major dietary patterns were associated with distinct cardiometabolic risk factors. The consumption of instant noodles was associated with increased prevalence of metabolic syndrome in women, independent of major dietary patterns. The prevalence of overweight in the adult population increased from 26% in 1998 to 32% in 2007 (1) and that of metabolic syndrome in the adult population increased from 25% to 31% in the same time period .""><b>Finding B:</b></span> The consumption of instant noodles was associated with increased prevalence of metabolic syndrome in women, independent of major dietary patterns.']"
10.1098/rsos.171474	Biology_tweet_33	New #RegisteredReport published in #RSOS by @username at the  @username and Netta Weinstein at @username explores the relationship between adolescents playing violent video games and their likelihood of behaving aggressively. Find out more at 	The results provide confirmatory evidence that violent video game engagement, on balance, is not associated with observable variability in adolescents' aggressive behaviour.	New #RegisteredReport published in #RSOS by @username at the  @username and Netta Weinstein at @username explores the relationship between adolescents playing violent video games and their likelihood of behaving aggressively. Find out more at 	This is among the first studies to test the effects of violent gaming on human aggression using a preregistered hypothesis-testing framework and the first to do so following the registered reports protocol. The results provide confirmatory evidence that violent video game engagement, on balance, is not associated with observable variability in adolescents' aggressive behaviour. A healthy ecosystem of exploratory and registered research reports will enable scientists to conduct metanalytic research to evaluate the inferences drawn from these methodologies.	[4.0, 5.0, 4.0]	Biology	train	4.333333333333333	tweets	1095663919308382208	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: New #RegisteredReport published in #RSOS by @username at the  @username and Netta Weinstein at @username explores the relationship between adolescents playing violent video games and their likelihood of behaving aggressively. Find out more at ""><b>Finding A:</b></span> New #RegisteredReport published in #RSOS by @username at the  @username and Netta Weinstein at @username explores the relationship between adolescents playing violent video games and their likelihood of behaving aggressively. Find out more at <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: This is among the first studies to test the effects of violent gaming on human aggression using a preregistered hypothesis-testing framework and the first to do so following the registered reports protocol. The results provide confirmatory evidence that violent video game engagement, on balance, is not associated with observable variability in adolescents\' aggressive behaviour. A healthy ecosystem of exploratory and registered research reports will enable scientists to conduct metanalytic research to evaluate the inferences drawn from these methodologies.""><b>Finding B:</b></span> The results provide confirmatory evidence that violent video game engagement, on balance, is not associated with observable variability in adolescents\' aggressive behaviour.']"
10.1111/gcb.13276	Biology_111	"""In our study, we observed a widely variable bleaching and mortality response among corals,"" Marcelino says."	Coral colonies, inhabiting the same reef and apparently exposed to identical conditions, will bleach and die at different rates Obura, 2001; .	"Rainforests of the sea

The index provides a valuable new tool to conservationists and park managers committed to preserving coral reefs and scientists interested in learning more about the hundreds of reef-building corals. ""In our study, we observed a widely variable bleaching and mortality response among corals,"" Marcelino says. ""Now, with the index, we have a platform we can use to better understand bleaching mechanisms, both intrinsic and environmental."	Within a bleaching event, coral susceptibility to stress is highly uneven. Coral colonies, inhabiting the same reef and apparently exposed to identical conditions, will bleach and die at different rates Obura, 2001; . Knowing which of many potential factors determine differential bleaching susceptibility among taxa will be essential to understanding bleaching mechanisms, and to preserve, manage, or reconstruct coral assemblages.	[4.0, 4.0, 5.0, 5.0]	Biology	train	4.5	news	http://www.futurity.org/coral-reefs-climate-change-1138362/	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Rainforests of the sea\n\nThe index provides a valuable new tool to conservationists and park managers committed to preserving coral reefs and scientists interested in learning more about the hundreds of reef-building corals. ""In our study, we observed a widely variable bleaching and mortality response among corals,"" Marcelino says. ""Now, with the index, we have a platform we can use to better understand bleaching mechanisms, both intrinsic and environmental.""><b>Finding A:</b></span> ""In our study, we observed a widely variable bleaching and mortality response among corals,"" Marcelino says.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Within a bleaching event, coral susceptibility to stress is highly uneven. Coral colonies, inhabiting the same reef and apparently exposed to identical conditions, will bleach and die at different rates Obura, 2001; . Knowing which of many potential factors determine differential bleaching susceptibility among taxa will be essential to understanding bleaching mechanisms, and to preserve, manage, or reconstruct coral assemblages.""><b>Finding B:</b></span> Coral colonies, inhabiting the same reef and apparently exposed to identical conditions, will bleach and die at different rates Obura, 2001; .']"
10.1016/j.cell.2018.10.050	Biology_426	After 18 of 20 days of gestation, the mice developed the same symptoms that women with preeclampsia experience: increased blood pressure and protein in their urine.	Pregnant Tg-AT1B2 mice developed symptoms of preeclampsia as evidenced by hypertension on day 18 of pregnancy, proteinuria, low platelet count, and increased levels of circulating sFlt1 ( Figures 4A-4D ).	"""Every day that the fetus has left to develop in the mother's womb counts when it comes to premature births."" After 18 of 20 days of gestation, the mice developed the same symptoms that women with preeclampsia experience: increased blood pressure and protein in their urine. Conversely, when researchers reduced the receptor heterodimers, it delayed preeclampsia."	Together, these data demonstrate that AT1cer and B2eYFP are mainly forming heteromers on vascular smooth muscle cells isolated from double-transgenic Tg-AT1B2 mice. Pregnant Tg-AT1B2 mice developed symptoms of preeclampsia as evidenced by hypertension on day 18 of pregnancy, proteinuria, low platelet count, and increased levels of circulating sFlt1 ( Figures 4A-4D ). Circulating sFlt1 levels of pregnant Tg-AT1B2 mice on day 18 of pregnancy were comparable to serum sFlt1 and sFLT1 levels of other mouse models of preeclampsia and human patients with severe preeclampsia (Holobotovskyy et al., 2015; De Vivo et al., 2008; .	[4.0, 5.0, 4.0, 4.0]	Biology	train	4.25	news	https://www.futurity.org/preeclampsia-pregnancy-1955712/	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: ""Every day that the fetus has left to develop in the mother\'s womb counts when it comes to premature births."" After 18 of 20 days of gestation, the mice developed the same symptoms that women with preeclampsia experience: increased blood pressure and protein in their urine. Conversely, when researchers reduced the receptor heterodimers, it delayed preeclampsia.""><b>Finding A:</b></span> After 18 of 20 days of gestation, the mice developed the same symptoms that women with preeclampsia experience: increased blood pressure and protein in their urine.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Together, these data demonstrate that AT1cer and B2eYFP are mainly forming heteromers on vascular smooth muscle cells isolated from double-transgenic Tg-AT1B2 mice. Pregnant Tg-AT1B2 mice developed symptoms of preeclampsia as evidenced by hypertension on day 18 of pregnancy, proteinuria, low platelet count, and increased levels of circulating sFlt1 ( Figures 4A-4D ). Circulating sFlt1 levels of pregnant Tg-AT1B2 mice on day 18 of pregnancy were comparable to serum sFlt1 and sFLT1 levels of other mouse models of preeclampsia and human patients with severe preeclampsia (Holobotovskyy et al., 2015; De Vivo et al., 2008; .""><b>Finding B:</b></span> Pregnant Tg-AT1B2 mice developed symptoms of preeclampsia as evidenced by hypertension on day 18 of pregnancy, proteinuria, low platelet count, and increased levels of circulating sFlt1 ( Figures 4A-4D ).']"
10.1126/sciadv.1500060	Biology_529	Stevenson and Rillich found that compared with the crickets treated with nitric oxide suppressing drugs which tend to fight longer and have escalated aggression, the crickets treated with nitric oxide did not fight as long nor do they have escalated violence.	NO's effect is manifested in losers by prolonged avoidance behavior, characteristic for social defeat in numerous species.	They found that nitric oxide induces a flight response, which tells the losing cricket when enough is enough and it is time to run away from its aggressor. Stevenson and Rillich found that compared with the crickets treated with nitric oxide suppressing drugs which tend to fight longer and have escalated aggression, the crickets treated with nitric oxide did not fight as long nor do they have escalated violence. The observations suggest that deciding to flee from a conflict is influenced by nitric oxide that involuntarily acts on the nervous system.	Rather than suppressing aggressive motivation, NO increases susceptibility to aversive stimuli and with it the likelihood to flee. NO's effect is manifested in losers by prolonged avoidance behavior, characteristic for social defeat in numerous species. Intriguingly, fighting experience also induces, via NO, a brief susceptible period to aversive stimuli in winners just after victory.	[5.0, 4.0, 3.0, 3.0, 3.0]	Biology	train	3.6	news	http://www.techtimes.com/articles/39829/20150315/scientists-find-brain-chemical-that-determines-whether-to-fight-or-flee.htm	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: They found that nitric oxide induces a flight response, which tells the losing cricket when enough is enough and it is time to run away from its aggressor. Stevenson and Rillich found that compared with the crickets treated with nitric oxide suppressing drugs which tend to fight longer and have escalated aggression, the crickets treated with nitric oxide did not fight as long nor do they have escalated violence. The observations suggest that deciding to flee from a conflict is influenced by nitric oxide that involuntarily acts on the nervous system.""><b>Finding A:</b></span> Stevenson and Rillich found that compared with the crickets treated with nitric oxide suppressing drugs which tend to fight longer and have escalated aggression, the crickets treated with nitric oxide did not fight as long nor do they have escalated violence.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Rather than suppressing aggressive motivation, NO increases susceptibility to aversive stimuli and with it the likelihood to flee. NO\'s effect is manifested in losers by prolonged avoidance behavior, characteristic for social defeat in numerous species. Intriguingly, fighting experience also induces, via NO, a brief susceptible period to aversive stimuli in winners just after victory.""><b>Finding B:</b></span> NO\'s effect is manifested in losers by prolonged avoidance behavior, characteristic for social defeat in numerous species.']"
