id	text
Biology_tweet_23_p$Biology_tweet_158_r$Biology_147_r$Biology_tweet_181_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The value distributions of the climate variables used in the climate dissimilarity index can be viewed in figure 1. North American homes were most similar in climate to the outdoor conditions of west central Kenya (C ¼ 2.938). The mean maximum temperature (average of all seasons) in the North American homes was 25.358C compared with 25.068C for the conditions outdoors in west central Kenya.""><b>Finding A:</b></span> North American homes were most similar in climate to the outdoor conditions of west central Kenya (C ¼ 2.938).<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Facial colour in women tracks their estradiol levels, gives information about reproductive cycle ""><b>Finding B:</b></span> Facial colour in women tracks their estradiol levels, gives information about reproductive cycle <br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Regardless of the gender-related findings or their causes, Dr. Shin said, the study represents the importance of understanding the foods we feed our bodies. ""This research is significant since many people are consuming instant noodles without knowing possible health risks,"" Dr. Shin said. ""My hope is that this study can lay a foundation for future research about the health effects of instant noodle consumption.""""><b>Finding C:</b></span> ""This research is significant since many people are consuming instant noodles without knowing possible health risks,"" Dr. Shin said.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Critically, we show that knockdown of Sik1 within the SCN results in extended light-induced phase shifts and an enhanced rate of re-entrainment to an advanced LD cycle. As SIK1 acts to suppress the effects of light on the clock, this pathway provides a pharmacological target for the treatment of disturbed circadian rhythms, including jet lag, shift-work, and illnesses that disturb circadian timing. Surprisingly, the majority (81%, 436 genes) of transcripts were downregulated in response to light, with a smaller number of genes showing upregulation (19%, 100 genes).""><b>Finding D:</b></span> As SIK1 acts to suppress the effects of light on the clock, this pathway provides a pharmacological target for the treatment of disturbed circadian rhythms, including jet lag, shift-work, and illnesses that disturb circadian timing."
Biology_239_p$Biology_144_p$Biology_tweet_121_r$Biology_53_r	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The BBK32 catch bond force regime ranged from ~2 to 19 pN and was similar to the catch bond force regimes of selectins (~5-50 pN), which are the major molecular mediators of leukocyte rolling at the PCV shear stress range . Although these data showed that BBK32 stabilizes B. burgdorferi-endothelial interactions and extends the force and shear stress range at which they occur by a catch bond mechanism, many questions remain. Thus, multiple BBK32 ligand-binding sites could potentially form or reciprocally regulate catch bond formation.""><b>Finding A:</b></span> Although these data showed that BBK32 stabilizes B. burgdorferi-endothelial interactions and extends the force and shear stress range at which they occur by a catch bond mechanism, many questions remain.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The increase in lianas, combined with the observations that lianas can reduce individual tree growth by up to 84% and increase tree mortality risk two-to three-fold , has made it pertinent to investigate the effect of lianas on forest-level biomass dynamics to better predict the effect of increasing liana abundance on tropical forests. These studies indicated that the presence of lianas can reduce stand-level biomass growth by ∼10% and net forest biomass accumulation by up to 18% and that forest carbon stocks decrease with increasing liana abundance ( . Nonetheless, these initial studies indicate that increasing liana abundance may alter the carbon balance and cycle of tropical forests by reducing forestlevel carbon storage and sequestration.""><b>Finding B:</b></span> These studies indicated that the presence of lianas can reduce stand-level biomass growth by ∼10% and net forest biomass accumulation by up to 18% and that forest carbon stocks decrease with increasing liana abundance ( .<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Myocardial microRNA exosome messengers talk to the bone marrow ""><b>Finding C:</b></span> Myocardial microRNA exosome messengers talk to the bone marrow <br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Differentiation assays proved that EC-MSCs are able to differentiate towards mesodermal lineages (osteogenic, adipogenic, chondrogenic). Flow cytometry analysis demonstrated that EC-MSCs expressed CD90, CD105, and CD73, while being negative for the leukocyte common antigen CD45. Immunofluorescence analysis showed a high percentage of positive cells for OCT-4 and SSEA-1.""><b>Finding D:</b></span> Flow cytometry analysis demonstrated that EC-MSCs expressed CD90, CD105, and CD73, while being negative for the leukocyte common antigen CD45."
Biology_319_p$Biology_tweet_74_p$Biology_411_r$Biology_tweet_33_r	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In cilia, the activated SMO receptor induces the modification of GLI transcription factors into the active form, thereby inhibiting the processing of GLI transcription factors into a repressor form. The 7TM domains of SMO and FZD receptors are reminiscent of class A GPCRs 12 although their sequences are distinct from other GPCRs, sharing less than 10% sequence identity. Moreover, the SMO receptor can couple to G proteins, particularly G i , which inhibits cAMP production, controlling cell migration .""><b>Finding A:</b></span> The 7TM domains of SMO and FZD receptors are reminiscent of class A GPCRs 12 although their sequences are distinct from other GPCRs, sharing less than 10% sequence identity.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Results did not support this prediction, nor did they support the idea that the relationship between these factors follows a nonlinear parabolic function. There was no evidence for a critical tipping point relating violent game engagement to aggressive behaviour. Sensitivity and exploratory analyses indicated these null effects extended across multiple operationalizations of violent game engagement and when the focus was on another behavioural outcome, namely, prosocial behaviour.""><b>Finding B:</b></span> There was no evidence for a critical tipping point relating violent game engagement to aggressive behaviour.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The results were consistent across 4 major cancer types: breast, colorectal, lung, and prostate cancer. Across all four cancer types, the new method of selecting candidate genes based on inter-tumor variation in gene expression outperformed the other methods, including the standard method of comparing mean expression in adjacent normal and tumor tissues. The authors cite tumor heterogeneity as the most likely reason for the success of their variance-based approach.""><b>Finding C:</b></span> Across all four cancer types, the new method of selecting candidate genes based on inter-tumor variation in gene expression outperformed the other methods, including the standard method of comparing mean expression in adjacent normal and tumor tissues.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: New #RegisteredReport published in #RSOS by @username at the  @username and Netta Weinstein at @username explores the relationship between adolescents playing violent video games and their likelihood of behaving aggressively. Find out more at ""><b>Finding D:</b></span> New #RegisteredReport published in #RSOS by @username at the  @username and Netta Weinstein at @username explores the relationship between adolescents playing violent video games and their likelihood of behaving aggressively. Find out more at "
Biology_tweet_44_p$Biology_tweet_190_p$Biology_tweet_58_p$Biology_422_r	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: R151C, R160W and D294H) exhibit a fair-skinned sun-sensitive phenotype and have up to a four-fold increased lifetime risk of melanoma . Though MC1R dysfunction is clearly linked with defective tanning , MC1R signaling also protects melanocytes against carcinogenesis independent of pigmentation . ATR (ATM and Rad3-related) is critical to UV DNA damage signaling and is intimately linked with NER (Bomgarden et al., 2006; .""><b>Finding A:</b></span> Though MC1R dysfunction is clearly linked with defective tanning , MC1R signaling also protects melanocytes against carcinogenesis independent of pigmentation .<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This work shows that mitochondria can regulate complex whole-body physiological responses, impacting stress perception at the cellular and organismal levels. We show that mitochondrial dysfunctions altered the hypothalamicpituitary-adrenal axis, sympathetic adrenal-medullary activation and catecholamine levels, the inflammatory cytokine IL-6, circulating metabolites, and hippocampal gene expression responses to stress. Each mitochondrial defect generated a distinct whole-body stressresponse signature.""><b>Finding B:</b></span> We show that mitochondrial dysfunctions altered the hypothalamicpituitary-adrenal axis, sympathetic adrenal-medullary activation and catecholamine levels, the inflammatory cytokine IL-6, circulating metabolites, and hippocampal gene expression responses to stress.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This observation suggests that the effects of mutations are modulated by a dynamic competition between tumor promoting and suppressive forces that may depend on the signaling status of individual cells and their local microenvironment. Our results reveal a tumor suppressing function arising from the interactions between dynamic subcellular APC network and the adhesion gradient in the crypt, which promotes the elimination of mutant cells with high Wnt signaling. Subversion of these interactions permits mutant cells to persist in the crypt and initiate CRC.""><b>Finding C:</b></span> Our results reveal a tumor suppressing function arising from the interactions between dynamic subcellular APC network and the adhesion gradient in the crypt, which promotes the elimination of mutant cells with high Wnt signaling.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In addition, they observed that people with extreme forms of NAFLD had less diverse and less stable gut microbiomes. Then the team identified 27 unique bacterial features unique to the gut microbiomes, and thus stool, of people with NAFLD-cirrhosis. The researchers were able to use this noninvasive stool test to pick out the people with known NAFLD-cirrhosis with 92 percent accuracy.""><b>Finding D:</b></span> Then the team identified 27 unique bacterial features unique to the gut microbiomes, and thus stool, of people with NAFLD-cirrhosis."
Biology_164_p$Biology_tweet_16_r$Biology_457_r$Biology_71_r	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This result contrasts with a dominant paradigm that hypothesized migration evolving out of the tropics via shifts of the breeding ranges. We also show that major lineages of tropical, sedentary emberizoids are derived from northern, migratory ancestors. In these lineages, the winter ranges served as a biogeographic conduit for temperate-to-tropical colonization: winter-range shifts toward the tropics during the evolution of long-distance migration often preceded southward shifts of breeding ranges, the loss of migration, and in situ tropical diversification.""><b>Finding A:</b></span> We also show that major lineages of tropical, sedentary emberizoids are derived from northern, migratory ancestors.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: \'Salt on Our Skin\' Cutaneous Na Storage Strengthens the Antimicrobial Barrier Function &amp;  Boosts Macrophage-driven.. ""><b>Finding B:</b></span> \'Salt on Our Skin\' Cutaneous Na Storage Strengthens the Antimicrobial Barrier Function &amp;  Boosts Macrophage-driven.. <br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The overwhelming loss of prey suggests that it could have been a major key in the extinction of the big cats. If all of the current threatened and declining prey species in the big cat natural ranges suddenly went extinct today, the Africal lion would be left with only 39 percent of their prey species. The Sunda clouded leopard would have only 37 percent.""><b>Finding C:</b></span> The overwhelming loss of prey suggests that it could have been a major key in the extinction of the big cats.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""We show that it is possible to use freeze-dried, cell-free extracts along with freeze-dried synthetic biology components to conduct innovative educational experiments in classrooms and other low-resource settings. The BioBits kits enable us to expose young kids, older kids, and even adults to the wonders of synthetic biology and, as a result, are poised to transform science education and society. This BioBits project demonstrates the kind of out-of-the-box thinking and refusal to accept the status quo that we value and cultivate at the Wyss Institute, and we all hope it will stimulate young people to be intrigued by science,"" said Wyss Institute Founding Director Donald Ingber, M.D., Ph.D., who is also the Judah Folkman Professor of Vascular Biology at Harvard Medical School (HMS) and the Vascular Biology Program at Boston Children\'s Hospital, as well as Professor of Bioengineering at Harvard\'s John A. Paulson School of Engineering and Applied Sciences (SEAS).""><b>Finding D:</b></span> The BioBits kits enable us to expose young kids, older kids, and even adults to the wonders of synthetic biology and, as a result, are poised to transform science education and society."
Biology_35_r$Biology_tweet_169_p$Biology_tweet_93_r$Biology_437_p	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Furthermore, TEM analysis confirmed the stemness of EC-MSCs and identified some cells with a typical neuronal morphology. CONCLUSIONS:\n\nOur findings raise the prospect that the tissues harvested from equine ligaments up to 72 hours of post-mortem represent an available reservoir of specific stem cells. EC-MSCs could be a promising alternative source for tissue engineering and stem cell therapy in equine medicine.""><b>Finding A:</b></span> CONCLUSIONS:\n\nOur findings raise the prospect that the tissues harvested from equine ligaments up to 72 hours of post-mortem represent an available reservoir of specific stem cells.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Maximum forest carbon will not create maximum biodiversity since savanna, open, and dense structures sequester less CO 2 than understory and complex ones. Wood harvested to create the open and savanna structures can be used for construction products and wood energy and to reduce the likelihood of catastrophic fires-all of which save CO 2 and FF. When regrowth after harvest is considered, even wood harvested just for energy (energy pathway) can be more efficient for CO 2 sequestration than not harvesting the forest and using FF for energy.""><b>Finding B:</b></span> Wood harvested to create the open and savanna structures can be used for construction products and wood energy and to reduce the likelihood of catastrophic fires-all of which save CO 2 and FF.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: MT @username: Climate change and annual survival in a temperate passerine (Long-tailed Tit)  (Oikos)""><b>Finding C:</b></span> MT @username: Climate change and annual survival in a temperate passerine (Long-tailed Tit)  (Oikos)<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: These observations suggest a longevity role for autophagy not only in the intestine but also in body-wall muscle, as suggested in WT mice [ , and indicate differences between the role of basal autophagy versus autophagy induced by DR in maintaining muscle integrity that are still to be elucidated. Interestingly, we observed that intestinal autophagy was required for the motility of eat-2 mutants, highlighting a cell non-autonomous function of autophagy in the intestine. One explanation for this observation is that intestinal inhibition of autophagy may cause deterioration of this organ, as implied by our Smurf assays.""><b>Finding D:</b></span> Interestingly, we observed that intestinal autophagy was required for the motility of eat-2 mutants, highlighting a cell non-autonomous function of autophagy in the intestine."
Biology_tweet_0_p$Biology_216_p$Biology_tweet_13_r$Biology_423_r	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Complementary studies of social learning in captivity would be useful in examining in detail the context in which different associations are formed. Our work demonstrates that wild birds can learn socially to recognize previously unfamiliar sounds as alarm calls. In our current experiment, learning could not be asocial because the unfamiliar sounds were never presented at the same time as predator models.""><b>Finding A:</b></span> Our work demonstrates that wild birds can learn socially to recognize previously unfamiliar sounds as alarm calls.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Globally, both enough extra wood can be harvested sustainably and enough infrastructure of buildings and bridges needs to be built to reduce annual CO 2 emissions by 14 to 31% and FF consumption by 12 to 19% if part of this infrastructure were made of wood. This reduction would require 34 to 100% of the world\'s wood growth (Figure 6a of wood use. Consequently, efficient wood use could make an important but not overwhelming contribution to saving CO 2 and FF globally, even if only part of its potential savings were realized.""><b>Finding B:</b></span> This reduction would require 34 to 100% of the world\'s wood growth (Figure 6a of wood use.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Infants whose mothers have reduced breast milk oligosaccharides develop bifidobacteria-laden microbiota later ""><b>Finding C:</b></span> Infants whose mothers have reduced breast milk oligosaccharides develop bifidobacteria-laden microbiota later <br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: All these relations together form a robust network of interactions between plants and pollinators. These networks have a characteristic structure that is similar in very different natural landscapes, such as rainforests and river deltas, as well as in human-dominated landscapes with orchards, fields and meadows. Plants and pollinators take a position within those networks that makes the benefit from their mutual relationships for each species individually, and for all plants and pollinators together, as large as possible.""><b>Finding D:</b></span> All these relations together form a robust network of interactions between plants and pollinators."
Biology_293_r$Biology_504_p$Biology_35_p$Biology_238_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: If we can increase the yield of soybeans, we can solve the problems of protein demand and food production at the same time."" ""The model shows that by investing less in leaves, the plant can produce more seeds,"" Srinivasan said. The model predicted that a 30-40% decrease in leaf area would increase yields by 8-10%.""><b>Finding A:</b></span> ""The model shows that by investing less in leaves, the plant can produce more seeds,"" Srinivasan said.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Surprisingly, it also suggests that microbial populations inhabiting complex environments, such as soils, may generally reflect similar overarching traits in genome size to those observed in laboratory studies. These results add evidence that supports selection for both smaller genomes and cells at higher temperatures, but also offer a key point of distinction. Although taxa that were enriched in hot soils characteristically had smaller genomes and cells, there is no evidence for contemporary genome streamlining in Centralia.""><b>Finding B:</b></span> These results add evidence that supports selection for both smaller genomes and cells at higher temperatures, but also offer a key point of distinction.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: These observations are also in accordance with another study on ultrastructural changes of MSCs during neuronal induction . This study demonstrated that a viable stem cell population can be isolated and expanded from equine cadaver ligaments up to 72 hours post-mortem. Differentiation assays, flow cytometry, immunofluorescence and TEM analyses confirmed the stemness of these cells.""><b>Finding C:</b></span> This study demonstrated that a viable stem cell population can be isolated and expanded from equine cadaver ligaments up to 72 hours post-mortem.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: LY294002 (a PI3K inhibitor) abolished but N-acetyl-cysteine (NAC, an inhibitor of reactive oxygen species, ROS) further enhanced the protective role of H2S against I/R induced myocardial damage in the aging hearts. In conclusion, these results demonstrate that exogenous H2S recovers PC-induced cardioprotection via inhibition of oxidative stress and up-regulation of PI3K-Akt-GSK-3b pathway in the aging rat hearts. These findings suggested that H2S might be a novel target for the treatment of aging cardiovascular diseases.""><b>Finding D:</b></span> These findings suggested that H2S might be a novel target for the treatment of aging cardiovascular diseases."
Biology_tweet_155_p$Biology_tweet_23_r$Biology_175_p$Biology_tweet_37_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: 4c, d , e, f). Sons of males that had been exposed to a single heatwave in the previous generation showed a 25% reduction in mating success and subsequent offspring production, compared with controls whose fathers had not experienced heatwave conditions ( Fig. Critically, these same transgenerational effects were also evident when mature inseminated sperm alone had experienced the same conditions within the female: sons fertilised by heatwave-exposed spermatozoa in the female tract suffered 25 to 40% reductions in their reproductive output and mating success, compared with sons from parents where the mother had experienced the heatwave before mating and sperm storage, or controls where no heatwaves were experienced ( Fig.""><b>Finding A:</b></span> Sons of males that had been exposed to a single heatwave in the previous generation showed a 25% reduction in mating success and subsequent offspring production, compared with controls whose fathers had not experienced heatwave conditions ( Fig.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Well, this is fascinating. Climate control allows us to create temp and moisture conditions we feel most comfortable in. So what climate do most Americans ""recreate"" in their homes? Western Kenya!    ""><b>Finding B:</b></span> Well, this is fascinating. Climate control allows us to create temp and moisture conditions we feel most comfortable in. So what climate do most Americans ""recreate"" in their homes? Western Kenya!    <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: There was no evidence for long-term changes in disease-induced mortality and infection rates for either RHDV or MYXV. We conclude that continuous, year-round virus perpetuation (and perhaps heterogeneity in modes of transmission and infectious doses during and after epidemics) acts to reduce the efficiency of RHDV and MYXV as biocontrol agents of rabbits If the pathogen transmission process involves heterogeneity in the dosage of exposure/inoculum, the epidemiological dynamics can change fundamentally because of dose-dependent variation in mortality rates or variation of within-host replication of the pathogen and subsequent differences of transmission dynamics .""><b>Finding C:</b></span> We conclude that continuous, year-round virus perpetuation (and perhaps heterogeneity in modes of transmission and infectious doses during and after epidemics) acts to reduce the efficiency of RHDV and MYXV as biocontrol agents of rabbits<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Thus, the widely held belief that cheetah hunts consist of simple highspeed chases seems an oversimplification. Rather, we suggest that cheetah chases comprise two primary phases: (i) an initial rapid acceleration resulting in high speed to quickly catch up with prey, followed by (ii) a prey-specific slowing period that enables the cheetah to match turns instigated by prey as the distance between them closes. However, this formulation only considered forward acceleration and speed, ignoring lateral acceleration.""><b>Finding D:</b></span> Rather, we suggest that cheetah chases comprise two primary phases: (i) an initial rapid acceleration resulting in high speed to quickly catch up with prey, followed by (ii) a prey-specific slowing period that enables the cheetah to match turns instigated by prey as the distance between them closes."
Biology_230_p$Biology_tweet_13_p$Biology_tweet_10_r$Biology_107_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: CIN-1 S bed bugs are highly resistant to deltamethrin, with a high topical dose leading to no mortality. The P450s or Abc8 and Abc9 knockdown in pyrethroid resistant CIN-1 S bed bugs showed a consistent increase in their susceptibility to bcyfluthrin compared with control bed bugs injected with malE dsRNA (Fig. In contrast, there was no significant difference in the susceptibility to b-cyfluthrin between cuticular proteins knockdown and control bed bugs (Fig.""><b>Finding A:</b></span> The P450s or Abc8 and Abc9 knockdown in pyrethroid resistant CIN-1 S bed bugs showed a consistent increase in their susceptibility to bcyfluthrin compared with control bed bugs injected with malE dsRNA (Fig.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: However, there was a large difference in which species of bifidobacteria thrived in each group of infants (defined as a species whose presence tended to lead to domination of the microbiota by bifidobacteria). A broader range of bifidobacterial species were positively correlated with the amounts of overall bifidobacteria within secretor-fed infants than non-secretor-fed infants, suggesting that the presence of 2′-fucosylated sugars allows a broader array of bifidobacterial species to colonize the gut environment. According to our fecal isolate data, bifidobacteria that can grow on 2′-fucosylated substrates are relatively uncommon, but represent a larger proportion of total bifidobacteria in secretor-fed infants, suggesting that this substrate is related to the competitive fitness of these strains.""><b>Finding B:</b></span> A broader range of bifidobacterial species were positively correlated with the amounts of overall bifidobacteria within secretor-fed infants than non-secretor-fed infants, suggesting that the presence of 2′-fucosylated sugars allows a broader array of bifidobacterial species to colonize the gut environment.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Regulation of energy metabolism by Ago2 provides a novel paradigm in which RNA silencing plays an integral role in determining basal metabolic activity in #obesity associated sequelae #NASH #diabetes ""><b>Finding C:</b></span> Regulation of energy metabolism by Ago2 provides a novel paradigm in which RNA silencing plays an integral role in determining basal metabolic activity in #obesity associated sequelae #NASH #diabetes <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The study area is adjacent to the shipping lanes into Delaware Bay (electronic supplementary material, figure S1 ) and had ambient noise levels comparable to other coastal areas with frequent vessel traffic . If a vessel is located in a different direction from conspecifics, there may be a decrease in masking (spatial release from masking) , but the observed changes in the whistle signals indicate that the dolphins simplified their calls to counter the masking effects of vessel noise. Ambient noise levels are likely to rise in the future as vessel traffic increases and an offshore wind energy facility is proposed.""><b>Finding D:</b></span> If a vessel is located in a different direction from conspecifics, there may be a decrease in masking (spatial release from masking) , but the observed changes in the whistle signals indicate that the dolphins simplified their calls to counter the masking effects of vessel noise."
