DOI	id	News Finding	Paper Finding	News Context	Paper Context	scores	field	split	final_score	source	News URL	text
10.1145/2702123.2702397	Computer_Science_tweet_200	'Physical observation + interactive feedback improved children’s learning by 5x' via Nesra Yannier @username 	These results show that mixed-reality led to more learning than screen only, for both the mousecontrol and physical-control conditions ( Figure 10 ).	'Physical observation + interactive feedback improved children’s learning by 5x' via Nesra Yannier @username 	There was no effect of control type and no interaction effects. These results show that mixed-reality led to more learning than screen only, for both the mousecontrol and physical-control conditions ( Figure 10 ). We can consider what choice improves learning most over a typical virtual, mouse-control game (#1 in Figure 10 ).	[5.0, 2.0, 1.0]	Computer_Science	test	4.0	tweets	611294107672125442	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: \'Physical observation + interactive feedback improved children’s learning by 5x\' via Nesra Yannier @username ""><b>Finding A:</b></span> \'Physical observation + interactive feedback improved children’s learning by 5x\' via Nesra Yannier @username <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: There was no effect of control type and no interaction effects. These results show that mixed-reality led to more learning than screen only, for both the mousecontrol and physical-control conditions ( Figure 10 ). We can consider what choice improves learning most over a typical virtual, mouse-control game (#1 in Figure 10 ).""><b>Finding B:</b></span> These results show that mixed-reality led to more learning than screen only, for both the mousecontrol and physical-control conditions ( Figure 10 ).']"
10.1177/1080569913501862	Computer_Science_283	"When compared to women, men are almost twice as likely to find things like texting or answering calls appropriate in an informal meeting:

USC

There's also a massive difference based on age."	Women showed far less acceptance for the use of mobile phones during informal meetings.	"Which group you fall in is all about age and gender. When compared to women, men are almost twice as likely to find things like texting or answering calls appropriate in an informal meeting:

USC

There's also a massive difference based on age. Young people, 94% of whom own a mobile phone, find the whole spectrum of phone behavior more acceptable than older people, by a significant margin:



USC



Those differences are still there, if less pronounced, for more formal meetings:

USC



Certain parts of phone etiquette remain constant, but for younger people in particular, it's worth taking into account the people you're working with before making a grab for an iPhone."	Just as with formal meetings, younger professionals were more likely to accept mobile phone use during informal meetings. Women showed far less acceptance for the use of mobile phones during informal meetings. Also, professionals from the Southwest were less likely to be accepting of mobile phone use during informal meetings.	[4.0, 5.0, 5.0, 5.0, 4.0]	Computer_Science	train	4.6	news	http://www.businessinsider.com/gender-differences-in-phone-etiquette-2013-10	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Which group you fall in is all about age and gender. When compared to women, men are almost twice as likely to find things like texting or answering calls appropriate in an informal meeting:\n\nUSC\n\nThere\'s also a massive difference based on age. Young people, 94% of whom own a mobile phone, find the whole spectrum of phone behavior more acceptable than older people, by a significant margin:\n\n\n\nUSC\n\n\n\nThose differences are still there, if less pronounced, for more formal meetings:\n\nUSC\n\n\n\nCertain parts of phone etiquette remain constant, but for younger people in particular, it\'s worth taking into account the people you\'re working with before making a grab for an iPhone.""><b>Finding A:</b></span> When compared to women, men are almost twice as likely to find things like texting or answering calls appropriate in an informal meeting:\n\nUSC\n\nThere\'s also a massive difference based on age.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Just as with formal meetings, younger professionals were more likely to accept mobile phone use during informal meetings. Women showed far less acceptance for the use of mobile phones during informal meetings. Also, professionals from the Southwest were less likely to be accepting of mobile phone use during informal meetings.""><b>Finding B:</b></span> Women showed far less acceptance for the use of mobile phones during informal meetings.']"
10.1007/s10055-018-0346-3	Computer_Science_tweet_3	"Personalized VR memory palaces are totally going to be a thing!
""We found that virtual memory palaces in HMD condition provide a superior memory recall ability compared to the desktop condition."" "	If their active participation in the organization of the data in virtual memory palaces makes a meaningful difference, then that could be further useful in designing interaction-based virtual environments that could one day assist in far superior information management and recall tools than those currently available to us.	"Personalized VR memory palaces are totally going to be a thing!
""We found that virtual memory palaces in HMD condition provide a superior memory recall ability compared to the desktop condition."" "	Another interesting future work would be to allow people to build their own virtual memory palaces, manipulate and organize the content on their own, and then ask them to recall that information. If their active participation in the organization of the data in virtual memory palaces makes a meaningful difference, then that could be further useful in designing interaction-based virtual environments that could one day assist in far superior information management and recall tools than those currently available to us. Yet another interesting future direction of research could be to compare elements of virtual memory palaces that are highly personal versus those that could be used by larger groups.	[3.0, 4.0, 5.0]	Computer_Science	train	4.0	tweets	1155117313504374784	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Personalized VR memory palaces are totally going to be a thing!\n""We found that virtual memory palaces in HMD condition provide a superior memory recall ability compared to the desktop condition."" ""><b>Finding A:</b></span> Personalized VR memory palaces are totally going to be a thing!\n""We found that virtual memory palaces in HMD condition provide a superior memory recall ability compared to the desktop condition."" <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Another interesting future work would be to allow people to build their own virtual memory palaces, manipulate and organize the content on their own, and then ask them to recall that information. If their active participation in the organization of the data in virtual memory palaces makes a meaningful difference, then that could be further useful in designing interaction-based virtual environments that could one day assist in far superior information management and recall tools than those currently available to us. Yet another interesting future direction of research could be to compare elements of virtual memory palaces that are highly personal versus those that could be used by larger groups.""><b>Finding B:</b></span> If their active participation in the organization of the data in virtual memory palaces makes a meaningful difference, then that could be further useful in designing interaction-based virtual environments that could one day assist in far superior information management and recall tools than those currently available to us.']"
10.1073/pnas.1606075113	Computer_Science_438	"""As turbulent levels rise, the glider can avoid losing height by adopting increasingly conservative, risk-averse flight strategies, such as continuing along the same path rather than turning."""	For the learned policies in the regimes of moderate and strong turbulence levels, the glider adopts an increasingly conservative policy as turbulence levels increase, quantifying the degree of risk affordable in turbulent environments.	"""By sensing two environmental cues-vertical wind acceleration and torque-the glider is able to climb and stay within the thermal core, where the lift is typically the largest, resulting in improved soaring performance, even in the presence of strong turbulent fluctuations,"" said Vergassola. ""As turbulent levels rise, the glider can avoid losing height by adopting increasingly conservative, risk-averse flight strategies, such as continuing along the same path rather than turning."" The researchers write in their paper that, based on their study, ""torque and vertical accelerations"" appear to be the sensorimotor cues that most effectively guide the most efficient soaring path of birds through thermals, rather than differences in temperature."	Furthermore, the problem is technologically relevant to extend the flying range of autonomous gliders. For the learned policies in the regimes of moderate and strong turbulence levels, the glider adopts an increasingly conservative policy as turbulence levels increase, quantifying the degree of risk affordable in turbulent environments. Reinforcement learning uncovers those sensorimotor cues that permit effective control over soaring in turbulent environments.	[5.0, 3.0, 2.0, 5.0]	Computer_Science	train	5.0	news	http://healthmedicinet.com/news/scientists-determine-how-birds-soar-to-great-heights/	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: ""By sensing two environmental cues-vertical wind acceleration and torque-the glider is able to climb and stay within the thermal core, where the lift is typically the largest, resulting in improved soaring performance, even in the presence of strong turbulent fluctuations,"" said Vergassola. ""As turbulent levels rise, the glider can avoid losing height by adopting increasingly conservative, risk-averse flight strategies, such as continuing along the same path rather than turning."" The researchers write in their paper that, based on their study, ""torque and vertical accelerations"" appear to be the sensorimotor cues that most effectively guide the most efficient soaring path of birds through thermals, rather than differences in temperature.""><b>Finding A:</b></span> ""As turbulent levels rise, the glider can avoid losing height by adopting increasingly conservative, risk-averse flight strategies, such as continuing along the same path rather than turning.""<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Furthermore, the problem is technologically relevant to extend the flying range of autonomous gliders. For the learned policies in the regimes of moderate and strong turbulence levels, the glider adopts an increasingly conservative policy as turbulence levels increase, quantifying the degree of risk affordable in turbulent environments. Reinforcement learning uncovers those sensorimotor cues that permit effective control over soaring in turbulent environments.""><b>Finding B:</b></span> For the learned policies in the regimes of moderate and strong turbulence levels, the glider adopts an increasingly conservative policy as turbulence levels increase, quantifying the degree of risk affordable in turbulent environments.']"
10.1016/j.neuroimage.2018.06.031	Computer_Science_409	Changes in communication between the brain's cortical areas could also be related to cognitive impairments correlated with cannabis use.	A decrease in posterior network degree and an increase in the clustering coefficient in frontal regions suggests changes in long-range communications that allow for corticocortical interactions between networks and may be related to cognitive impairments associated with cannabis use.	Prashad said this could signify that participants had difficulty inhibiting neural activity that has been observed in Dr. Filbey's previous studies, which would cause them to exert more effort as they attempted to stop doing certain tasks. Changes in communication between the brain's cortical areas could also be related to cognitive impairments correlated with cannabis use. The findings of this research suggest that further studies are needed during task-related activity for comparison, Prashad said.	This loss of neural refinement indicates a noisy brain and an impairment in inhibiting ongoing neural activity that may interrupt cognitive processing. A decrease in posterior network degree and an increase in the clustering coefficient in frontal regions suggests changes in long-range communications that allow for corticocortical interactions between networks and may be related to cognitive impairments associated with cannabis use. Significant correlations were found between cannabis use measures and spectral power and functional connectivity, highlighting electrophysiological signals as relevant neural associations that may be essential in examining effects related to cannabis use.	[4.0, 4.0, 3.0, 5.0]	Computer_Science	train	4.0	news	http://ct.moreover.com/?a=37015437988&p=1pl&v=1&x=_bndVHW_sBM9fGcso8ytdA	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Prashad said this could signify that participants had difficulty inhibiting neural activity that has been observed in Dr. Filbey\'s previous studies, which would cause them to exert more effort as they attempted to stop doing certain tasks. Changes in communication between the brain\'s cortical areas could also be related to cognitive impairments correlated with cannabis use. The findings of this research suggest that further studies are needed during task-related activity for comparison, Prashad said.""><b>Finding A:</b></span> Changes in communication between the brain\'s cortical areas could also be related to cognitive impairments correlated with cannabis use.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: This loss of neural refinement indicates a noisy brain and an impairment in inhibiting ongoing neural activity that may interrupt cognitive processing. A decrease in posterior network degree and an increase in the clustering coefficient in frontal regions suggests changes in long-range communications that allow for corticocortical interactions between networks and may be related to cognitive impairments associated with cannabis use. Significant correlations were found between cannabis use measures and spectral power and functional connectivity, highlighting electrophysiological signals as relevant neural associations that may be essential in examining effects related to cannabis use.""><b>Finding B:</b></span> A decrease in posterior network degree and an increase in the clustering coefficient in frontal regions suggests changes in long-range communications that allow for corticocortical interactions between networks and may be related to cognitive impairments associated with cannabis use.']"
10.1111/jcc4.12162	Computer_Science_tweet_154	Research showing positive emotional well-being results of Facebook use.  	"Respondents noted the importance of seemingly trivial interactions, such as sharing jokes or videos: ""I post funny cat videos to her wall and she writes on my wall counting down the days until we're in the same town and get to see each other."""	Research showing positive emotional well-being results of Facebook use.  	"Certainly much of the composed communication on Facebook may still be trivial but generate perceived support. Respondents noted the importance of seemingly trivial interactions, such as sharing jokes or videos: ""I post funny cat videos to her wall and she writes on my wall counting down the days until we're in the same town and get to see each other."" ""His comments are hilarious, we get to trade jabs online."""	[4.0, 4.0, 3.0, 4.0]	Computer_Science	train	3.75	tweets	783388621948588033	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Research showing positive emotional well-being results of Facebook use.  ""><b>Finding A:</b></span> Research showing positive emotional well-being results of Facebook use.  <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Certainly much of the composed communication on Facebook may still be trivial but generate perceived support. Respondents noted the importance of seemingly trivial interactions, such as sharing jokes or videos: ""I post funny cat videos to her wall and she writes on my wall counting down the days until we\'re in the same town and get to see each other."" ""His comments are hilarious, we get to trade jabs online.""""><b>Finding B:</b></span> Respondents noted the importance of seemingly trivial interactions, such as sharing jokes or videos: ""I post funny cat videos to her wall and she writes on my wall counting down the days until we\'re in the same town and get to see each other.""']"
10.1287/orsc.2014.0900	Computer_Science_tweet_131	Is it worse to receive negative attention than none at all? Ostracised workers fare worse than harassed workers 	We believe a sense of belonging will at least partially mediate the relationship between ostracism and employee outcomes because ostracism threatens other psychosocial needs, even if the need to belong is the most fundamental and directly affected of these (cf.	Is it worse to receive negative attention than none at all? Ostracised workers fare worse than harassed workers 	Employees' sense of belonging at least partially mediates the relationships between ostracism and their (a) personal well-being, (b) work-related attitudes, and (c) turnover. We believe a sense of belonging will at least partially mediate the relationship between ostracism and employee outcomes because ostracism threatens other psychosocial needs, even if the need to belong is the most fundamental and directly affected of these (cf. A total of 146 participants opened the link to the survey, of which 100 were completed (44% male; mean age in years = 32.64, S.D.	[4.0, 2.0, 4.0, 5.0, 1.0]	Computer_Science	test	4.0	tweets	453111296863395840	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Is it worse to receive negative attention than none at all? Ostracised workers fare worse than harassed workers ""><b>Finding A:</b></span> Is it worse to receive negative attention than none at all? Ostracised workers fare worse than harassed workers <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Employees\' sense of belonging at least partially mediates the relationships between ostracism and their (a) personal well-being, (b) work-related attitudes, and (c) turnover. We believe a sense of belonging will at least partially mediate the relationship between ostracism and employee outcomes because ostracism threatens other psychosocial needs, even if the need to belong is the most fundamental and directly affected of these (cf. A total of 146 participants opened the link to the survey, of which 100 were completed (44% male; mean age in years = 32.64, S.D.""><b>Finding B:</b></span> We believe a sense of belonging will at least partially mediate the relationship between ostracism and employee outcomes because ostracism threatens other psychosocial needs, even if the need to belong is the most fundamental and directly affected of these (cf.']"
10.1073/pnas.1411728112	Computer_Science_306	These new second laws are generally not noticeable except on very small scales, at which point, they become increasingly important.	At the macroscopic scale, and for systems with short range correlations, this entire family of second laws become equal to the ordinary second law, but outside of this regime, these other second laws impose additional restrictions on thermodynamical transitions.	These new second laws are generally not noticeable except on very small scales, at which point, they become increasingly important. It tells us that a hot cup of tea in a cold room will cool down rather than heat up; that even the most efficient machines will lose some energy as heat; and more prosaically, that a house will gradually get messier over time rather than tidying itself. The research, published in the journal Proceedings of the National Academy of Sciences, reveals that on very small scales there is actually a whole family of 'second laws', which can lead to unexpected and counterintuitive phenomena.	While macroscopically, only a single second law restricts transitions, we find that there are an entire family of more fundamental restrictions at the quantum level. At the macroscopic scale, and for systems with short range correlations, this entire family of second laws become equal to the ordinary second law, but outside of this regime, these other second laws impose additional restrictions on thermodynamical transitions. What's more, one needs to be more precise about what one means by a cyclic process.	[3.0, 4.0, 4.0, 3.0]	Computer_Science	train	3.5	news	http://www.sciencedaily.com/releases/2015/02/150209161417.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily%2Ftop_news%2Ftop_technology+%28ScienceDaily%3A+Top+Technology+News%29	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: These new second laws are generally not noticeable except on very small scales, at which point, they become increasingly important. It tells us that a hot cup of tea in a cold room will cool down rather than heat up; that even the most efficient machines will lose some energy as heat; and more prosaically, that a house will gradually get messier over time rather than tidying itself. The research, published in the journal Proceedings of the National Academy of Sciences, reveals that on very small scales there is actually a whole family of \'second laws\', which can lead to unexpected and counterintuitive phenomena.""><b>Finding A:</b></span> These new second laws are generally not noticeable except on very small scales, at which point, they become increasingly important.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: While macroscopically, only a single second law restricts transitions, we find that there are an entire family of more fundamental restrictions at the quantum level. At the macroscopic scale, and for systems with short range correlations, this entire family of second laws become equal to the ordinary second law, but outside of this regime, these other second laws impose additional restrictions on thermodynamical transitions. What\'s more, one needs to be more precise about what one means by a cyclic process.""><b>Finding B:</b></span> At the macroscopic scale, and for systems with short range correlations, this entire family of second laws become equal to the ordinary second law, but outside of this regime, these other second laws impose additional restrictions on thermodynamical transitions.']"
10.1145/3171221.3171276	Computer_Science_405	When the researchers evaluated different similarity measures, they found that one in particular generalized well to a broad range of tasks, producing expressive motions that are tailored to individual tasks.	We introduce and evaluate candidate similarity measures, and show that one in particular generalizes to a range of tasks, while producing expressive motions that are tailored to each task.	Their approach minimizes the similarity between the motion expressing incapability and what would allow the robot to successfully execute the task, while also considering the physical limitations of the robot. When the researchers evaluated different similarity measures, they found that one in particular generalized well to a broad range of tasks, producing expressive motions that are tailored to individual tasks. The method employed by the researchers automatically generates motions that express robot incapability, communicating both what it is trying to achieve and the reasons behind its failure.	We introduce and evaluate candidate similarity measures, and show that one in particular generalizes to a range of tasks, while producing expressive motions that are tailored to each task. Our user study supports that our approach automatically generates motions expressing incapability that communicate both what and why to end-users, and improve their overall perception of the robot and willingness to collaborate with it in the future. There are two relevant pieces of information when expressing incapability: what the task is, and why the robot is incapable of accomplishing it.	[5.0, 5.0, 5.0, 3.0, 5.0]	Computer_Science	train	4.6	news	http://ct.moreover.com/?a=37562557218&p=1pl&v=1&x=4ochmWTdyZuTipvHkRof4g	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Their approach minimizes the similarity between the motion expressing incapability and what would allow the robot to successfully execute the task, while also considering the physical limitations of the robot. When the researchers evaluated different similarity measures, they found that one in particular generalized well to a broad range of tasks, producing expressive motions that are tailored to individual tasks. The method employed by the researchers automatically generates motions that express robot incapability, communicating both what it is trying to achieve and the reasons behind its failure.""><b>Finding A:</b></span> When the researchers evaluated different similarity measures, they found that one in particular generalized well to a broad range of tasks, producing expressive motions that are tailored to individual tasks.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: We introduce and evaluate candidate similarity measures, and show that one in particular generalizes to a range of tasks, while producing expressive motions that are tailored to each task. Our user study supports that our approach automatically generates motions expressing incapability that communicate both what and why to end-users, and improve their overall perception of the robot and willingness to collaborate with it in the future. There are two relevant pieces of information when expressing incapability: what the task is, and why the robot is incapable of accomplishing it.""><b>Finding B:</b></span> We introduce and evaluate candidate similarity measures, and show that one in particular generalizes to a range of tasks, while producing expressive motions that are tailored to each task.']"
10.1073/pnas.1710231115	Computer_Science_463	"The benefits of forecasting

Beyond helping people plan their weekends, ecological forecasts will improve decision-making in agriculture, forestry, fisheries and other industries."	Ecological forecasting would benefit from cyberinfrastructure for the automation, public dissemination, and archiving of ecological forecasts, which will allow community advances in two important ways.	"Developing this ability would be a win-win for both science and society. The benefits of forecasting

Beyond helping people plan their weekends, ecological forecasts will improve decision-making in agriculture, forestry, fisheries and other industries. They will help private landowners, local governments and state and federal agencies better manage and conserve our land, water and coastlines, for example by warning of events such as pest outbreaks and harmful algal blooms."	It can happen immediately using existing data, often with only modest reframing of the questions asked and the approaches taken. Ecological forecasting would benefit from cyberinfrastructure for the automation, public dissemination, and archiving of ecological forecasts, which will allow community advances in two important ways. First, by looking across different types of forecasts, we can take a comparative approach to understanding what affects predictability in ecology.	[4.0, 5.0, 3.0, 2.0]	Computer_Science	train	3.5	news	http://ct.moreover.com/?a=33155403240&p=1pl&v=1&x=1LQtI2Kyk1DqizQ_djubiQ	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Developing this ability would be a win-win for both science and society. The benefits of forecasting\n\nBeyond helping people plan their weekends, ecological forecasts will improve decision-making in agriculture, forestry, fisheries and other industries. They will help private landowners, local governments and state and federal agencies better manage and conserve our land, water and coastlines, for example by warning of events such as pest outbreaks and harmful algal blooms.""><b>Finding A:</b></span> The benefits of forecasting\n\nBeyond helping people plan their weekends, ecological forecasts will improve decision-making in agriculture, forestry, fisheries and other industries.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: It can happen immediately using existing data, often with only modest reframing of the questions asked and the approaches taken. Ecological forecasting would benefit from cyberinfrastructure for the automation, public dissemination, and archiving of ecological forecasts, which will allow community advances in two important ways. First, by looking across different types of forecasts, we can take a comparative approach to understanding what affects predictability in ecology.""><b>Finding B:</b></span> Ecological forecasting would benefit from cyberinfrastructure for the automation, public dissemination, and archiving of ecological forecasts, which will allow community advances in two important ways.']"
