DOI	id	News Finding	Paper Finding	News Context	Paper Context	scores	field	split	final_score	source	News URL	text
10.1088/1741-2552/aabc9b	Computer_Science_tweet_58_r	"""In short term in-clinic testing, energy savings were substantial (38%–45%), and therapeutic efficacy [of DBS] was maintained.""

This is a BIG DEAL. Battery drain is associated with worsening symptoms in DSB.

Longer battery life = better quality of life.

"	Significance-This is the first demonstration of adaptive DBS in Parkinson's disease using a fully implanted device and neural sensing.	"""In short term in-clinic testing, energy savings were substantial (38%–45%), and therapeutic efficacy [of DBS] was maintained.""

This is a BIG DEAL. Battery drain is associated with worsening symptoms in DSB.

Longer battery life = better quality of life.

"	In short term in-clinic testing, energy savings were substantial (38-45%), and therapeutic efficacy was maintained. Significance-This is the first demonstration of adaptive DBS in Parkinson's disease using a fully implanted device and neural sensing. Our approach is distinct from other strategies utilizing basal ganglia signals for feedback control.	[3.0, 3.0, 4.0, 4.0]	Computer_Science	train	3.5	tweets	994265184700059648	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""In short term in-clinic testing, energy savings were substantial (38%–45%), and therapeutic efficacy [of DBS] was maintained.""\n\nThis is a BIG DEAL. Battery drain is associated with worsening symptoms in DSB.\n\nLonger battery life = better quality of life.\n\n""><b>Finding:</b></span> ""In short term in-clinic testing, energy savings were substantial (38%–45%), and therapeutic efficacy [of DBS] was maintained.""\n\nThis is a BIG DEAL. Battery drain is associated with worsening symptoms in DSB.\n\nLonger battery life = better quality of life.\n\n']"
10.1088/1741-2552/aabc9b	Computer_Science_tweet_58_p	"""In short term in-clinic testing, energy savings were substantial (38%–45%), and therapeutic efficacy [of DBS] was maintained.""

This is a BIG DEAL. Battery drain is associated with worsening symptoms in DSB.

Longer battery life = better quality of life.

"	Significance-This is the first demonstration of adaptive DBS in Parkinson's disease using a fully implanted device and neural sensing.	"""In short term in-clinic testing, energy savings were substantial (38%–45%), and therapeutic efficacy [of DBS] was maintained.""

This is a BIG DEAL. Battery drain is associated with worsening symptoms in DSB.

Longer battery life = better quality of life.

"	In short term in-clinic testing, energy savings were substantial (38-45%), and therapeutic efficacy was maintained. Significance-This is the first demonstration of adaptive DBS in Parkinson's disease using a fully implanted device and neural sensing. Our approach is distinct from other strategies utilizing basal ganglia signals for feedback control.	[3.0, 3.0, 4.0, 4.0]	Computer_Science	train	3.5	tweets	994265184700059648	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In short term in-clinic testing, energy savings were substantial (38-45%), and therapeutic efficacy was maintained. Significance-This is the first demonstration of adaptive DBS in Parkinson\'s disease using a fully implanted device and neural sensing. Our approach is distinct from other strategies utilizing basal ganglia signals for feedback control.""><b>Finding:</b></span> Significance-This is the first demonstration of adaptive DBS in Parkinson\'s disease using a fully implanted device and neural sensing.']"
10.1177/1080569913501862	Computer_Science_97_r	"Young people, 94% of whom own a mobile phone, find the whole spectrum of phone behavior more acceptable than older people, by a significant margin:



USC



Those differences are still there, if less pronounced, for more formal meetings:

USC



Certain parts of phone etiquette remain constant, but for younger people in particular, it's worth taking into account the people you're working with before making a grab for an iPhone."	Not surprisingly, younger professionals are more accepting of mobile phone use.	"Which group you fall in is all about age and gender. When compared to women, men are almost twice as likely to find things like texting or answering calls appropriate in an informal meeting:

USC

There's also a massive difference based on age. Young people, 94% of whom own a mobile phone, find the whole spectrum of phone behavior more acceptable than older people, by a significant margin:



USC



Those differences are still there, if less pronounced, for more formal meetings:

USC



Certain parts of phone etiquette remain constant, but for younger people in particular, it's worth taking into account the people you're working with before making a grab for an iPhone."	Based on the findings, we have made several basic conclusions. Not surprisingly, younger professionals are more accepting of mobile phone use. Interestingly, women are far less accepting of mobile phone use during informal meetings.	[3.0, 3.0, 5.0, 5.0]	Computer_Science	train	4.0	news	http://www.businessinsider.com/gender-differences-in-phone-etiquette-2013-10	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Which group you fall in is all about age and gender. When compared to women, men are almost twice as likely to find things like texting or answering calls appropriate in an informal meeting:\n\nUSC\n\nThere\'s also a massive difference based on age. Young people, 94% of whom own a mobile phone, find the whole spectrum of phone behavior more acceptable than older people, by a significant margin:\n\n\n\nUSC\n\n\n\nThose differences are still there, if less pronounced, for more formal meetings:\n\nUSC\n\n\n\nCertain parts of phone etiquette remain constant, but for younger people in particular, it\'s worth taking into account the people you\'re working with before making a grab for an iPhone.""><b>Finding:</b></span> Young people, 94% of whom own a mobile phone, find the whole spectrum of phone behavior more acceptable than older people, by a significant margin:\n\n\n\nUSC\n\n\n\nThose differences are still there, if less pronounced, for more formal meetings:\n\nUSC\n\n\n\nCertain parts of phone etiquette remain constant, but for younger people in particular, it\'s worth taking into account the people you\'re working with before making a grab for an iPhone.']"
10.1177/1080569913501862	Computer_Science_97_p	"Young people, 94% of whom own a mobile phone, find the whole spectrum of phone behavior more acceptable than older people, by a significant margin:



USC



Those differences are still there, if less pronounced, for more formal meetings:

USC



Certain parts of phone etiquette remain constant, but for younger people in particular, it's worth taking into account the people you're working with before making a grab for an iPhone."	Not surprisingly, younger professionals are more accepting of mobile phone use.	"Which group you fall in is all about age and gender. When compared to women, men are almost twice as likely to find things like texting or answering calls appropriate in an informal meeting:

USC

There's also a massive difference based on age. Young people, 94% of whom own a mobile phone, find the whole spectrum of phone behavior more acceptable than older people, by a significant margin:



USC



Those differences are still there, if less pronounced, for more formal meetings:

USC



Certain parts of phone etiquette remain constant, but for younger people in particular, it's worth taking into account the people you're working with before making a grab for an iPhone."	Based on the findings, we have made several basic conclusions. Not surprisingly, younger professionals are more accepting of mobile phone use. Interestingly, women are far less accepting of mobile phone use during informal meetings.	[3.0, 3.0, 5.0, 5.0]	Computer_Science	train	4.0	news	http://www.businessinsider.com/gender-differences-in-phone-etiquette-2013-10	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Based on the findings, we have made several basic conclusions. Not surprisingly, younger professionals are more accepting of mobile phone use. Interestingly, women are far less accepting of mobile phone use during informal meetings.""><b>Finding:</b></span> Not surprisingly, younger professionals are more accepting of mobile phone use.']"
10.1038/srep07236	Computer_Science_410_r	The research demonstrated that NPP is able to significantly outperform the current state-of-the-art methods in predicting node degree centrality.	The empirical experiments reveal that NPP is able to provide more precise prediction of node's future degree centrality over baseline solutions.	"""Our method has wide range of applications in critical human systems, such as financial markets and military operations."" The research demonstrated that NPP is able to significantly outperform the current state-of-the-art methods in predicting node degree centrality. ""Our method, NPP, is helpful in the prediction of an individual's future importance because it reconciles the trade-offs between two important principles that drive the evolution of social networks -- preferential attachment and triadic closure,"" Chawla said."	Triad 3 is a stable sub-structure , as the propensity of attaching new links for the nodes having high occurrence frequencies in position 5 is relatively small. The empirical experiments reveal that NPP is able to provide more precise prediction of node's future degree centrality over baseline solutions. NPP is validated on four different social networks.	[5.0, 4.0, 5.0, 5.0]	Computer_Science	train	4.75	news	http://www.sciencedaily.com/releases/2015/02/150226122437.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily%2Ftop_news%2Ftop_technology+%28ScienceDaily%3A+Top+Technology+News%29	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""Our method has wide range of applications in critical human systems, such as financial markets and military operations."" The research demonstrated that NPP is able to significantly outperform the current state-of-the-art methods in predicting node degree centrality. ""Our method, NPP, is helpful in the prediction of an individual\'s future importance because it reconciles the trade-offs between two important principles that drive the evolution of social networks -- preferential attachment and triadic closure,"" Chawla said.""><b>Finding:</b></span> The research demonstrated that NPP is able to significantly outperform the current state-of-the-art methods in predicting node degree centrality.']"
10.1038/srep07236	Computer_Science_410_p	The research demonstrated that NPP is able to significantly outperform the current state-of-the-art methods in predicting node degree centrality.	The empirical experiments reveal that NPP is able to provide more precise prediction of node's future degree centrality over baseline solutions.	"""Our method has wide range of applications in critical human systems, such as financial markets and military operations."" The research demonstrated that NPP is able to significantly outperform the current state-of-the-art methods in predicting node degree centrality. ""Our method, NPP, is helpful in the prediction of an individual's future importance because it reconciles the trade-offs between two important principles that drive the evolution of social networks -- preferential attachment and triadic closure,"" Chawla said."	Triad 3 is a stable sub-structure , as the propensity of attaching new links for the nodes having high occurrence frequencies in position 5 is relatively small. The empirical experiments reveal that NPP is able to provide more precise prediction of node's future degree centrality over baseline solutions. NPP is validated on four different social networks.	[5.0, 4.0, 5.0, 5.0]	Computer_Science	train	4.75	news	http://www.sciencedaily.com/releases/2015/02/150226122437.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily%2Ftop_news%2Ftop_technology+%28ScienceDaily%3A+Top+Technology+News%29	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Triad 3 is a stable sub-structure , as the propensity of attaching new links for the nodes having high occurrence frequencies in position 5 is relatively small. The empirical experiments reveal that NPP is able to provide more precise prediction of node\'s future degree centrality over baseline solutions. NPP is validated on four different social networks.""><b>Finding:</b></span> The empirical experiments reveal that NPP is able to provide more precise prediction of node\'s future degree centrality over baseline solutions.']"
10.1016/j.ijmedinf.2013.11.003	Computer_Science_444_r	"""By understanding the dynamic nature of eye-gaze patterns and how technology impacts these patterns, we can contribute to future EHR designs that foster more effective doctor-patient interaction."""	The study described in this paper focuses on gaze, but similar approaches can be used to understand the effects of other interactions that contribute to patient outcomes such as emotion.	"Understanding physicians' eye-gaze patterns and their effects on patients can contribute to more effective training guidelines and better-designed technology. Future systems, for example, could include more interactive screen sharing between physicians and patients, Montague said. ""By understanding the dynamic nature of eye-gaze patterns and how technology impacts these patterns, we can contribute to future EHR designs that foster more effective doctor-patient interaction."""	In these cases, to understand emotion, you would want to understand when the emotional state changes and the events that trigger the change, the events that influence the emotion are also the points that can lead to redesign or training. The study described in this paper focuses on gaze, but similar approaches can be used to understand the effects of other interactions that contribute to patient outcomes such as emotion. The results showed that doctor's gaze patterns are followed significantly by patient gaze patterns, for instance if doctor gazed at the patient, the patient gazed back at the doctor.	[5.0, 3.0, 4.0, 3.0, 3.0]	Computer_Science	train	3.6	news	http://www.sciencedaily.com/releases/2014/01/140124115750.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily+%28Latest+Science+News+--+ScienceDaily%29	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Understanding physicians\' eye-gaze patterns and their effects on patients can contribute to more effective training guidelines and better-designed technology. Future systems, for example, could include more interactive screen sharing between physicians and patients, Montague said. ""By understanding the dynamic nature of eye-gaze patterns and how technology impacts these patterns, we can contribute to future EHR designs that foster more effective doctor-patient interaction.""""><b>Finding:</b></span> ""By understanding the dynamic nature of eye-gaze patterns and how technology impacts these patterns, we can contribute to future EHR designs that foster more effective doctor-patient interaction.""']"
10.1016/j.ijmedinf.2013.11.003	Computer_Science_444_p	"""By understanding the dynamic nature of eye-gaze patterns and how technology impacts these patterns, we can contribute to future EHR designs that foster more effective doctor-patient interaction."""	The study described in this paper focuses on gaze, but similar approaches can be used to understand the effects of other interactions that contribute to patient outcomes such as emotion.	"Understanding physicians' eye-gaze patterns and their effects on patients can contribute to more effective training guidelines and better-designed technology. Future systems, for example, could include more interactive screen sharing between physicians and patients, Montague said. ""By understanding the dynamic nature of eye-gaze patterns and how technology impacts these patterns, we can contribute to future EHR designs that foster more effective doctor-patient interaction."""	In these cases, to understand emotion, you would want to understand when the emotional state changes and the events that trigger the change, the events that influence the emotion are also the points that can lead to redesign or training. The study described in this paper focuses on gaze, but similar approaches can be used to understand the effects of other interactions that contribute to patient outcomes such as emotion. The results showed that doctor's gaze patterns are followed significantly by patient gaze patterns, for instance if doctor gazed at the patient, the patient gazed back at the doctor.	[5.0, 3.0, 4.0, 3.0, 3.0]	Computer_Science	train	3.6	news	http://www.sciencedaily.com/releases/2014/01/140124115750.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily+%28Latest+Science+News+--+ScienceDaily%29	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In these cases, to understand emotion, you would want to understand when the emotional state changes and the events that trigger the change, the events that influence the emotion are also the points that can lead to redesign or training. The study described in this paper focuses on gaze, but similar approaches can be used to understand the effects of other interactions that contribute to patient outcomes such as emotion. The results showed that doctor\'s gaze patterns are followed significantly by patient gaze patterns, for instance if doctor gazed at the patient, the patient gazed back at the doctor.""><b>Finding:</b></span> The study described in this paper focuses on gaze, but similar approaches can be used to understand the effects of other interactions that contribute to patient outcomes such as emotion.']"
10.1073/pnas.1509757112	Computer_Science_457_r	"""You'd expect them go the opposite direction: At first, picking important things but then there are diminishing returns in those experiments, so over time they'd shift to more risky experiments, choosing things further from each other in the network,"" said Evans."	"Despite these limitations, our model reveals patterns of discovery in biomedical chemistry and shows that more efficient discovery strategies would incorporate more ""interdisciplinarity"" and more risk, with the latter particularly important as a field matures."	"They analyzed the relationships between medically useful molecules and found that as a field matures, scientists are more likely to study closely related molecules rather than distantly related ones. ""You'd expect them go the opposite direction: At first, picking important things but then there are diminishing returns in those experiments, so over time they'd shift to more risky experiments, choosing things further from each other in the network,"" said Evans. But that's not what happened."	"{ Future models could introduce these layers as additional features, penalties, and rewards associated with the ""game"" of science. Despite these limitations, our model reveals patterns of discovery in biomedical chemistry and shows that more efficient discovery strategies would incorporate more ""interdisciplinarity"" and more risk, with the latter particularly important as a field matures. Adopting a more efficient approach would lead to greater risk, but our findings suggest that scientists pursue progressively less risk, focusing more and more on the immediate neighborhood of high-degree chemicals, with the slight increase in bridging links as a silver lining."	[1.0, 4.0, 4.0, 3.0]	Computer_Science	val	4.0	news	http://www.realclearscience.com/articles/2015/11/12/is_science_getting_less_risky_109449.html	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: They analyzed the relationships between medically useful molecules and found that as a field matures, scientists are more likely to study closely related molecules rather than distantly related ones. ""You\'d expect them go the opposite direction: At first, picking important things but then there are diminishing returns in those experiments, so over time they\'d shift to more risky experiments, choosing things further from each other in the network,"" said Evans. But that\'s not what happened.""><b>Finding:</b></span> ""You\'d expect them go the opposite direction: At first, picking important things but then there are diminishing returns in those experiments, so over time they\'d shift to more risky experiments, choosing things further from each other in the network,"" said Evans.']"
10.1073/pnas.1509757112	Computer_Science_457_p	"""You'd expect them go the opposite direction: At first, picking important things but then there are diminishing returns in those experiments, so over time they'd shift to more risky experiments, choosing things further from each other in the network,"" said Evans."	"Despite these limitations, our model reveals patterns of discovery in biomedical chemistry and shows that more efficient discovery strategies would incorporate more ""interdisciplinarity"" and more risk, with the latter particularly important as a field matures."	"They analyzed the relationships between medically useful molecules and found that as a field matures, scientists are more likely to study closely related molecules rather than distantly related ones. ""You'd expect them go the opposite direction: At first, picking important things but then there are diminishing returns in those experiments, so over time they'd shift to more risky experiments, choosing things further from each other in the network,"" said Evans. But that's not what happened."	"{ Future models could introduce these layers as additional features, penalties, and rewards associated with the ""game"" of science. Despite these limitations, our model reveals patterns of discovery in biomedical chemistry and shows that more efficient discovery strategies would incorporate more ""interdisciplinarity"" and more risk, with the latter particularly important as a field matures. Adopting a more efficient approach would lead to greater risk, but our findings suggest that scientists pursue progressively less risk, focusing more and more on the immediate neighborhood of high-degree chemicals, with the slight increase in bridging links as a silver lining."	[1.0, 4.0, 4.0, 3.0]	Computer_Science	val	4.0	news	http://www.realclearscience.com/articles/2015/11/12/is_science_getting_less_risky_109449.html	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: { Future models could introduce these layers as additional features, penalties, and rewards associated with the ""game"" of science. Despite these limitations, our model reveals patterns of discovery in biomedical chemistry and shows that more efficient discovery strategies would incorporate more ""interdisciplinarity"" and more risk, with the latter particularly important as a field matures. Adopting a more efficient approach would lead to greater risk, but our findings suggest that scientists pursue progressively less risk, focusing more and more on the immediate neighborhood of high-degree chemicals, with the slight increase in bridging links as a silver lining.""><b>Finding:</b></span> Despite these limitations, our model reveals patterns of discovery in biomedical chemistry and shows that more efficient discovery strategies would incorporate more ""interdisciplinarity"" and more risk, with the latter particularly important as a field matures.']"
