id	text
Computer_Science_392_r$Computer_Science_453_p$Computer_Science_222_p$Computer_Science_64_p	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The below-the-cabin effect dominates the above-the-cabin effect."" The findings, published in the journal Management Science, shows airlines improved their median departure time between 3.3 to 4.2 minutes and reduced average departure delays between 1.3 to 2 minutes, depending on whether they charged for the first or second checked bag. The reductions are significant because departure times and mitigating delays are crucial to so many other facets of the business, such as the number of flights airlines can offer and their image among potential customers.""><b>Finding A:</b></span> The findings, published in the journal Management Science, shows airlines improved their median departure time between 3.3 to 4.2 minutes and reduced average departure delays between 1.3 to 2 minutes, depending on whether they charged for the first or second checked bag.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The lower set of curves in the top panels shows the probability of receiving a reply to an initial message. The curves are higher for messages sent by women than for those sent by men-women are more likely than men to receive replies-but among both women and men the probability of a reply is a decreasing function of desirability gap, more desirable partners replying at lower rates than less desirable ones. The differences are stark: men are more than twice as likely to receive a reply from women less desirable than themselves than from more desirable ones, and for messages sent to more desirable women the reply rate never rises above 21%.""><b>Finding B:</b></span> The curves are higher for messages sent by women than for those sent by men-women are more likely than men to receive replies-but among both women and men the probability of a reply is a decreasing function of desirability gap, more desirable partners replying at lower rates than less desirable ones.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Exceptional memory in these individuals was not found to be associated with higher IQ or any structural brain differences relative to control participants . However, fMRI scanning revealed that they activated brain areas associated with navigation, including the hippocampus, more than control participants. With extensive practice, this method is effective at enabling one to remember the order of stimuli by imagining familiar routes and placing the to-be-remembered items along the routes thus promoting deeper encoding of the stimuli with rich associations.""><b>Finding C:</b></span> However, fMRI scanning revealed that they activated brain areas associated with navigation, including the hippocampus, more than control participants.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The HMD condition was found to have 8.8% improvement in recall accuracy compared to the desktop condition, and this was found to be statistically significant. This suggests an exciting opportunity for the role of immersive virtual environments in assisting in recall. Given the results of our user study, we believe that virtual memory palaces offer us a fascinating insight into how we may be able to organize and structure large information spaces and navigate them in ways that assist in superior recall.""><b>Finding D:</b></span> This suggests an exciting opportunity for the role of immersive virtual environments in assisting in recall."
Computer_Science_150_p$Computer_Science_291_p$Computer_Science_12_r$Computer_Science_191_r	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Despite this group showing a wide range of navigational expertise, there was no association between expertise and posterior hippocampal grey matter volume (or, indeed, Review. This failure to find an association between hippocampal volume and navigational expertise thus suggests that structural differences in the hippocampus of taxi drivers reflect the detail and/or duration of the use of the spatial representation acquired and not innate navigational expertise per se. Clearly, taxi drivers in London have to learn a vast amount of information.""><b>Finding A:</b></span> This failure to find an association between hippocampal volume and navigational expertise thus suggests that structural differences in the hippocampus of taxi drivers reflect the detail and/or duration of the use of the spatial representation acquired and not innate navigational expertise per se.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: There was no effect of control type and no interaction effects. These results show that mixed-reality led to more learning than screen only, for both the mousecontrol and physical-control conditions ( Figure 10 ). We can consider what choice improves learning most over a typical virtual, mouse-control game (#1 in Figure 10 ).""><b>Finding B:</b></span> These results show that mixed-reality led to more learning than screen only, for both the mousecontrol and physical-control conditions ( Figure 10 ).<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Despite the casual reputation, professionals from the West Coast were less accepting of mobile phone use in meetings than people from the East Coast. Higher-income professionals had less tolerance for smartphone use in business meetings. Dramatic age gap: Younger professionals were nearly three times as likely as older professionals to think tapping out a message over a business lunch is appropriate -- 66 percent of people under 30 said texting or emailing was okay, compared to just 20 percent of those aged 51-65.""><b>Finding C:</b></span> Higher-income professionals had less tolerance for smartphone use in business meetings.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: He sees it as confirmation of the idea that cognitive exercise produces physical changes in the brain. ""The initial findings could have been explained by a correlation, that people with big hippocampi become taxi drivers,"" he says. ""But it turns out it really was the training process that caused the growth in the brain.""><b>Finding D:</b></span> ""The initial findings could have been explained by a correlation, that people with big hippocampi become taxi drivers,"" he says."
Computer_Science_87_p$Computer_Science_101_p$Computer_Science_40_r$Computer_Science_tweet_58_r	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This suggests that becoming an expert in the domain of memory may be attainable by any of us, with a great deal of time and effort as in the case of taxi drivers, and the use of mnemonics as employed by the memory champions. Structural brain changes associated with learning over a time scale of years, however, seem to be restricted to taxi drivers and the acquisition of a large, integrated and complex spatial layout (see for effects relating to short time scales). Professional musicians were also found to show enhanced judgements of line orientation and three-dimensional mental rotation ability ( ( .""><b>Finding A:</b></span> Structural brain changes associated with learning over a time scale of years, however, seem to be restricted to taxi drivers and the acquisition of a large, integrated and complex spatial layout (see for effects relating to short time scales).<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Our approach led to gains of roughly 40 to 70%, on average, in refugees\' employment outcomes relative to current assignment practices. This approach can provide governments with a practical and cost-efficient policy tool that can be immediately implemented within existing institutional structures. It is also one of the most consequential in maximizing refugees\' economic integration and self-sufficiency as a first step toward a more comprehensive integration into society (7-9).""><b>Finding B:</b></span> Our approach led to gains of roughly 40 to 70%, on average, in refugees\' employment outcomes relative to current assignment practices.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Similarly, 50 percent of men said it was acceptable to answer a call at a power lunch, compared to 26 percent of women. Despite the casual reputation, professionals from the West Coast were less accepting of mobile phone use in meetings than people from the East Coast. Higher-income professionals had less tolerance for smartphone use in business meetings.""><b>Finding C:</b></span> Despite the casual reputation, professionals from the West Coast were less accepting of mobile phone use in meetings than people from the East Coast.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""In short term in-clinic testing, energy savings were substantial (38%–45%), and therapeutic efficacy [of DBS] was maintained.""\n\nThis is a BIG DEAL. Battery drain is associated with worsening symptoms in DSB.\n\nLonger battery life = better quality of life.\n\n""><b>Finding D:</b></span> ""In short term in-clinic testing, energy savings were substantial (38%–45%), and therapeutic efficacy [of DBS] was maintained.""\n\nThis is a BIG DEAL. Battery drain is associated with worsening symptoms in DSB.\n\nLonger battery life = better quality of life.\n\n"
Computer_Science_422_r$Computer_Science_291_p$Computer_Science_306_p$Computer_Science_40_p	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""The remarkable thing is that with each training session, the participants were able to reach the target aim faster, even though we were raising the bar for the target objective in each session, the way you raise the bar each time in a high jump competition,"" the researchers said. ""These results showed that participants were successfully using neurofeedback to alter their pattern of brain activity according to a predefined objective in specific regions of their brain\'s motor cortex, without moving any body part. This demonstrates that MEG source imaging can provide brain region-specific real time neurofeedback and that longitudinal neurofeedback training is possible with this technique.""""><b>Finding A:</b></span> ""These results showed that participants were successfully using neurofeedback to alter their pattern of brain activity according to a predefined objective in specific regions of their brain\'s motor cortex, without moving any body part.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: There was no effect of control type and no interaction effects. These results show that mixed-reality led to more learning than screen only, for both the mousecontrol and physical-control conditions ( Figure 10 ). We can consider what choice improves learning most over a typical virtual, mouse-control game (#1 in Figure 10 ).""><b>Finding B:</b></span> These results show that mixed-reality led to more learning than screen only, for both the mousecontrol and physical-control conditions ( Figure 10 ).<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: While macroscopically, only a single second law restricts transitions, we find that there are an entire family of more fundamental restrictions at the quantum level. At the macroscopic scale, and for systems with short range correlations, this entire family of second laws become equal to the ordinary second law, but outside of this regime, these other second laws impose additional restrictions on thermodynamical transitions. What\'s more, one needs to be more precise about what one means by a cyclic process.""><b>Finding C:</b></span> At the macroscopic scale, and for systems with short range correlations, this entire family of second laws become equal to the ordinary second law, but outside of this regime, these other second laws impose additional restrictions on thermodynamical transitions.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In formal meetings, professionals in the West were least accepting of mobile phone use during meetings. In informal meetings, professionals in the Southwest were least accepting of mobile phone use. A possible explanation for more sensitivity to mobile phone use in the Southwest may be the emphasis on hospitality and manners.""><b>Finding D:</b></span> In informal meetings, professionals in the Southwest were least accepting of mobile phone use."
Computer_Science_36_p$Computer_Science_392_p$Computer_Science_315_r$Computer_Science_tweet_4_r	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Factoring out the potential contributions to learning of physical observation versus physical control is not only of scientific interest (e.g., when can embodied cognition be evoked --with or without physical activity), but is also of practical importance. showed that children observing physical towers in a mixed-reality game learned physics principles better and showed higher levels of enjoyment compared to students interacting with a solely virtual game on a laptop . This result suggests that observing physical phenomena (along with mixed reality feedback on whether child predictions and physical results match) may enhance learning and enjoyment.""><b>Finding A:</b></span> showed that children observing physical towers in a mixed-reality game learned physics principles better and showed higher levels of enjoyment compared to students interacting with a solely virtual game on a laptop .<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Hence, given the previously hypothesized departure performances (i.e. As the checked baggage fee policy gets implemented from zero to one to two bags, the scheduled block time increases. As the checked baggage fee policy gets implemented from zero to one to two bags, the scheduled block time decreases.""><b>Finding B:</b></span> As the checked baggage fee policy gets implemented from zero to one to two bags, the scheduled block time increases.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: An adaptive system like the one being tested here could offer an effective alternative and may also limit adverse effects of traditional deep brain stimulation, but considerable testing remains to be done. ""Here we have demonstrated the feasibility of adaptive deep brain stimulation,"" said Dr. Starr. ""We are now planning larger, longer-term trials to determine how effective this system is in managing the symptoms of patients with Parkinson\'s disease.""""><b>Finding C:</b></span> ""Here we have demonstrated the feasibility of adaptive deep brain stimulation,"" said Dr. Starr.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Competition between groups increases creativity in groups composed of men. Has opposite effect of female groups ""><b>Finding D:</b></span> Competition between groups increases creativity in groups composed of men. Has opposite effect of female groups "
Computer_Science_544_r$Computer_Science_132_p$Computer_Science_tweet_299_p$Computer_Science_490_p	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: A foam tube wrapped with a skin was able to inch forward like a worm. And a piece of skin connecting two pieces of cardboard could contract, turning the object into a rudimentary gripper. I\'m Delighted I Can Do That, Dave\n\nIn unpredictable environments like outer space, where unforeseen problems can arise, this diversity gives the skins a creative advantage over traditional robots that are only designed for a limited amount of activities.""><b>Finding A:</b></span> A foam tube wrapped with a skin was able to inch forward like a worm.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Interestingly, just 24% thought using a laptop in a meeting was not appropriate. Roughly 71% of the professionals said they would not make a call or take a call during a meeting. Approximately 63% said that they would not text message during meetings.""><b>Finding B:</b></span> Roughly 71% of the professionals said they would not make a call or take a call during a meeting.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: It has to be repeated m times, so the worst computational cost is O(m 2 n), or O(n 3 ) for sparse graphs. Note that, although for large networks such high computational cost makes this solution often unfeasible, for criminal networks constituted (most often) by hundreds or at most thousands of nodes, this algorithm works well. The number of the edges to be deleted can be chosen interactively.""><b>Finding C:</b></span> Note that, although for large networks such high computational cost makes this solution often unfeasible, for criminal networks constituted (most often) by hundreds or at most thousands of nodes, this algorithm works well.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: A method for one-way communication introduced here circumvents these problems. The program states can include all desired experimental protocols for the implant. The hardware requirement for this protocol is minimal, as the only facilities needed in the microcontroller are a non-volatile memory and a set of timers.""><b>Finding D:</b></span> The program states can include all desired experimental protocols for the implant."
Computer_Science_465_r$Computer_Science_16_p$Computer_Science_79_p$Computer_Science_182_p	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Rather, it\'s more like a moveable snap hook system, which attaches the two parts  with Avidin in the middle. That makes the microswimmer ever more robust and flexible than others. (Image: Max Planck Institute for Intelligent Systems)\n\nThirdly, Yunus Alapan continues, we loaded the RBC with special molecules that can absorb infrared light.""><b>Finding A:</b></span> That makes the microswimmer ever more robust and flexible than others.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Women showed far less acceptance for the use of mobile phones during informal meetings. Also, professionals from the Southwest were less likely to be accepting of mobile phone use during informal meetings. Based on the findings, we have made several basic conclusions.""><b>Finding B:</b></span> Also, professionals from the Southwest were less likely to be accepting of mobile phone use during informal meetings.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: We have demonstrated the feasibility of adaptive DBS using a cortical detector sensitive to dyskinesia in two patients. In both patients there were energy savings without worsening of clinical symptoms. This strategy requires further testing in a chronic ambulatory setting, and may be useful in PD patients who are motor fluctuators and experience severe dyskinesia alternating with marked bradykinesia .""><b>Finding C:</b></span> In both patients there were energy savings without worsening of clinical symptoms.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The overall results (including both the prediction and explanation items) indicated that there was a significant effect of media-type (F(1,91)=8.2, p<0.01, d=0.37). The overall improvement from pre to post was 11.3 % in the mixed-reality conditions and 2.4 % in the virtual conditions. Thus, the mixed-reality game improved learning by 4.8 times compared to the screen-only alternatives.""><b>Finding D:</b></span> The overall improvement from pre to post was 11.3 % in the mixed-reality conditions and 2.4 % in the virtual conditions."
Computer_Science_tweet_2_r$Computer_Science_60_p$Computer_Science_tweet_7_p$Computer_Science_tweet_289_p	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""Metabolic cost of walking explained by combination of 4 costs—swing &amp; torso dynamics, COM velocity redirection, ground clearance, and body weight support. Overall energetic cost depends on how these separable components tradeoff and manifest under different walking conditions."" ""><b>Finding A:</b></span> ""Metabolic cost of walking explained by combination of 4 costs—swing &amp; torso dynamics, COM velocity redirection, ground clearance, and body weight support. Overall energetic cost depends on how these separable components tradeoff and manifest under different walking conditions."" <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: A possible explanation for more sensitivity to mobile phone use in the Southwest may be the emphasis on hospitality and manners. We are less sure about a possible explanation for lower acceptance for mobile phone behaviors among professionals in the West. We are intrigued by the result that professionals with higher incomes are less accepting of mobile phone use in meetings.""><b>Finding B:</b></span> We are less sure about a possible explanation for lower acceptance for mobile phone behaviors among professionals in the West.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Although these deliberate technical simplifications produced a fairly robust system, enabling extended maintenance-free use in the field, improving the core technology and the interactivity of the social robot platform will offer a more seamless user experience. In summary, our social robot, Minnie, demonstrates the potential for transforming reading at home from an isolated activity into a social and collaborative experience that can promote comprehension and interest in reading. Our results illuminate how we might maximize the societal benefits of imminent robotic technology and demonstrate how the integration of social robots into an existing human activity can transform human experience toward this good.""><b>Finding C:</b></span> In summary, our social robot, Minnie, demonstrates the potential for transforming reading at home from an isolated activity into a social and collaborative experience that can promote comprehension and interest in reading.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The modest positive correlation of human-rated happiness with the presence and number of faces in a photograph was the only exception to this trend. Our results supported Hypothesis \uf6dc, that markers of depression are observable in Instagram user behavior, and Hypothesis \uf63a, that these depressive signals are detectable in posts made even before the date of first diagnosis. Human ratings proved capable of distinguishing between Instagram posts made by depressed and healthy individuals (Hypothesis \uf63ba), but showed little or no correlation with most computational features (Hypothesis \uf63bb).""><b>Finding D:</b></span> Our results supported Hypothesis \uf6dc, that markers of depression are observable in Instagram user behavior, and Hypothesis \uf63a, that these depressive signals are detectable in posts made even before the date of first diagnosis."
Computer_Science_tweet_19_p$Computer_Science_404_p$Computer_Science_126_r$Computer_Science_463_r	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: We prove that constant-depth quantum circuits are more powerful than their classical counterparts. We prove that any classical probabilistic circuit composed of bounded fan-in gates that solves the 2D Hidden Linear Function problem with high probability must have depth logarithmic in n. In contrast, we show that this problem can be solved with certainty by a constant-depth quantum circuit composed of one-and two-qubit gates acting locally on a two-dimensional grid. Many problems of practical importance such as Monte Carlo simulation, computing the rank, the determinant, and the inverse of a matrix lend themselves naturally to parallelization .""><b>Finding A:</b></span> We prove that constant-depth quantum circuits are more powerful than their classical counterparts.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Individual models for the two musical medleys revealed that activations in several areas in the brain belonging to the auditory, limbic, and motor regions could be predicted. Notably, activations in the medial orbitofrontal region and the anterior cingulate cortex, relevant for self-referential appraisal and aesthetic judgments, could be predicted successfully. Cross-validation across musical stimuli and participant pools helped identify a region of the right superior temporal gyrus, encompassing the planum polare and the Heschl\'s gyrus, as the core structure that processed complex acoustic features of musical pieces from various genres, with or without lyrics.""><b>Finding B:</b></span> Notably, activations in the medial orbitofrontal region and the anterior cingulate cortex, relevant for self-referential appraisal and aesthetic judgments, could be predicted successfully.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The researchers found that people remember information better if it is presented to them in a virtual environment. ""This data is exciting in that it suggests that immersive environments could offer new pathways for improved outcomes in education and high-proficiency training,"" says Amitabh Varshney, professor of computer science and dean of the College of Computer, Mathematical, and Natural Sciences at UMD. The results showed an 8.8 percent improvement overall in recall accuracy using the VR headsets, a statistically significant number according to the research team.""><b>Finding C:</b></span> The researchers found that people remember information better if it is presented to them in a virtual environment.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Developing this ability would be a win-win for both science and society. The benefits of forecasting\n\nBeyond helping people plan their weekends, ecological forecasts will improve decision-making in agriculture, forestry, fisheries and other industries. They will help private landowners, local governments and state and federal agencies better manage and conserve our land, water and coastlines, for example by warning of events such as pest outbreaks and harmful algal blooms.""><b>Finding D:</b></span> The benefits of forecasting\n\nBeyond helping people plan their weekends, ecological forecasts will improve decision-making in agriculture, forestry, fisheries and other industries."
Computer_Science_108_r$Computer_Science_231_r$Computer_Science_16_r$Computer_Science_220_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The below-the-cabin effect dominates the above-the-cabin effect."" The findings, published in the journal Management Science, shows airlines improved their median departure time between 3.3 to 4.2 minutes and reduced average departure delays between 1.3 to 2 minutes, depending on whether they charged for the first or second checked bag. The reductions are significant because departure times and mitigating delays are crucial to so many other facets of the business, such as the number of flights airlines can offer and their image among potential customers.""><b>Finding A:</b></span> The findings, published in the journal Management Science, shows airlines improved their median departure time between 3.3 to 4.2 minutes and reduced average departure delays between 1.3 to 2 minutes, depending on whether they charged for the first or second checked bag.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Researchers noticed that a part of the brain called the hippocampus was much larger in these animals than in similar species that did not secret away their snacks. In other words, taxi drivers had plumper memory centers than their peers. It seemed that the longer someone had been driving a taxi, the larger his hippocampus, as though the brain expanded to accommodate the cognitive demands of navigating London\'s streets.""><b>Finding B:</b></span> In other words, taxi drivers had plumper memory centers than their peers.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Similarly, 50 percent of men said it was acceptable to answer a call at a power lunch, compared to 26 percent of women. Despite the casual reputation, professionals from the West Coast were less accepting of mobile phone use in meetings than people from the East Coast. Higher-income professionals had less tolerance for smartphone use in business meetings.""><b>Finding C:</b></span> Despite the casual reputation, professionals from the West Coast were less accepting of mobile phone use in meetings than people from the East Coast.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Even at more informal business lunches, the majority of people thought writing a text message is rude -- 66 percent said writing or sending a text message is inappropriate. Men were nearly twice as likely as women to consider mobile phone use at a business lunch acceptable. More than 59 percent of men said it was okay to check text messages at a power lunch, compared to 34 percent of women who thought checking texts was appropriate.""><b>Finding D:</b></span> Men were nearly twice as likely as women to consider mobile phone use at a business lunch acceptable."
