DOI	id	News Finding	Paper Finding	News Context	Paper Context	scores	field	split	final_score	source	News URL	text
10.1001/jamasurg.2018.0672	Medicine_tweet_40	Poorer postoperative recovery in patients with lower functional health literacy! 	Health literacy is a relevant factor to consider for optimizing the postoperative recovery in patients undergoing day surgery.	Poorer postoperative recovery in patients with lower functional health literacy! 	CONCLUSIONS AND RELEVANCE Inadequate FHL in patients undergoing day surgery was associated with poorer postoperative recovery and a lower health-related quality of life. Health literacy is a relevant factor to consider for optimizing the postoperative recovery in patients undergoing day surgery. 6 Considering this, the association between FHL and postoperative recovery in patients undergoing day surgery needs to be assessed.	[4.0, 3.0, 4.0, 4.0, 4.0]	Medicine	train	3.8	tweets	989287935248912384	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Poorer postoperative recovery in patients with lower functional health literacy! ""><b>Finding A:</b></span> Poorer postoperative recovery in patients with lower functional health literacy! <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: CONCLUSIONS AND RELEVANCE Inadequate FHL in patients undergoing day surgery was associated with poorer postoperative recovery and a lower health-related quality of life. Health literacy is a relevant factor to consider for optimizing the postoperative recovery in patients undergoing day surgery. 6 Considering this, the association between FHL and postoperative recovery in patients undergoing day surgery needs to be assessed.""><b>Finding B:</b></span> Health literacy is a relevant factor to consider for optimizing the postoperative recovery in patients undergoing day surgery.']"
10.1126/scitranslmed.aab1290	Medicine_tweet_76	Drug Delivers Estrogen Selectively to the Brain to Treat Neurological Disorders #SciTM  via @username @username	We reveal the therapeutic potential of DHED on estrogen deficiency-associated neurological disorders and psychiatric conditions without encountering adverse systemic actions that are typically seen with the direct use of estrogens.	Drug Delivers Estrogen Selectively to the Brain to Treat Neurological Disorders #SciTM  via @username @username	Although this method provides increased selectivity in CNS delivery of the hormone, it still generates elevated levels of the hormone in the periphery with substantial uterotrophic side effects and sustained high circulating estrogen levels even after acute dosing . We reveal the therapeutic potential of DHED on estrogen deficiency-associated neurological disorders and psychiatric conditions without encountering adverse systemic actions that are typically seen with the direct use of estrogens. The reductive bioactivation of DHED to E 2 proceeds through hydride transfer from the coenzyme NADPH to the C1 position of the C1-C2 double bond of DHED's Aring that is conjugated to the 3-carbonyl group.	[4.0, 4.0, 4.0, 4.0, 4.0]	Medicine	train	4.0	tweets	623932971901435906	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Drug Delivers Estrogen Selectively to the Brain to Treat Neurological Disorders #SciTM  via @username @username""><b>Finding A:</b></span> Drug Delivers Estrogen Selectively to the Brain to Treat Neurological Disorders #SciTM  via @username @username<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Although this method provides increased selectivity in CNS delivery of the hormone, it still generates elevated levels of the hormone in the periphery with substantial uterotrophic side effects and sustained high circulating estrogen levels even after acute dosing . We reveal the therapeutic potential of DHED on estrogen deficiency-associated neurological disorders and psychiatric conditions without encountering adverse systemic actions that are typically seen with the direct use of estrogens. The reductive bioactivation of DHED to E 2 proceeds through hydride transfer from the coenzyme NADPH to the C1 position of the C1-C2 double bond of DHED\'s Aring that is conjugated to the 3-carbonyl group.""><b>Finding B:</b></span> We reveal the therapeutic potential of DHED on estrogen deficiency-associated neurological disorders and psychiatric conditions without encountering adverse systemic actions that are typically seen with the direct use of estrogens.']"
10.1038/s41467-018-07557-4	Medicine_112	"""This is the first study to explicitly show the amount of fundamental infrastructure potentially at risk across the Northern Hemisphere permafrost area under climate change,"" Hjort and his colleagues wrote in the paper."	Results show that by 2050 3.6 million people, which constitutes about three quarters of the current population in the Northern Hemisphere permafrost area, may be affected by damage to infrastructure associated with permafrost thaw (Fig.	"The team found that 3.6 million people--three quarters of the current population in the Northern Hemisphere permafrost area--may be affected by infrastructure damage from permafrost thaw. ""This is the first study to explicitly show the amount of fundamental infrastructure potentially at risk across the Northern Hemisphere permafrost area under climate change,"" Hjort and his colleagues wrote in the paper. The most vulnerable areas identified in the paper are home to nearly one million people, and contain 36,000 buildings, 13,000 kilometers of roads, and 100 airports."	The results show that most fundamental Arctic infrastructure will be at risk, even if the Paris Agreement target is achieved. Results show that by 2050 3.6 million people, which constitutes about three quarters of the current population in the Northern Hemisphere permafrost area, may be affected by damage to infrastructure associated with permafrost thaw (Fig. 2a , Supplementary  Tables 2 and 3 , Supplementary Data 1) (results for 2061-2080 are presented in Supplementary Fig.	[4.0, 5.0, 4.0]	Medicine	train	4.333333333333333	news	http://ct.moreover.com/?a=37952323296&p=1pl&v=1&x=YZkcSHKHdqhjfYYiUvZ_gw	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: The team found that 3.6 million people--three quarters of the current population in the Northern Hemisphere permafrost area--may be affected by infrastructure damage from permafrost thaw. ""This is the first study to explicitly show the amount of fundamental infrastructure potentially at risk across the Northern Hemisphere permafrost area under climate change,"" Hjort and his colleagues wrote in the paper. The most vulnerable areas identified in the paper are home to nearly one million people, and contain 36,000 buildings, 13,000 kilometers of roads, and 100 airports.""><b>Finding A:</b></span> ""This is the first study to explicitly show the amount of fundamental infrastructure potentially at risk across the Northern Hemisphere permafrost area under climate change,"" Hjort and his colleagues wrote in the paper.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: The results show that most fundamental Arctic infrastructure will be at risk, even if the Paris Agreement target is achieved. Results show that by 2050 3.6 million people, which constitutes about three quarters of the current population in the Northern Hemisphere permafrost area, may be affected by damage to infrastructure associated with permafrost thaw (Fig. 2a , Supplementary  Tables 2 and 3 , Supplementary Data 1) (results for 2061-2080 are presented in Supplementary Fig.""><b>Finding B:</b></span> Results show that by 2050 3.6 million people, which constitutes about three quarters of the current population in the Northern Hemisphere permafrost area, may be affected by damage to infrastructure associated with permafrost thaw (Fig.']"
10.1098/rspb.2018.0761	Medicine_349	They showed bumblebee queens were far less active and six times more likely to die during sustained exposure (37 days) to the pesticide, which could be somewhat mitigated by a shorter exposure of 17 days.	We found that queens exhibited increased mortality and dramatically reduced activity levels when exposed to imidacloprid, as well as delayed nest initiation and lower brood numbers in the nest, but partially recovered from these effects when they only received early, temporary exposure.	Led by Hollis Woodard, an assistant professor of entomology, the team found that exposure to a widely used insecticide and a poor diet negatively impacted bumblebee queens' health and work, which could have dramatic consequences on an already dwindling pollinator group. They showed bumblebee queens were far less active and six times more likely to die during sustained exposure (37 days) to the pesticide, which could be somewhat mitigated by a shorter exposure of 17 days. The surviving exposed bees also produced only a third of the eggs and a fourth of the larvae of untreated queens.	Nest initiation and survival are thus key drivers of both bumblebee pollination services and population dynamics. We found that queens exhibited increased mortality and dramatically reduced activity levels when exposed to imidacloprid, as well as delayed nest initiation and lower brood numbers in the nest, but partially recovered from these effects when they only received early, temporary exposure. The effects of pollen diet on individual queen-and colony-level responses were overshadowed by effects of the insecticide, although a monofloral pollen diet alone was sufficient to negatively impact brood production.	[4.0, 5.0, 4.0, 3.0]	Medicine	train	4.0	news	http://feedproxy.google.com/~r/TechnologyOrg/~3/Ea2TPwN3kfM/	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Led by Hollis Woodard, an assistant professor of entomology, the team found that exposure to a widely used insecticide and a poor diet negatively impacted bumblebee queens\' health and work, which could have dramatic consequences on an already dwindling pollinator group. They showed bumblebee queens were far less active and six times more likely to die during sustained exposure (37 days) to the pesticide, which could be somewhat mitigated by a shorter exposure of 17 days. The surviving exposed bees also produced only a third of the eggs and a fourth of the larvae of untreated queens.""><b>Finding A:</b></span> They showed bumblebee queens were far less active and six times more likely to die during sustained exposure (37 days) to the pesticide, which could be somewhat mitigated by a shorter exposure of 17 days.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Nest initiation and survival are thus key drivers of both bumblebee pollination services and population dynamics. We found that queens exhibited increased mortality and dramatically reduced activity levels when exposed to imidacloprid, as well as delayed nest initiation and lower brood numbers in the nest, but partially recovered from these effects when they only received early, temporary exposure. The effects of pollen diet on individual queen-and colony-level responses were overshadowed by effects of the insecticide, although a monofloral pollen diet alone was sufficient to negatively impact brood production.""><b>Finding B:</b></span> We found that queens exhibited increased mortality and dramatically reduced activity levels when exposed to imidacloprid, as well as delayed nest initiation and lower brood numbers in the nest, but partially recovered from these effects when they only received early, temporary exposure.']"
10.1186/1550-2783-10-5	Medicine_279	Whether you decide to eat 30 minutes or two hours after your workout, Agnani stressed that this meal is just as important as the one you had before hitting the gym.	demonstrated a clear benefit to consuming nutrients as soon as possible after exercise as opposed to delaying consumption.	"As for your eating after your workout, there is really no time constraint -- but you should definitely eat when you're hungry. Whether you decide to eat 30 minutes or two hours after your workout, Agnani stressed that this meal is just as important as the one you had before hitting the gym. ""Eating after your workout is important, as muscle repair continues,"" she wrote."	For maximizing MPS, the evidence supports the superiority of post-exercise free amino acids and/or protein (in various permutations with or without carbohydrate) compared to solely carbohydrate or non-caloric placebo . demonstrated a clear benefit to consuming nutrients as soon as possible after exercise as opposed to delaying consumption. Protein synthesis of the legs and whole body was increased threefold when the supplement was ingested immediately after exercise, as compared to just 12% when consumption was delayed.	[5.0, 2.0, 3.0, 1.0]	Medicine	val	5.0	news	http://ct.moreover.com/?a=39781460781&p=1pl&v=1&x=P4zRhdjGcASF9aYbnV9Q3w	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: As for your eating after your workout, there is really no time constraint -- but you should definitely eat when you\'re hungry. Whether you decide to eat 30 minutes or two hours after your workout, Agnani stressed that this meal is just as important as the one you had before hitting the gym. ""Eating after your workout is important, as muscle repair continues,"" she wrote.""><b>Finding A:</b></span> Whether you decide to eat 30 minutes or two hours after your workout, Agnani stressed that this meal is just as important as the one you had before hitting the gym.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: For maximizing MPS, the evidence supports the superiority of post-exercise free amino acids and/or protein (in various permutations with or without carbohydrate) compared to solely carbohydrate or non-caloric placebo . demonstrated a clear benefit to consuming nutrients as soon as possible after exercise as opposed to delaying consumption. Protein synthesis of the legs and whole body was increased threefold when the supplement was ingested immediately after exercise, as compared to just 12% when consumption was delayed.""><b>Finding B:</b></span> demonstrated a clear benefit to consuming nutrients as soon as possible after exercise as opposed to delaying consumption.']"
10.1111/cdev.12344	Medicine_tweet_17	Elementary teachers' depression symptoms related to students' learning... 	Teachers' depressive symptoms were negatively associated with quality of CLE, and quality of CLE mediated the association between depressive symptoms and student achievement.	Elementary teachers' depression symptoms related to students' learning... 	This depended on students' fall mathematics scores; students who began the year with weaker math skills and were in classrooms where teachers reported more depressive symptoms achieved smaller gains than did peers whose teachers reported fewer symptoms. Teachers' depressive symptoms were negatively associated with quality of CLE, and quality of CLE mediated the association between depressive symptoms and student achievement. The findings point to the importance of teachers' mental health, with implications for policy and practice.	[2.0, 4.0, 4.0, 4.0]	Medicine	train	3.5	tweets	566213087720914944	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Elementary teachers\' depression symptoms related to students\' learning... ""><b>Finding A:</b></span> Elementary teachers\' depression symptoms related to students\' learning... <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: This depended on students\' fall mathematics scores; students who began the year with weaker math skills and were in classrooms where teachers reported more depressive symptoms achieved smaller gains than did peers whose teachers reported fewer symptoms. Teachers\' depressive symptoms were negatively associated with quality of CLE, and quality of CLE mediated the association between depressive symptoms and student achievement. The findings point to the importance of teachers\' mental health, with implications for policy and practice.""><b>Finding B:</b></span> Teachers\' depressive symptoms were negatively associated with quality of CLE, and quality of CLE mediated the association between depressive symptoms and student achievement.']"
10.1038/s41598-018-29793-w	Medicine_52	Each nasal microbiota type had a characteristic inflammatory response and viral load profile.	The results indicate that nasal microbiota has a role in the presentation of viral upper respiratory illness symptoms.	The study team found that the baseline nasal microbiota samples divided into six types named after predominant bacterial genera: (1) Staphylococcus, (2) Corynebacterium/Alloiococcus, (3) Moraxella, (4) Haemophilus, (5) Pseudomonadaceae/Mixed, and (6) Mixed. Each nasal microbiota type had a characteristic inflammatory response and viral load profile. In general, subjects having Staphyloccocus, and Corynebacterium/Alloiococcus types had lower inflammatory responses and Pseudomonadaceae/Mixed type had lower viral load than other types.	The individual symptoms sneezing, plugged nose, and cough followed a similar pattern. The results indicate that nasal microbiota has a role in the presentation of viral upper respiratory illness symptoms. It has been shown that the severity of illness is modestly correlated with the innate inflammatory CXCL8 and CXCL10 response to the virus 33 , however the nasal lavage concentrations of these cytokines were similar between the clusters.	[5.0, 4.0, 3.0, 2.0, 4.0]	Medicine	train	3.6	news	http://ct.moreover.com/?a=37212363335&p=1pl&v=1&x=sLcdfRtU-o1Jl6n2DiKDzQ	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: The study team found that the baseline nasal microbiota samples divided into six types named after predominant bacterial genera: (1) Staphylococcus, (2) Corynebacterium/Alloiococcus, (3) Moraxella, (4) Haemophilus, (5) Pseudomonadaceae/Mixed, and (6) Mixed. Each nasal microbiota type had a characteristic inflammatory response and viral load profile. In general, subjects having Staphyloccocus, and Corynebacterium/Alloiococcus types had lower inflammatory responses and Pseudomonadaceae/Mixed type had lower viral load than other types.""><b>Finding A:</b></span> Each nasal microbiota type had a characteristic inflammatory response and viral load profile.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: The individual symptoms sneezing, plugged nose, and cough followed a similar pattern. The results indicate that nasal microbiota has a role in the presentation of viral upper respiratory illness symptoms. It has been shown that the severity of illness is modestly correlated with the innate inflammatory CXCL8 and CXCL10 response to the virus 33 , however the nasal lavage concentrations of these cytokines were similar between the clusters.""><b>Finding B:</b></span> The results indicate that nasal microbiota has a role in the presentation of viral upper respiratory illness symptoms.']"
10.3945/ajcn.113.066688	Medicine_443	Now, findings from Monell reveal that a person's sensitivity to bitter taste is shaped not only by which taste genes that person has, but also by how much messenger RNA -- the gene's instruction guide that tells a taste cell to build a specific receptor - their cells make.	We provide the first experimental evidence that mRNA expression amounts of the PAV allele of the TAS2R38 taste receptor gene correlate with sensory perception of bitterness and with dietary habits in humans.	However, some perplexing pieces of the puzzle remained, as two people with exactly the same genetic makeup can still differ markedly regarding how bitter certain foods and liquids taste to them. Now, findings from Monell reveal that a person's sensitivity to bitter taste is shaped not only by which taste genes that person has, but also by how much messenger RNA -- the gene's instruction guide that tells a taste cell to build a specific receptor - their cells make. The findings add a new level of complexity to the understanding of the cellular mechanisms of taste perception, which may ultimately lend insight into individual differences in food preferences and dietary choices.	intensity, it was not combined with gene expression in a final model. We provide the first experimental evidence that mRNA expression amounts of the PAV allele of the TAS2R38 taste receptor gene correlate with sensory perception of bitterness and with dietary habits in humans. PAV-TAS2R38 expression was detected in the majority of PAV/AVI heterozygotes (61%), with substantial variation in expression that related to variations in psychophysical perception of known TAS2R38 ligands PROP and broccoli juice: the greater the gene expression, the greater the ratings of bitterness.	[4.0, 5.0, 5.0, 4.0, 3.0]	Medicine	train	4.2	news	http://www.sciencedaily.com/releases/2013/09/130911184403.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily+%28ScienceDaily%3A+Latest+Science+News%29	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: However, some perplexing pieces of the puzzle remained, as two people with exactly the same genetic makeup can still differ markedly regarding how bitter certain foods and liquids taste to them. Now, findings from Monell reveal that a person\'s sensitivity to bitter taste is shaped not only by which taste genes that person has, but also by how much messenger RNA -- the gene\'s instruction guide that tells a taste cell to build a specific receptor - their cells make. The findings add a new level of complexity to the understanding of the cellular mechanisms of taste perception, which may ultimately lend insight into individual differences in food preferences and dietary choices.""><b>Finding A:</b></span> Now, findings from Monell reveal that a person\'s sensitivity to bitter taste is shaped not only by which taste genes that person has, but also by how much messenger RNA -- the gene\'s instruction guide that tells a taste cell to build a specific receptor - their cells make.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: intensity, it was not combined with gene expression in a final model. We provide the first experimental evidence that mRNA expression amounts of the PAV allele of the TAS2R38 taste receptor gene correlate with sensory perception of bitterness and with dietary habits in humans. PAV-TAS2R38 expression was detected in the majority of PAV/AVI heterozygotes (61%), with substantial variation in expression that related to variations in psychophysical perception of known TAS2R38 ligands PROP and broccoli juice: the greater the gene expression, the greater the ratings of bitterness.""><b>Finding B:</b></span> We provide the first experimental evidence that mRNA expression amounts of the PAV allele of the TAS2R38 taste receptor gene correlate with sensory perception of bitterness and with dietary habits in humans.']"
10.1038/s41467-018-08278-4	Medicine_tweet_6	"Ken Muneoka and colleagues @username find that BMP9 treatment promotes joint regeneration from digit amputation wounds.

"	We show here that Bmp9 is transiently expressed during digit joint cavitation and that BMP9 treatment stimulates joint regeneration.	"Ken Muneoka and colleagues @username find that BMP9 treatment promotes joint regeneration from digit amputation wounds.

"	Unlike other BMP family members, BMP9 is not effected by BMP antagonists such as Noggin 12 which suppresses BMP signaling and is necessary for joint morphogenesis . We show here that Bmp9 is transiently expressed during digit joint cavitation and that BMP9 treatment stimulates joint regeneration. During angiogenesis, BMP9 acts in a contextdependent manner, inhibiting neovascularization in a model of age-related macular degeneration , while stimulating angiogenesis associated with induced osteogenesis .	[4.0, 5.0, 1.0, 4.0, 5.0]	Medicine	train	5.0	tweets	1095638718826926080	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Ken Muneoka and colleagues @username find that BMP9 treatment promotes joint regeneration from digit amputation wounds.\n\n""><b>Finding A:</b></span> Ken Muneoka and colleagues @username find that BMP9 treatment promotes joint regeneration from digit amputation wounds.\n\n<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Unlike other BMP family members, BMP9 is not effected by BMP antagonists such as Noggin 12 which suppresses BMP signaling and is necessary for joint morphogenesis . We show here that Bmp9 is transiently expressed during digit joint cavitation and that BMP9 treatment stimulates joint regeneration. During angiogenesis, BMP9 acts in a contextdependent manner, inhibiting neovascularization in a model of age-related macular degeneration , while stimulating angiogenesis associated with induced osteogenesis .""><b>Finding B:</b></span> We show here that Bmp9 is transiently expressed during digit joint cavitation and that BMP9 treatment stimulates joint regeneration.']"
10.1001/jama.2014.15690	Medicine_tweet_145	Aspirin - another drug that doesn't seem to make much difference in heart disease prevention in persons at risk 	The 5-year cumulative primary outcome event rate was not significantly different between the groups (2.77% [95% CI, 2.40%-3.20%] for aspirin vs 2.96% [95% CI, 2.58%-3.40%] for no aspirin; hazard ratio [HR], 0.94 [95% CI, 0.77-1.15]; P = .54).	Aspirin - another drug that doesn't seem to make much difference in heart disease prevention in persons at risk 	Patients with an occurrence of nonfatal stroke totaled 114 in the aspirin group and 108 in the no aspirin group; of nonfatal myocardial infarction, 20 in the aspirin group and 38 in the no aspirin group; of undefined cerebrovascular events, 3 in the aspirin group and 5 in the no aspirin group. The 5-year cumulative primary outcome event rate was not significantly different between the groups (2.77% [95% CI, 2.40%-3.20%] for aspirin vs 2.96% [95% CI, 2.58%-3.40%] for no aspirin; hazard ratio [HR], 0.94 [95% CI, 0.77-1.15]; P = .54). Aspirin significantly reduced incidence of nonfatal myocardial infarction (0.30 [95% CI, 0.19-0.47] for aspirin vs 0.58 [95% CI, 0.42-0.81] for no aspirin; HR, 0.53 [95% CI, 0.31-0.91]; P = .02) and transient ischemic attack (0.26 [95% CI, 0.16-0.42] for aspirin vs 0.49 [95% CI, 0.35-0.69] for no aspirin; HR, 0.57 [95% CI, 0.32-0.99]; P = .04), and significantly increased the risk of extracranial hemorrhage requiring transfusion or hospitalization (0.86 [95% CI, 0.67-1.11] for aspirin vs 0.51 [95% CI, 0.37-0.72] for no aspirin; HR, 1.85 [95% CI, 1.22-2.81]; P = .004).	[4.0, 5.0, 5.0, 1.0, 4.0]	Medicine	train	5.0	tweets	548775937345859586	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Aspirin - another drug that doesn\'t seem to make much difference in heart disease prevention in persons at risk ""><b>Finding A:</b></span> Aspirin - another drug that doesn\'t seem to make much difference in heart disease prevention in persons at risk <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Patients with an occurrence of nonfatal stroke totaled 114 in the aspirin group and 108 in the no aspirin group; of nonfatal myocardial infarction, 20 in the aspirin group and 38 in the no aspirin group; of undefined cerebrovascular events, 3 in the aspirin group and 5 in the no aspirin group. The 5-year cumulative primary outcome event rate was not significantly different between the groups (2.77% [95% CI, 2.40%-3.20%] for aspirin vs 2.96% [95% CI, 2.58%-3.40%] for no aspirin; hazard ratio [HR], 0.94 [95% CI, 0.77-1.15]; P = .54). Aspirin significantly reduced incidence of nonfatal myocardial infarction (0.30 [95% CI, 0.19-0.47] for aspirin vs 0.58 [95% CI, 0.42-0.81] for no aspirin; HR, 0.53 [95% CI, 0.31-0.91]; P = .02) and transient ischemic attack (0.26 [95% CI, 0.16-0.42] for aspirin vs 0.49 [95% CI, 0.35-0.69] for no aspirin; HR, 0.57 [95% CI, 0.32-0.99]; P = .04), and significantly increased the risk of extracranial hemorrhage requiring transfusion or hospitalization (0.86 [95% CI, 0.67-1.11] for aspirin vs 0.51 [95% CI, 0.37-0.72] for no aspirin; HR, 1.85 [95% CI, 1.22-2.81]; P = .004).""><b>Finding B:</b></span> The 5-year cumulative primary outcome event rate was not significantly different between the groups (2.77% [95% CI, 2.40%-3.20%] for aspirin vs 2.96% [95% CI, 2.58%-3.40%] for no aspirin; hazard ratio [HR], 0.94 [95% CI, 0.77-1.15]; P = .54).']"
