DOI	id	News Finding	Paper Finding	News Context	Paper Context	scores	field	split	final_score	source	News URL	text
10.1038/s41589-018-0155-8	Medicine_234_r	However, in further experiments conducted by the laboratory of study co-senior author John Teijaro, an assistant professor in the Department of Immunology and Microbiology at Scripps Research, it was clear that the reduction in ABHD12 activity had a big effect on the mouse immune system.	Taken together, these data indicate that the inactivation of ABHD12 promotes increased lung ) , regulated on activation, normal T cell expressed and secreted.	The rise wasn't as great as that seen in the ABHD12-knockout mice, and even four weeks of treatment with the inhibitor appeared to cause only slight hearing defects -- nothing like the profound defects experienced by PHARC patients. However, in further experiments conducted by the laboratory of study co-senior author John Teijaro, an assistant professor in the Department of Immunology and Microbiology at Scripps Research, it was clear that the reduction in ABHD12 activity had a big effect on the mouse immune system. Ordinary mice infected with LCMV clone 13 typically have minor symptoms but take a long time to clear the infection.	Finally, ABHD12 -/mice that survived the initial exaggerated immune response (~days 8-15) displayed a gradual reduction in viral titers in the serum and lung over the ensuing weeks (Fig. Taken together, these data indicate that the inactivation of ABHD12 promotes increased lung ) , regulated on activation, normal T cell expressed and secreted. e, ABHD12 -/mice kill adoptively transferred splenocytes displaying LCMV-specific antigen (GP33-41) more efficiently than ABHD12 +/+ mice.	[4.0, 2.0, 3.0, 4.0, 5.0]	Medicine	train	3.6	news	http://ct.moreover.com/?a=37814264274&p=1pl&v=1&x=fV_-TrzPs9X1ZtNnkmq4RQ	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The rise wasn\'t as great as that seen in the ABHD12-knockout mice, and even four weeks of treatment with the inhibitor appeared to cause only slight hearing defects -- nothing like the profound defects experienced by PHARC patients. However, in further experiments conducted by the laboratory of study co-senior author John Teijaro, an assistant professor in the Department of Immunology and Microbiology at Scripps Research, it was clear that the reduction in ABHD12 activity had a big effect on the mouse immune system. Ordinary mice infected with LCMV clone 13 typically have minor symptoms but take a long time to clear the infection.""><b>Finding:</b></span> However, in further experiments conducted by the laboratory of study co-senior author John Teijaro, an assistant professor in the Department of Immunology and Microbiology at Scripps Research, it was clear that the reduction in ABHD12 activity had a big effect on the mouse immune system.']"
10.1038/s41589-018-0155-8	Medicine_234_p	However, in further experiments conducted by the laboratory of study co-senior author John Teijaro, an assistant professor in the Department of Immunology and Microbiology at Scripps Research, it was clear that the reduction in ABHD12 activity had a big effect on the mouse immune system.	Taken together, these data indicate that the inactivation of ABHD12 promotes increased lung ) , regulated on activation, normal T cell expressed and secreted.	The rise wasn't as great as that seen in the ABHD12-knockout mice, and even four weeks of treatment with the inhibitor appeared to cause only slight hearing defects -- nothing like the profound defects experienced by PHARC patients. However, in further experiments conducted by the laboratory of study co-senior author John Teijaro, an assistant professor in the Department of Immunology and Microbiology at Scripps Research, it was clear that the reduction in ABHD12 activity had a big effect on the mouse immune system. Ordinary mice infected with LCMV clone 13 typically have minor symptoms but take a long time to clear the infection.	Finally, ABHD12 -/mice that survived the initial exaggerated immune response (~days 8-15) displayed a gradual reduction in viral titers in the serum and lung over the ensuing weeks (Fig. Taken together, these data indicate that the inactivation of ABHD12 promotes increased lung ) , regulated on activation, normal T cell expressed and secreted. e, ABHD12 -/mice kill adoptively transferred splenocytes displaying LCMV-specific antigen (GP33-41) more efficiently than ABHD12 +/+ mice.	[4.0, 2.0, 3.0, 4.0, 5.0]	Medicine	train	3.6	news	http://ct.moreover.com/?a=37814264274&p=1pl&v=1&x=fV_-TrzPs9X1ZtNnkmq4RQ	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Finally, ABHD12 -/mice that survived the initial exaggerated immune response (~days 8-15) displayed a gradual reduction in viral titers in the serum and lung over the ensuing weeks (Fig. Taken together, these data indicate that the inactivation of ABHD12 promotes increased lung ) , regulated on activation, normal T cell expressed and secreted. e, ABHD12 -/mice kill adoptively transferred splenocytes displaying LCMV-specific antigen (GP33-41) more efficiently than ABHD12 +/+ mice.""><b>Finding:</b></span> Taken together, these data indicate that the inactivation of ABHD12 promotes increased lung ) , regulated on activation, normal T cell expressed and secreted.']"
10.1001/jamapediatrics.2018.0302	Medicine_tweet_181_r	"""Question  Is vitamin D supplementation during pregnancy beneficial and safe for offspring?""  Answer: pretty much, yes. And some editorial comments:  and some other 'possible' links... "	Vitamin D supplementation was associated with higher neonatal vitamin D status (bolus-or regular-dose supplement and early or late timing were equally effective in attaining improvement in vitamin D levels), higher calcium levels, higher Apgar scores, greater neonatal skinfold thickness, greater weight (at birth, 3 months, 6 months, 9 months, and 12 months), and greater height (at 3 months, 9 months, and 12 months) in the offspring.	"""Question  Is vitamin D supplementation during pregnancy beneficial and safe for offspring?""  Answer: pretty much, yes. And some editorial comments:  and some other 'possible' links... "	Vitamin D supplementation during pregnancy with lower doses (≤2000 IU/d) was associated with a reduced risk of fetal and neonatal mortality. Vitamin D supplementation was associated with higher neonatal vitamin D status (bolus-or regular-dose supplement and early or late timing were equally effective in attaining improvement in vitamin D levels), higher calcium levels, higher Apgar scores, greater neonatal skinfold thickness, greater weight (at birth, 3 months, 6 months, 9 months, and 12 months), and greater height (at 3 months, 9 months, and 12 months) in the offspring. Timing of vitamin D supplementation affected birth weight.	[3.0, 4.0, 5.0, 4.0, 5.0]	Medicine	train	4.2	tweets	1001561613021990914	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""Question  Is vitamin D supplementation during pregnancy beneficial and safe for offspring?""  Answer: pretty much, yes. And some editorial comments:  and some other \'possible\' links... ""><b>Finding:</b></span> ""Question  Is vitamin D supplementation during pregnancy beneficial and safe for offspring?""  Answer: pretty much, yes. And some editorial comments:  and some other \'possible\' links... ']"
10.1001/jamapediatrics.2018.0302	Medicine_tweet_181_p	"""Question  Is vitamin D supplementation during pregnancy beneficial and safe for offspring?""  Answer: pretty much, yes. And some editorial comments:  and some other 'possible' links... "	Vitamin D supplementation was associated with higher neonatal vitamin D status (bolus-or regular-dose supplement and early or late timing were equally effective in attaining improvement in vitamin D levels), higher calcium levels, higher Apgar scores, greater neonatal skinfold thickness, greater weight (at birth, 3 months, 6 months, 9 months, and 12 months), and greater height (at 3 months, 9 months, and 12 months) in the offspring.	"""Question  Is vitamin D supplementation during pregnancy beneficial and safe for offspring?""  Answer: pretty much, yes. And some editorial comments:  and some other 'possible' links... "	Vitamin D supplementation during pregnancy with lower doses (≤2000 IU/d) was associated with a reduced risk of fetal and neonatal mortality. Vitamin D supplementation was associated with higher neonatal vitamin D status (bolus-or regular-dose supplement and early or late timing were equally effective in attaining improvement in vitamin D levels), higher calcium levels, higher Apgar scores, greater neonatal skinfold thickness, greater weight (at birth, 3 months, 6 months, 9 months, and 12 months), and greater height (at 3 months, 9 months, and 12 months) in the offspring. Timing of vitamin D supplementation affected birth weight.	[3.0, 4.0, 5.0, 4.0, 5.0]	Medicine	train	4.2	tweets	1001561613021990914	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Vitamin D supplementation during pregnancy with lower doses (≤2000 IU/d) was associated with a reduced risk of fetal and neonatal mortality. Vitamin D supplementation was associated with higher neonatal vitamin D status (bolus-or regular-dose supplement and early or late timing were equally effective in attaining improvement in vitamin D levels), higher calcium levels, higher Apgar scores, greater neonatal skinfold thickness, greater weight (at birth, 3 months, 6 months, 9 months, and 12 months), and greater height (at 3 months, 9 months, and 12 months) in the offspring. Timing of vitamin D supplementation affected birth weight.""><b>Finding:</b></span> Vitamin D supplementation was associated with higher neonatal vitamin D status (bolus-or regular-dose supplement and early or late timing were equally effective in attaining improvement in vitamin D levels), higher calcium levels, higher Apgar scores, greater neonatal skinfold thickness, greater weight (at birth, 3 months, 6 months, 9 months, and 12 months), and greater height (at 3 months, 9 months, and 12 months) in the offspring.']"
10.1001/jamapediatrics.2013.4951	Medicine_138_r	"A Genetic Risk for Big Appetites

The importance of catching these signs could become greater if the child is already genetically predisposed to a large appetite."	Similar patterns are to be expected in the wider population; therefore, this study corroborates the hypothesis that a hearty appetite in infancy is a risk factor for faster weight gain.	"This behavior could put her at risk of gaining weight faster than is good for her."" A Genetic Risk for Big Appetites

The importance of catching these signs could become greater if the child is already genetically predisposed to a large appetite. ""As expected, we found that children with a higher PRS score were likely to have larger BMI and waist circumference,"" Dr. Clare Llewellyn, lead author of this study, said in the release."	25 Our findings indicate that within the same family the sibling with the higher appetite grows faster than the sibling with the lower appetite. Similar patterns are to be expected in the wider population; therefore, this study corroborates the hypothesis that a hearty appetite in infancy is a risk factor for faster weight gain. Our study has several strengths.	[4.0, 3.0, 4.0]	Medicine	train	3.6666666666666665	news	http://www.medicaldaily.com/controlling-appetite-may-be-best-bet-curbing-childhood-obesity-269480	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This behavior could put her at risk of gaining weight faster than is good for her."" A Genetic Risk for Big Appetites\n\nThe importance of catching these signs could become greater if the child is already genetically predisposed to a large appetite. ""As expected, we found that children with a higher PRS score were likely to have larger BMI and waist circumference,"" Dr. Clare Llewellyn, lead author of this study, said in the release.""><b>Finding:</b></span> A Genetic Risk for Big Appetites\n\nThe importance of catching these signs could become greater if the child is already genetically predisposed to a large appetite.']"
10.1001/jamapediatrics.2013.4951	Medicine_138_p	"A Genetic Risk for Big Appetites

The importance of catching these signs could become greater if the child is already genetically predisposed to a large appetite."	Similar patterns are to be expected in the wider population; therefore, this study corroborates the hypothesis that a hearty appetite in infancy is a risk factor for faster weight gain.	"This behavior could put her at risk of gaining weight faster than is good for her."" A Genetic Risk for Big Appetites

The importance of catching these signs could become greater if the child is already genetically predisposed to a large appetite. ""As expected, we found that children with a higher PRS score were likely to have larger BMI and waist circumference,"" Dr. Clare Llewellyn, lead author of this study, said in the release."	25 Our findings indicate that within the same family the sibling with the higher appetite grows faster than the sibling with the lower appetite. Similar patterns are to be expected in the wider population; therefore, this study corroborates the hypothesis that a hearty appetite in infancy is a risk factor for faster weight gain. Our study has several strengths.	[4.0, 3.0, 4.0]	Medicine	train	3.6666666666666665	news	http://www.medicaldaily.com/controlling-appetite-may-be-best-bet-curbing-childhood-obesity-269480	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: 25 Our findings indicate that within the same family the sibling with the higher appetite grows faster than the sibling with the lower appetite. Similar patterns are to be expected in the wider population; therefore, this study corroborates the hypothesis that a hearty appetite in infancy is a risk factor for faster weight gain. Our study has several strengths.""><b>Finding:</b></span> Similar patterns are to be expected in the wider population; therefore, this study corroborates the hypothesis that a hearty appetite in infancy is a risk factor for faster weight gain.']"
10.1093/alcalc/agu018	Medicine_tweet_87_r	Do UK TV Alcohol Advertisements Abide by the Code of Broadcast Advertising? Probably not.  This is brilliant.	Overall, three in four participants perceived the advertisements to breach at least one alcohol-specific rule in the BCAP Code.	Do UK TV Alcohol Advertisements Abide by the Code of Broadcast Advertising? Probably not.  This is brilliant.	There were no significant differences in the proportion of participants in each age group and of each gender who perceived the advertisements to breach at least one alcohol-specific guideline in the BCAP Code (all P > 0.05). Overall, three in four participants perceived the advertisements to breach at least one alcohol-specific rule in the BCAP Code. There was significant variation across advertisements in perceived compliance, with the proportion of perceived breaches ranging from 91% for Captain Morgan's Spiced to 49% for Disaronno Originale.	[4.0, 4.0, 4.0, 5.0, 5.0]	Medicine	val	4.4	tweets	456749950781513728	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Do UK TV Alcohol Advertisements Abide by the Code of Broadcast Advertising? Probably not.  This is brilliant.""><b>Finding:</b></span> Do UK TV Alcohol Advertisements Abide by the Code of Broadcast Advertising? Probably not.  This is brilliant.']"
10.1093/alcalc/agu018	Medicine_tweet_87_p	Do UK TV Alcohol Advertisements Abide by the Code of Broadcast Advertising? Probably not.  This is brilliant.	Overall, three in four participants perceived the advertisements to breach at least one alcohol-specific rule in the BCAP Code.	Do UK TV Alcohol Advertisements Abide by the Code of Broadcast Advertising? Probably not.  This is brilliant.	There were no significant differences in the proportion of participants in each age group and of each gender who perceived the advertisements to breach at least one alcohol-specific guideline in the BCAP Code (all P > 0.05). Overall, three in four participants perceived the advertisements to breach at least one alcohol-specific rule in the BCAP Code. There was significant variation across advertisements in perceived compliance, with the proportion of perceived breaches ranging from 91% for Captain Morgan's Spiced to 49% for Disaronno Originale.	[4.0, 4.0, 4.0, 5.0, 5.0]	Medicine	val	4.4	tweets	456749950781513728	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: There were no significant differences in the proportion of participants in each age group and of each gender who perceived the advertisements to breach at least one alcohol-specific guideline in the BCAP Code (all P > 0.05). Overall, three in four participants perceived the advertisements to breach at least one alcohol-specific rule in the BCAP Code. There was significant variation across advertisements in perceived compliance, with the proportion of perceived breaches ranging from 91% for Captain Morgan\'s Spiced to 49% for Disaronno Originale.""><b>Finding:</b></span> Overall, three in four participants perceived the advertisements to breach at least one alcohol-specific rule in the BCAP Code.']"
10.1016/j.biopsych.2013.07.024	Medicine_tweet_123_r	New study ( prenatal exposure to glucucorticoids or smoking raise adult daughters' nicotine dependence but not sons'	Given evidence for more pronounced MSDP-offspring smoking links in daughters (12-14, 16,17,19,24) and for sex differences in prenatal glucocorticoid levels (59) and offspring outcomes after prenatal glucocorticoid exposure (60), we also hypothesized that links between prenatal glucocorticoids and offspring ND would be stronger for daughters.	New study ( prenatal exposure to glucucorticoids or smoking raise adult daughters' nicotine dependence but not sons'	Thus, we propose that maternal cortisol levels might mediate the relation between MSDP and offspring ND. Given evidence for more pronounced MSDP-offspring smoking links in daughters (12-14, 16,17,19,24) and for sex differences in prenatal glucocorticoid levels (59) and offspring outcomes after prenatal glucocorticoid exposure (60), we also hypothesized that links between prenatal glucocorticoids and offspring ND would be stronger for daughters. showed associations between fetal testosterone exposure and alterations in responsiveness of neural reward regions and behavioral approach tendencies, both of which have been associated with ND .	[5.0, 4.0, 3.0, 3.0]	Medicine	train	3.75	tweets	423478257359392768	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: New study ( prenatal exposure to glucucorticoids or smoking raise adult daughters\' nicotine dependence but not sons\'""><b>Finding:</b></span> New study ( prenatal exposure to glucucorticoids or smoking raise adult daughters\' nicotine dependence but not sons\'']"
10.1016/j.biopsych.2013.07.024	Medicine_tweet_123_p	New study ( prenatal exposure to glucucorticoids or smoking raise adult daughters' nicotine dependence but not sons'	Given evidence for more pronounced MSDP-offspring smoking links in daughters (12-14, 16,17,19,24) and for sex differences in prenatal glucocorticoid levels (59) and offspring outcomes after prenatal glucocorticoid exposure (60), we also hypothesized that links between prenatal glucocorticoids and offspring ND would be stronger for daughters.	New study ( prenatal exposure to glucucorticoids or smoking raise adult daughters' nicotine dependence but not sons'	Thus, we propose that maternal cortisol levels might mediate the relation between MSDP and offspring ND. Given evidence for more pronounced MSDP-offspring smoking links in daughters (12-14, 16,17,19,24) and for sex differences in prenatal glucocorticoid levels (59) and offspring outcomes after prenatal glucocorticoid exposure (60), we also hypothesized that links between prenatal glucocorticoids and offspring ND would be stronger for daughters. showed associations between fetal testosterone exposure and alterations in responsiveness of neural reward regions and behavioral approach tendencies, both of which have been associated with ND .	[5.0, 4.0, 3.0, 3.0]	Medicine	train	3.75	tweets	423478257359392768	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Thus, we propose that maternal cortisol levels might mediate the relation between MSDP and offspring ND. Given evidence for more pronounced MSDP-offspring smoking links in daughters (12-14, 16,17,19,24) and for sex differences in prenatal glucocorticoid levels (59) and offspring outcomes after prenatal glucocorticoid exposure (60), we also hypothesized that links between prenatal glucocorticoids and offspring ND would be stronger for daughters. showed associations between fetal testosterone exposure and alterations in responsiveness of neural reward regions and behavioral approach tendencies, both of which have been associated with ND .""><b>Finding:</b></span> Given evidence for more pronounced MSDP-offspring smoking links in daughters (12-14, 16,17,19,24) and for sex differences in prenatal glucocorticoid levels (59) and offspring outcomes after prenatal glucocorticoid exposure (60), we also hypothesized that links between prenatal glucocorticoids and offspring ND would be stronger for daughters.']"
