DOI	id	News Finding	Paper Finding	News Context	Paper Context	scores	field	split	final_score	source	News URL	text
10.1001/jama.2018.20578	Medicine_4_r	">>

Le Dr. Zheng a explique que l'usage de l'aspirine devrait donner lieu a une discussion entre les patients et les medecins, et leur preciser que toute amelioration de leur sante cardiovasculaire, meme minime, implique << un reel risque d'hemorragie grave >>."	In this meta-analysis, the use of aspirin in individuals without cardiovascular disease was associated with a lower risk of cardiovascular events and an increased risk of major bleeding.	"Cette etude montre que, si les incidents cardiovasculaires peuvent etre reduits chez ces patients, les avantages sont confrontes a un plus grand risque d'incidents hemorragiques majeurs. >>

Le Dr. Zheng a explique que l'usage de l'aspirine devrait donner lieu a une discussion entre les patients et les medecins, et leur preciser que toute amelioration de leur sante cardiovasculaire, meme minime, implique << un reel risque d'hemorragie grave >>. Certains des participants prenaient de l'aspirine tandis que d'autres avaient un placebo ou rien du tout."	19, 22 Increasing adoption of additional primary prevention strategies, such as risk factor modification and development of public health initiatives, may limit the applicability of earlier studies to current practice. In this meta-analysis, the use of aspirin in individuals without cardiovascular disease was associated with a lower risk of cardiovascular events and an increased risk of major bleeding. This information may inform discussions with patients about aspirin for primary prevention of cardiovascular events and bleeding.	[1.0, 1.0, 4.0, 5.0, 3.0]	Medicine	train	4.0	news	http://ct.moreover.com/?a=38330869620&p=1pl&v=1&x=M8k770LVWvQytywr57cyKg	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Cette etude montre que, si les incidents cardiovasculaires peuvent etre reduits chez ces patients, les avantages sont confrontes a un plus grand risque d\'incidents hemorragiques majeurs. >>\n\nLe Dr. Zheng a explique que l\'usage de l\'aspirine devrait donner lieu a une discussion entre les patients et les medecins, et leur preciser que toute amelioration de leur sante cardiovasculaire, meme minime, implique << un reel risque d\'hemorragie grave >>. Certains des participants prenaient de l\'aspirine tandis que d\'autres avaient un placebo ou rien du tout.""><b>Finding:</b></span> >>\n\nLe Dr. Zheng a explique que l\'usage de l\'aspirine devrait donner lieu a une discussion entre les patients et les medecins, et leur preciser que toute amelioration de leur sante cardiovasculaire, meme minime, implique << un reel risque d\'hemorragie grave >>.']"
10.1001/jama.2018.20578	Medicine_4_p	">>

Le Dr. Zheng a explique que l'usage de l'aspirine devrait donner lieu a une discussion entre les patients et les medecins, et leur preciser que toute amelioration de leur sante cardiovasculaire, meme minime, implique << un reel risque d'hemorragie grave >>."	In this meta-analysis, the use of aspirin in individuals without cardiovascular disease was associated with a lower risk of cardiovascular events and an increased risk of major bleeding.	"Cette etude montre que, si les incidents cardiovasculaires peuvent etre reduits chez ces patients, les avantages sont confrontes a un plus grand risque d'incidents hemorragiques majeurs. >>

Le Dr. Zheng a explique que l'usage de l'aspirine devrait donner lieu a une discussion entre les patients et les medecins, et leur preciser que toute amelioration de leur sante cardiovasculaire, meme minime, implique << un reel risque d'hemorragie grave >>. Certains des participants prenaient de l'aspirine tandis que d'autres avaient un placebo ou rien du tout."	19, 22 Increasing adoption of additional primary prevention strategies, such as risk factor modification and development of public health initiatives, may limit the applicability of earlier studies to current practice. In this meta-analysis, the use of aspirin in individuals without cardiovascular disease was associated with a lower risk of cardiovascular events and an increased risk of major bleeding. This information may inform discussions with patients about aspirin for primary prevention of cardiovascular events and bleeding.	[1.0, 1.0, 4.0, 5.0, 3.0]	Medicine	train	4.0	news	http://ct.moreover.com/?a=38330869620&p=1pl&v=1&x=M8k770LVWvQytywr57cyKg	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: 19, 22 Increasing adoption of additional primary prevention strategies, such as risk factor modification and development of public health initiatives, may limit the applicability of earlier studies to current practice. In this meta-analysis, the use of aspirin in individuals without cardiovascular disease was associated with a lower risk of cardiovascular events and an increased risk of major bleeding. This information may inform discussions with patients about aspirin for primary prevention of cardiovascular events and bleeding.""><b>Finding:</b></span> In this meta-analysis, the use of aspirin in individuals without cardiovascular disease was associated with a lower risk of cardiovascular events and an increased risk of major bleeding.']"
10.1093/eurpub/cky178	Medicine_tweet_244_r	"Our new paper shows link between cuts to public health budgets and falling vaccination rates in Italy 
 "	We estimated that each 1% reduction in real public health expenditure per-capita corresponded to a 0.5 percentage points reduction in MMR coverage.	"Our new paper shows link between cuts to public health budgets and falling vaccination rates in Italy 
 "	Our analysis suggests that austerity measures adopted in Italy contributed significantly to the resurgence of measles. We estimated that each 1% reduction in real public health expenditure per-capita corresponded to a 0.5 percentage points reduction in MMR coverage. In the worst affected regions, which faced up to 5% cuts, this would equate to a 2.5 percentage point fall in coverage.	[3.0, 5.0, 4.0, 4.0, 5.0]	Medicine	train	4.2	tweets	1039786038393270272	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Our new paper shows link between cuts to public health budgets and falling vaccination rates in Italy \n ""><b>Finding:</b></span> Our new paper shows link between cuts to public health budgets and falling vaccination rates in Italy \n ']"
10.1093/eurpub/cky178	Medicine_tweet_244_p	"Our new paper shows link between cuts to public health budgets and falling vaccination rates in Italy 
 "	We estimated that each 1% reduction in real public health expenditure per-capita corresponded to a 0.5 percentage points reduction in MMR coverage.	"Our new paper shows link between cuts to public health budgets and falling vaccination rates in Italy 
 "	Our analysis suggests that austerity measures adopted in Italy contributed significantly to the resurgence of measles. We estimated that each 1% reduction in real public health expenditure per-capita corresponded to a 0.5 percentage points reduction in MMR coverage. In the worst affected regions, which faced up to 5% cuts, this would equate to a 2.5 percentage point fall in coverage.	[3.0, 5.0, 4.0, 4.0, 5.0]	Medicine	train	4.2	tweets	1039786038393270272	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Our analysis suggests that austerity measures adopted in Italy contributed significantly to the resurgence of measles. We estimated that each 1% reduction in real public health expenditure per-capita corresponded to a 0.5 percentage points reduction in MMR coverage. In the worst affected regions, which faced up to 5% cuts, this would equate to a 2.5 percentage point fall in coverage.""><b>Finding:</b></span> We estimated that each 1% reduction in real public health expenditure per-capita corresponded to a 0.5 percentage points reduction in MMR coverage.']"
10.1073/pnas.1407787111	Medicine_122_r	"""It is particularly noteworthy that the networks we found to have lagging maturation in ADHD are linked to the very behaviors that are the symptoms of ADHD,"" he says."	Our results invite further investigation into the neurobiological mechanisms in ADHD that produce delays in development of large-scale networks.	"These networks, and the connections between them, mature throughout early childhood all the way to young adulthood. ""It is particularly noteworthy that the networks we found to have lagging maturation in ADHD are linked to the very behaviors that are the symptoms of ADHD,"" he says. ""The results of this study set the stage for the next phase of this research, which is to examine individual components of the networks that have the maturational lag,"" he says."	Our results provide strong initial evidence that these alterations arise from delays in typical maturational patterns. Our results invite further investigation into the neurobiological mechanisms in ADHD that produce delays in development of large-scale networks. We found significant and specific maturational lag in connections within default mode network (DMN) and in DMN interconnections with two task positive networks (TPNs): frontoparietal network and ventral attention network.	[5.0, 5.0, 3.0, 3.0]	Medicine	test	4.0	news	http://www.sciencedaily.com/releases/2014/09/140915153607.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily+%28Latest+Science+News+--+ScienceDaily%29	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: These networks, and the connections between them, mature throughout early childhood all the way to young adulthood. ""It is particularly noteworthy that the networks we found to have lagging maturation in ADHD are linked to the very behaviors that are the symptoms of ADHD,"" he says. ""The results of this study set the stage for the next phase of this research, which is to examine individual components of the networks that have the maturational lag,"" he says.""><b>Finding:</b></span> ""It is particularly noteworthy that the networks we found to have lagging maturation in ADHD are linked to the very behaviors that are the symptoms of ADHD,"" he says.']"
10.1073/pnas.1407787111	Medicine_122_p	"""It is particularly noteworthy that the networks we found to have lagging maturation in ADHD are linked to the very behaviors that are the symptoms of ADHD,"" he says."	Our results invite further investigation into the neurobiological mechanisms in ADHD that produce delays in development of large-scale networks.	"These networks, and the connections between them, mature throughout early childhood all the way to young adulthood. ""It is particularly noteworthy that the networks we found to have lagging maturation in ADHD are linked to the very behaviors that are the symptoms of ADHD,"" he says. ""The results of this study set the stage for the next phase of this research, which is to examine individual components of the networks that have the maturational lag,"" he says."	Our results provide strong initial evidence that these alterations arise from delays in typical maturational patterns. Our results invite further investigation into the neurobiological mechanisms in ADHD that produce delays in development of large-scale networks. We found significant and specific maturational lag in connections within default mode network (DMN) and in DMN interconnections with two task positive networks (TPNs): frontoparietal network and ventral attention network.	[5.0, 5.0, 3.0, 3.0]	Medicine	test	4.0	news	http://www.sciencedaily.com/releases/2014/09/140915153607.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily+%28Latest+Science+News+--+ScienceDaily%29	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Our results provide strong initial evidence that these alterations arise from delays in typical maturational patterns. Our results invite further investigation into the neurobiological mechanisms in ADHD that produce delays in development of large-scale networks. We found significant and specific maturational lag in connections within default mode network (DMN) and in DMN interconnections with two task positive networks (TPNs): frontoparietal network and ventral attention network.""><b>Finding:</b></span> Our results invite further investigation into the neurobiological mechanisms in ADHD that produce delays in development of large-scale networks.']"
10.1038/nature12775	Medicine_503_r	"advertisement

The third site, with a lower binding affinity, allows the calcium ions to move into the cell."	This pore architecture suggests a conduction pathway involving transitions between two main states with one or two hydrated Ca 21 ions bound in the selectivity filter and supports a 'knock-off' mechanism of ion permeation through a stepwisebinding process.	"This role is supported by the second site inside the pore. advertisement

The third site, with a lower binding affinity, allows the calcium ions to move into the cell. The flow of ions is accelerated by having these three binding sites in sequence."	Our results reveal interactions of hydrated Ca 21 with two high-affinity Ca 21 -binding sites followed by a third lower-affinity site that would coordinate Ca 21 as it moves inward. This pore architecture suggests a conduction pathway involving transitions between two main states with one or two hydrated Ca 21 ions bound in the selectivity filter and supports a 'knock-off' mechanism of ion permeation through a stepwisebinding process. The multi-ion selectivity filter of our Ca V Ab model establishes a structural framework for understanding the mechanisms of ion selectivity and conductance by vertebrate Ca V channels.	[3.0, 3.0, 4.0, 4.0]	Medicine	train	3.5	news	http://www.sciencedaily.com/releases/2013/11/131124200508.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily+%28ScienceDaily%3A+Latest+Science+News%29	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This role is supported by the second site inside the pore. advertisement\n\nThe third site, with a lower binding affinity, allows the calcium ions to move into the cell. The flow of ions is accelerated by having these three binding sites in sequence.""><b>Finding:</b></span> advertisement\n\nThe third site, with a lower binding affinity, allows the calcium ions to move into the cell.']"
10.1038/nature12775	Medicine_503_p	"advertisement

The third site, with a lower binding affinity, allows the calcium ions to move into the cell."	This pore architecture suggests a conduction pathway involving transitions between two main states with one or two hydrated Ca 21 ions bound in the selectivity filter and supports a 'knock-off' mechanism of ion permeation through a stepwisebinding process.	"This role is supported by the second site inside the pore. advertisement

The third site, with a lower binding affinity, allows the calcium ions to move into the cell. The flow of ions is accelerated by having these three binding sites in sequence."	Our results reveal interactions of hydrated Ca 21 with two high-affinity Ca 21 -binding sites followed by a third lower-affinity site that would coordinate Ca 21 as it moves inward. This pore architecture suggests a conduction pathway involving transitions between two main states with one or two hydrated Ca 21 ions bound in the selectivity filter and supports a 'knock-off' mechanism of ion permeation through a stepwisebinding process. The multi-ion selectivity filter of our Ca V Ab model establishes a structural framework for understanding the mechanisms of ion selectivity and conductance by vertebrate Ca V channels.	[3.0, 3.0, 4.0, 4.0]	Medicine	train	3.5	news	http://www.sciencedaily.com/releases/2013/11/131124200508.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily+%28ScienceDaily%3A+Latest+Science+News%29	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Our results reveal interactions of hydrated Ca 21 with two high-affinity Ca 21 -binding sites followed by a third lower-affinity site that would coordinate Ca 21 as it moves inward. This pore architecture suggests a conduction pathway involving transitions between two main states with one or two hydrated Ca 21 ions bound in the selectivity filter and supports a \'knock-off\' mechanism of ion permeation through a stepwisebinding process. The multi-ion selectivity filter of our Ca V Ab model establishes a structural framework for understanding the mechanisms of ion selectivity and conductance by vertebrate Ca V channels.""><b>Finding:</b></span> This pore architecture suggests a conduction pathway involving transitions between two main states with one or two hydrated Ca 21 ions bound in the selectivity filter and supports a \'knock-off\' mechanism of ion permeation through a stepwisebinding process.']"
10.1007/s00421-011-2246-z	Medicine_228_r	In other words, it isn't testosterone levels that predict muscle gains, but how sensitive your muscles are to that testosterone.	Acute hormonal responses were correlated with gains in lean body mass (LBM), muscle fibre cross-sectional area (CSA) and leg press strength.	This meant their bodies were able to make better use of the testosterone that was available. In other words, it isn't testosterone levels that predict muscle gains, but how sensitive your muscles are to that testosterone. If you've got a powerful V8 engine but cheap tires, you're not going to be able to make full use of that power.	Acute hormonal responses were correlated with gains in lean body mass (LBM), muscle fibre cross-sectional area (CSA) and leg press strength. There were no significant correlations between the exercise-induced elevations (area under the curve-AUC) of GH, fT and IGF-1 and gains in LBM or leg press strength. Significant correlations were found for cortisol, usually assumed to be a hormone indicative of catabolic drive, AUC with change in LBM (r = 0.29, P \ 0.05) and type II fibre CSA (r = 0.35, P \ 0.01) as well as GH AUC and gain in fibre area (type I: r = 0.36, P = 0.006; type II: r = 0.28, P = 0.04, but not lean mass).	[1.0, 2.0, 5.0, 4.0]	Medicine	val	4.0	news	http://ct.moreover.com/?a=37808239538&p=1pl&v=1&x=AQl7ZSyfQjQzkZfNRuZIWA	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This meant their bodies were able to make better use of the testosterone that was available. In other words, it isn\'t testosterone levels that predict muscle gains, but how sensitive your muscles are to that testosterone. If you\'ve got a powerful V8 engine but cheap tires, you\'re not going to be able to make full use of that power.""><b>Finding:</b></span> In other words, it isn\'t testosterone levels that predict muscle gains, but how sensitive your muscles are to that testosterone.']"
10.1007/s00421-011-2246-z	Medicine_228_p	In other words, it isn't testosterone levels that predict muscle gains, but how sensitive your muscles are to that testosterone.	Acute hormonal responses were correlated with gains in lean body mass (LBM), muscle fibre cross-sectional area (CSA) and leg press strength.	This meant their bodies were able to make better use of the testosterone that was available. In other words, it isn't testosterone levels that predict muscle gains, but how sensitive your muscles are to that testosterone. If you've got a powerful V8 engine but cheap tires, you're not going to be able to make full use of that power.	Acute hormonal responses were correlated with gains in lean body mass (LBM), muscle fibre cross-sectional area (CSA) and leg press strength. There were no significant correlations between the exercise-induced elevations (area under the curve-AUC) of GH, fT and IGF-1 and gains in LBM or leg press strength. Significant correlations were found for cortisol, usually assumed to be a hormone indicative of catabolic drive, AUC with change in LBM (r = 0.29, P \ 0.05) and type II fibre CSA (r = 0.35, P \ 0.01) as well as GH AUC and gain in fibre area (type I: r = 0.36, P = 0.006; type II: r = 0.28, P = 0.04, but not lean mass).	[1.0, 2.0, 5.0, 4.0]	Medicine	val	4.0	news	http://ct.moreover.com/?a=37808239538&p=1pl&v=1&x=AQl7ZSyfQjQzkZfNRuZIWA	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Acute hormonal responses were correlated with gains in lean body mass (LBM), muscle fibre cross-sectional area (CSA) and leg press strength. There were no significant correlations between the exercise-induced elevations (area under the curve-AUC) of GH, fT and IGF-1 and gains in LBM or leg press strength. Significant correlations were found for cortisol, usually assumed to be a hormone indicative of catabolic drive, AUC with change in LBM (r = 0.29, P \\ 0.05) and type II fibre CSA (r = 0.35, P \\ 0.01) as well as GH AUC and gain in fibre area (type I: r = 0.36, P = 0.006; type II: r = 0.28, P = 0.04, but not lean mass).""><b>Finding:</b></span> Acute hormonal responses were correlated with gains in lean body mass (LBM), muscle fibre cross-sectional area (CSA) and leg press strength.']"
