DOI	id	News Finding	Paper Finding	News Context	Paper Context	scores	field	split	final_score	source	News URL	text
10.1038/s41419-019-1494-4	Medicine_tweet_34_r	"""Chronic inflammation is a driving force for the development of metabolic disease including ""diabetes and ""obesity"" + ""The rational modulation of T-cell senescence would be a promising avenue for the treatment or prevention of diabetes"" "	These suggest that T-cell senescence-mediated reprogramming of metabolic pathways may be associated with development of diabetes and its complications, as well as other aging-related diseases.	"""Chronic inflammation is a driving force for the development of metabolic disease including ""diabetes and ""obesity"" + ""The rational modulation of T-cell senescence would be a promising avenue for the treatment or prevention of diabetes"" "	In addition, we demonstrated that these CD8 + CD28 − T cells reside within the liver and are more numerous in the liver of aged and HFD-fed mice. These suggest that T-cell senescence-mediated reprogramming of metabolic pathways may be associated with development of diabetes and its complications, as well as other aging-related diseases. • In conclusion, we identified a link between the numbers and secretion of effector molecules by senescent T cells, and blood glucose status, in humans and mice.	[4.0, 4.0, 4.0, 4.0, 5.0]	Medicine	val	4.2	tweets	1105789220751360000	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""Chronic inflammation is a driving force for the development of metabolic disease including ""diabetes and ""obesity"" + ""The rational modulation of T-cell senescence would be a promising avenue for the treatment or prevention of diabetes"" ""><b>Finding:</b></span> ""Chronic inflammation is a driving force for the development of metabolic disease including ""diabetes and ""obesity"" + ""The rational modulation of T-cell senescence would be a promising avenue for the treatment or prevention of diabetes"" ']"
10.1038/s41419-019-1494-4	Medicine_tweet_34_p	"""Chronic inflammation is a driving force for the development of metabolic disease including ""diabetes and ""obesity"" + ""The rational modulation of T-cell senescence would be a promising avenue for the treatment or prevention of diabetes"" "	These suggest that T-cell senescence-mediated reprogramming of metabolic pathways may be associated with development of diabetes and its complications, as well as other aging-related diseases.	"""Chronic inflammation is a driving force for the development of metabolic disease including ""diabetes and ""obesity"" + ""The rational modulation of T-cell senescence would be a promising avenue for the treatment or prevention of diabetes"" "	In addition, we demonstrated that these CD8 + CD28 − T cells reside within the liver and are more numerous in the liver of aged and HFD-fed mice. These suggest that T-cell senescence-mediated reprogramming of metabolic pathways may be associated with development of diabetes and its complications, as well as other aging-related diseases. • In conclusion, we identified a link between the numbers and secretion of effector molecules by senescent T cells, and blood glucose status, in humans and mice.	[4.0, 4.0, 4.0, 4.0, 5.0]	Medicine	val	4.2	tweets	1105789220751360000	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In addition, we demonstrated that these CD8 + CD28 − T cells reside within the liver and are more numerous in the liver of aged and HFD-fed mice. These suggest that T-cell senescence-mediated reprogramming of metabolic pathways may be associated with development of diabetes and its complications, as well as other aging-related diseases. • In conclusion, we identified a link between the numbers and secretion of effector molecules by senescent T cells, and blood glucose status, in humans and mice.""><b>Finding:</b></span> These suggest that T-cell senescence-mediated reprogramming of metabolic pathways may be associated with development of diabetes and its complications, as well as other aging-related diseases.']"
10.1080/08870446.2014.918267	Medicine_tweet_213_r	Yes. Food ads do make you fatter.  #diet #nutrition #food	The overweight and obese sample here reported a stronger desire to eat following priming with a series of television advertisements for food products than when primed with advertisements for non-food products.	Yes. Food ads do make you fatter.  #diet #nutrition #food	In contrast to Experiment 1, exposure to television food advertising also affected ratings of desire to eat. The overweight and obese sample here reported a stronger desire to eat following priming with a series of television advertisements for food products than when primed with advertisements for non-food products. This suggests that in overweight and obese individuals, exposure to food commercials not only activates food-related cognitions, but also triggers a motivation to eat.	[5.0, 4.0, 5.0]	Medicine	train	4.666666666666667	tweets	505151800035389440	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Yes. Food ads do make you fatter.  #diet #nutrition #food""><b>Finding:</b></span> Yes. Food ads do make you fatter.  #diet #nutrition #food']"
10.1080/08870446.2014.918267	Medicine_tweet_213_p	Yes. Food ads do make you fatter.  #diet #nutrition #food	The overweight and obese sample here reported a stronger desire to eat following priming with a series of television advertisements for food products than when primed with advertisements for non-food products.	Yes. Food ads do make you fatter.  #diet #nutrition #food	In contrast to Experiment 1, exposure to television food advertising also affected ratings of desire to eat. The overweight and obese sample here reported a stronger desire to eat following priming with a series of television advertisements for food products than when primed with advertisements for non-food products. This suggests that in overweight and obese individuals, exposure to food commercials not only activates food-related cognitions, but also triggers a motivation to eat.	[5.0, 4.0, 5.0]	Medicine	train	4.666666666666667	tweets	505151800035389440	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In contrast to Experiment 1, exposure to television food advertising also affected ratings of desire to eat. The overweight and obese sample here reported a stronger desire to eat following priming with a series of television advertisements for food products than when primed with advertisements for non-food products. This suggests that in overweight and obese individuals, exposure to food commercials not only activates food-related cognitions, but also triggers a motivation to eat.""><b>Finding:</b></span> The overweight and obese sample here reported a stronger desire to eat following priming with a series of television advertisements for food products than when primed with advertisements for non-food products.']"
10.1016/j.jpeds.2017.10.028	Medicine_50_r	The study identified a significant association between corporal punishment during childhood and violence toward dating partners in adulthood.	One factor that merits additional attention is the association between a youth's history of experiencing corporal punishment and perpetration of dating violence.	About 19 percent said they had committed some form of dating violence and 69 percent said they were physically punished during childhood. The study identified a significant association between corporal punishment during childhood and violence toward dating partners in adulthood. Specifically, people who got spanked as kids had a 29 percent higher risk for perpetrating dating violence, the findings showed.	9 These factors cut across various domains including affective (eg, emotion dysregulation, psychiatric disorder), cognitive (eg, attitudes toward women, beliefs about violence), demographic (eg, age, race, sex, sexual orientation, socioeconomic status), interpersonal (eg, relationship satisfaction, problem solving skills), contextual (eg, availability of weapon, drug/alcohol use), as well as distal factors (eg, history of child abuse, exposure to family violence). One factor that merits additional attention is the association between a youth's history of experiencing corporal punishment and perpetration of dating violence. Attaining a better understanding of antecedents of dating violence is critical for preventive strategies seeking to mitigate dating violence among youth.	[4.0, 4.0, 4.0]	Medicine	train	4.0	news	http://ct.moreover.com/?a=32686504555&p=1pl&v=1&x=J_KXigEKTcXYUPzjI0fyuQ	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: About 19 percent said they had committed some form of dating violence and 69 percent said they were physically punished during childhood. The study identified a significant association between corporal punishment during childhood and violence toward dating partners in adulthood. Specifically, people who got spanked as kids had a 29 percent higher risk for perpetrating dating violence, the findings showed.""><b>Finding:</b></span> The study identified a significant association between corporal punishment during childhood and violence toward dating partners in adulthood.']"
10.1016/j.jpeds.2017.10.028	Medicine_50_p	The study identified a significant association between corporal punishment during childhood and violence toward dating partners in adulthood.	One factor that merits additional attention is the association between a youth's history of experiencing corporal punishment and perpetration of dating violence.	About 19 percent said they had committed some form of dating violence and 69 percent said they were physically punished during childhood. The study identified a significant association between corporal punishment during childhood and violence toward dating partners in adulthood. Specifically, people who got spanked as kids had a 29 percent higher risk for perpetrating dating violence, the findings showed.	9 These factors cut across various domains including affective (eg, emotion dysregulation, psychiatric disorder), cognitive (eg, attitudes toward women, beliefs about violence), demographic (eg, age, race, sex, sexual orientation, socioeconomic status), interpersonal (eg, relationship satisfaction, problem solving skills), contextual (eg, availability of weapon, drug/alcohol use), as well as distal factors (eg, history of child abuse, exposure to family violence). One factor that merits additional attention is the association between a youth's history of experiencing corporal punishment and perpetration of dating violence. Attaining a better understanding of antecedents of dating violence is critical for preventive strategies seeking to mitigate dating violence among youth.	[4.0, 4.0, 4.0]	Medicine	train	4.0	news	http://ct.moreover.com/?a=32686504555&p=1pl&v=1&x=J_KXigEKTcXYUPzjI0fyuQ	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: 9 These factors cut across various domains including affective (eg, emotion dysregulation, psychiatric disorder), cognitive (eg, attitudes toward women, beliefs about violence), demographic (eg, age, race, sex, sexual orientation, socioeconomic status), interpersonal (eg, relationship satisfaction, problem solving skills), contextual (eg, availability of weapon, drug/alcohol use), as well as distal factors (eg, history of child abuse, exposure to family violence). One factor that merits additional attention is the association between a youth\'s history of experiencing corporal punishment and perpetration of dating violence. Attaining a better understanding of antecedents of dating violence is critical for preventive strategies seeking to mitigate dating violence among youth.""><b>Finding:</b></span> One factor that merits additional attention is the association between a youth\'s history of experiencing corporal punishment and perpetration of dating violence.']"
10.1007/s10484-015-9286-9	Medicine_tweet_163_r	Do women with sexual arousal disorders just need a little more giddyap in their heartbeat? 	In conclusion, low HRV may be a risk factor for female sexual arousal dysfunction and overall sexual dysfunction.	Do women with sexual arousal disorders just need a little more giddyap in their heartbeat? 	Women with below average HRV were significantly more likely to report sexual arousal dysfunction (p \ .001) and overall sexual dysfunction (p \ .001) than both women with average HRV and women with above average HRV. In conclusion, low HRV may be a risk factor for female sexual arousal dysfunction and overall sexual dysfunction. Given these findings, it is reasonable to expect ANS activity (indexed by HRV) may be related to women's self-reported, real-life sexual arousal function outside of the laboratory.	[4.0, 4.0, 4.0, 3.0]	Medicine	train	3.75	tweets	611926486220541952	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Do women with sexual arousal disorders just need a little more giddyap in their heartbeat? ""><b>Finding:</b></span> Do women with sexual arousal disorders just need a little more giddyap in their heartbeat? ']"
10.1007/s10484-015-9286-9	Medicine_tweet_163_p	Do women with sexual arousal disorders just need a little more giddyap in their heartbeat? 	In conclusion, low HRV may be a risk factor for female sexual arousal dysfunction and overall sexual dysfunction.	Do women with sexual arousal disorders just need a little more giddyap in their heartbeat? 	Women with below average HRV were significantly more likely to report sexual arousal dysfunction (p \ .001) and overall sexual dysfunction (p \ .001) than both women with average HRV and women with above average HRV. In conclusion, low HRV may be a risk factor for female sexual arousal dysfunction and overall sexual dysfunction. Given these findings, it is reasonable to expect ANS activity (indexed by HRV) may be related to women's self-reported, real-life sexual arousal function outside of the laboratory.	[4.0, 4.0, 4.0, 3.0]	Medicine	train	3.75	tweets	611926486220541952	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Women with below average HRV were significantly more likely to report sexual arousal dysfunction (p \\ .001) and overall sexual dysfunction (p \\ .001) than both women with average HRV and women with above average HRV. In conclusion, low HRV may be a risk factor for female sexual arousal dysfunction and overall sexual dysfunction. Given these findings, it is reasonable to expect ANS activity (indexed by HRV) may be related to women\'s self-reported, real-life sexual arousal function outside of the laboratory.""><b>Finding:</b></span> In conclusion, low HRV may be a risk factor for female sexual arousal dysfunction and overall sexual dysfunction.']"
10.1098/rsos.172398	Medicine_tweet_38_r	The #behaviour of overweight #dogs shows similarity with #personality traits of overweight humans [BIOLOGY (WHOLE ORGANISM)]  BLet @username	These results are very similar to those expected from the parallel models that exist between certain personality traits and being overweight in humans, suggesting that dogs are indeed a promising model for experimentally investigating obesity in humans.	The #behaviour of overweight #dogs shows similarity with #personality traits of overweight humans [BIOLOGY (WHOLE ORGANISM)]  BLet @username	Our results also confirm that overweight dogs, as opposed to normal weight dogs, tried to maximize food intake from the higher quality food and hesitated to do the task when the food reward was uncertain. These results are very similar to those expected from the parallel models that exist between certain personality traits and being overweight in humans, suggesting that dogs are indeed a promising model for experimentally investigating obesity in humans. Dogs, due to their shared living environment with humans, may provide a beneficial model to study the causes and consequences of obesity.	[5.0, 4.0, 5.0, 5.0, 5.0]	Medicine	train	4.8	tweets	1004296558983036928	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The #behaviour of overweight #dogs shows similarity with #personality traits of overweight humans [BIOLOGY (WHOLE ORGANISM)]  BLet @username""><b>Finding:</b></span> The #behaviour of overweight #dogs shows similarity with #personality traits of overweight humans [BIOLOGY (WHOLE ORGANISM)]  BLet @username']"
10.1098/rsos.172398	Medicine_tweet_38_p	The #behaviour of overweight #dogs shows similarity with #personality traits of overweight humans [BIOLOGY (WHOLE ORGANISM)]  BLet @username	These results are very similar to those expected from the parallel models that exist between certain personality traits and being overweight in humans, suggesting that dogs are indeed a promising model for experimentally investigating obesity in humans.	The #behaviour of overweight #dogs shows similarity with #personality traits of overweight humans [BIOLOGY (WHOLE ORGANISM)]  BLet @username	Our results also confirm that overweight dogs, as opposed to normal weight dogs, tried to maximize food intake from the higher quality food and hesitated to do the task when the food reward was uncertain. These results are very similar to those expected from the parallel models that exist between certain personality traits and being overweight in humans, suggesting that dogs are indeed a promising model for experimentally investigating obesity in humans. Dogs, due to their shared living environment with humans, may provide a beneficial model to study the causes and consequences of obesity.	[5.0, 4.0, 5.0, 5.0, 5.0]	Medicine	train	4.8	tweets	1004296558983036928	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Our results also confirm that overweight dogs, as opposed to normal weight dogs, tried to maximize food intake from the higher quality food and hesitated to do the task when the food reward was uncertain. These results are very similar to those expected from the parallel models that exist between certain personality traits and being overweight in humans, suggesting that dogs are indeed a promising model for experimentally investigating obesity in humans. Dogs, due to their shared living environment with humans, may provide a beneficial model to study the causes and consequences of obesity.""><b>Finding:</b></span> These results are very similar to those expected from the parallel models that exist between certain personality traits and being overweight in humans, suggesting that dogs are indeed a promising model for experimentally investigating obesity in humans.']"
10.1186/s40200-015-0176-8	Medicine_tweet_3_r	Study:Parental Support May Protect Young African American Women Against #Obesity #journalofdiabetesmetabolicdisorders 	Conclusion: High maternal support appears to be protective against increases in BMI among African American female young adults.	Study:Parental Support May Protect Young African American Women Against #Obesity #journalofdiabetesmetabolicdisorders 	We could not find such an association for male African American young adults. Conclusion: High maternal support appears to be protective against increases in BMI among African American female young adults. As parental support is a modifiable factor within available evidence-based interventions that enhance parenting, it should be included in obesity prevention programs for African American women.	[3.0, 5.0, 4.0, 5.0]	Medicine	val	4.25	tweets	610533785730445312	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Study:Parental Support May Protect Young African American Women Against #Obesity #journalofdiabetesmetabolicdisorders ""><b>Finding:</b></span> Study:Parental Support May Protect Young African American Women Against #Obesity #journalofdiabetesmetabolicdisorders ']"
10.1186/s40200-015-0176-8	Medicine_tweet_3_p	Study:Parental Support May Protect Young African American Women Against #Obesity #journalofdiabetesmetabolicdisorders 	Conclusion: High maternal support appears to be protective against increases in BMI among African American female young adults.	Study:Parental Support May Protect Young African American Women Against #Obesity #journalofdiabetesmetabolicdisorders 	We could not find such an association for male African American young adults. Conclusion: High maternal support appears to be protective against increases in BMI among African American female young adults. As parental support is a modifiable factor within available evidence-based interventions that enhance parenting, it should be included in obesity prevention programs for African American women.	[3.0, 5.0, 4.0, 5.0]	Medicine	val	4.25	tweets	610533785730445312	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: We could not find such an association for male African American young adults. Conclusion: High maternal support appears to be protective against increases in BMI among African American female young adults. As parental support is a modifiable factor within available evidence-based interventions that enhance parenting, it should be included in obesity prevention programs for African American women.""><b>Finding:</b></span> Conclusion: High maternal support appears to be protective against increases in BMI among African American female young adults.']"
10.1073/pnas.1323342111	Medicine_tweet_27_p	Amygdala encodes subjective judgment of emotions shown in face stimuli, rather than simply their stimulus features: 	This suggests that amygdala neurons encode whole-face information and emotion independently.	Amygdala encodes subjective judgment of emotions shown in face stimuli, rather than simply their stimulus features: 	We found 3 out of 24 (12.5%) fear-selective cells and 5 out of 17 (29.4%) happyselective cells are also whole-face-selective, a ratio of whole-face cells similar to that found in the entire population (36 out of 185, 19.5%). This suggests that amygdala neurons encode whole-face information and emotion independently. We found that face information conveyed by the eyes, but not the mouth region, modulated emotion-selective neuronal responses.	[4.0, 5.0, 5.0, 4.0, 4.0]	Medicine	train	4.4	tweets	535386739956006912	"['<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: We found 3 out of 24 (12.5%) fear-selective cells and 5 out of 17 (29.4%) happyselective cells are also whole-face-selective, a ratio of whole-face cells similar to that found in the entire population (36 out of 185, 19.5%). This suggests that amygdala neurons encode whole-face information and emotion independently. We found that face information conveyed by the eyes, but not the mouth region, modulated emotion-selective neuronal responses.""><b>Finding:</b></span> This suggests that amygdala neurons encode whole-face information and emotion independently.']"
