id	text
Medicine_tweet_0_r$Medicine_tweet_157_r$Medicine_24_r$Medicine_tweet_34_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This meta-analysis confirms that use of #aspirin for primary prevention of #cardiovasculardisease is associated with a lower risk of CV events including CV mortality and nonfatal AMI and #stroke, and an increased risk of major bleeding.  ""><b>Finding A:</b></span> This meta-analysis confirms that use of #aspirin for primary prevention of #cardiovasculardisease is associated with a lower risk of CV events including CV mortality and nonfatal AMI and #stroke, and an increased risk of major bleeding.  <br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: So excited about my recent publication in @username on a #VLP vaccine targeting #Alzheimers #publishorperish Check it out here: ""><b>Finding B:</b></span> So excited about my recent publication in @username on a #VLP vaccine targeting #Alzheimers #publishorperish Check it out here: <br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Those with inadequate FHL had the following when compared with those with sufficient FHL:Health-related quality of life, as measured by the EuroQol-visual analog scale, also revealed poorer outcomes for those with inadequate FHL; this group had worse scores for physical function, vitality, social functioning, and mental health. ""Our results suggest that functional health literacy can now also be included as an influencing factor for the quality of postoperative recovery,"" wrote the authors, who added that FHL should be considered a relevant factor in considering how to best optimize recovery for patients undergoing day surgery.In a linked commentary Jesse P Wright, MD; Kelvin Moses, MD, PhD; and Kamran Idrees, MD, MSCI, MMHC, wrote that ""we question if patients are able to equally discern the difference in the questioning in the quality of recovery and [quality of life] questionnaires"" used in the study, but said that ""The findings in this ambulatory setting mirror findings by our group where we reported an association of low health literacy with various postoperative metrics, including increased hospital length of stay and use of discharge resources in patients undergoing surgical procedures. ""The commentary\'s authors say that investment in development of validated tools to measure FHL will generate the empirical data necessary to develop and use appropriate health literacy interventions.1.""><b>Finding C:</b></span> ""Our results suggest that functional health literacy can now also be included as an influencing factor for the quality of postoperative recovery,"" wrote the authors, who added that FHL should be considered a relevant factor in considering how to best optimize recovery for patients undergoing day surgery.In a linked commentary Jesse P Wright, MD; Kelvin Moses, MD, PhD; and Kamran Idrees, MD, MSCI, MMHC, wrote that ""we question if patients are able to equally discern the difference in the questioning in the quality of recovery and [quality of life] questionnaires"" used in the study, but said that ""The findings in this ambulatory setting mirror findings by our group where we reported an association of low health literacy with various postoperative metrics, including increased hospital length of stay and use of discharge resources in patients undergoing surgical procedures.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""Chronic inflammation is a driving force for the development of metabolic disease including ""diabetes and ""obesity"" + ""The rational modulation of T-cell senescence would be a promising avenue for the treatment or prevention of diabetes"" ""><b>Finding D:</b></span> ""Chronic inflammation is a driving force for the development of metabolic disease including ""diabetes and ""obesity"" + ""The rational modulation of T-cell senescence would be a promising avenue for the treatment or prevention of diabetes"" "
Medicine_tweet_27_r$Medicine_tweet_60_r$Medicine_tweet_34_p$Medicine_56_p	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Amygdala encodes subjective judgment of emotions shown in face stimuli, rather than simply their stimulus features: ""><b>Finding A:</b></span> Amygdala encodes subjective judgment of emotions shown in face stimuli, rather than simply their stimulus features: <br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Quality of end of life care in U.S. hospitals is poor. Improving nurse work environments may be a key intervention to improve EOL care quality. \n@username @username   ""><b>Finding B:</b></span> Quality of end of life care in U.S. hospitals is poor. Improving nurse work environments may be a key intervention to improve EOL care quality. \n@username @username   <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In addition, we demonstrated that these CD8 + CD28 − T cells reside within the liver and are more numerous in the liver of aged and HFD-fed mice. These suggest that T-cell senescence-mediated reprogramming of metabolic pathways may be associated with development of diabetes and its complications, as well as other aging-related diseases. • In conclusion, we identified a link between the numbers and secretion of effector molecules by senescent T cells, and blood glucose status, in humans and mice.""><b>Finding C:</b></span> These suggest that T-cell senescence-mediated reprogramming of metabolic pathways may be associated with development of diabetes and its complications, as well as other aging-related diseases.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Patients with an occurrence of nonfatal stroke totaled 114 in the aspirin group and 108 in the no aspirin group; of nonfatal myocardial infarction, 20 in the aspirin group and 38 in the no aspirin group; of undefined cerebrovascular events, 3 in the aspirin group and 5 in the no aspirin group. The 5-year cumulative primary outcome event rate was not significantly different between the groups (2.77% [95% CI, 2.40%-3.20%] for aspirin vs 2.96% [95% CI, 2.58%-3.40%] for no aspirin; hazard ratio [HR], 0.94 [95% CI, 0.77-1.15]; P = .54). Aspirin significantly reduced incidence of nonfatal myocardial infarction (0.30 [95% CI, 0.19-0.47] for aspirin vs 0.58 [95% CI, 0.42-0.81] for no aspirin; HR, 0.53 [95% CI, 0.31-0.91]; P = .02) and transient ischemic attack (0.26 [95% CI, 0.16-0.42] for aspirin vs 0.49 [95% CI, 0.35-0.69] for no aspirin; HR, 0.57 [95% CI, 0.32-0.99]; P = .04), and significantly increased the risk of extracranial hemorrhage requiring transfusion or hospitalization (0.86 [95% CI, 0.67-1.11] for aspirin vs 0.51 [95% CI, 0.37-0.72] for no aspirin; HR, 1.85 [95% CI, 1.22-2.81]; P = .004).""><b>Finding D:</b></span> The 5-year cumulative primary outcome event rate was not significantly different between the groups (2.77% [95% CI, 2.40%-3.20%] for aspirin vs 2.96% [95% CI, 2.58%-3.40%] for no aspirin; hazard ratio [HR], 0.94 [95% CI, 0.77-1.15]; P = .54)."
Medicine_tweet_59_r$Medicine_tweet_74_p$Medicine_412_r$Medicine_402_p	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In our latest @username funded study in @username, people with severe obesity &amp; diabetes who had bariatric surgery were associated with 40% lower 5-year risk of heart attack and stroke than matched people who got usual medical care  ""><b>Finding A:</b></span> In our latest @username funded study in @username, people with severe obesity &amp; diabetes who had bariatric surgery were associated with 40% lower 5-year risk of heart attack and stroke than matched people who got usual medical care  <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This approach may be particularly important for parents of overweight or obese adolescents. This study builds on recent research focusing on fathers and their role in adolescent eating disorders treatment 32, [41] [42] [43] and finds that adolescents whose fathers engaged in weight conversations were significantly more likely to engage in dieting and UWCBs than adolescents whose fathers did not. Thus, it may be important to educate fathers to avoid any form of weight-related conversations with their adolescents.""><b>Finding B:</b></span> This study builds on recent research focusing on fathers and their role in adolescent eating disorders treatment 32, [41] [42] [43] and finds that adolescents whose fathers engaged in weight conversations were significantly more likely to engage in dieting and UWCBs than adolescents whose fathers did not.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Fructose may instead activate pathways that increase the appeal of food. When people drank fructose, the food images produced more activity in the orbitofrontal cortex than when they consumed glucose. People who had just consumed fructose were more likely to forgo the delayed payday in favor of food compared with those who had just received glucose (Proc.""><b>Finding C:</b></span> When people drank fructose, the food images produced more activity in the orbitofrontal cortex than when they consumed glucose.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Women with below average HRV were significantly more likely to report sexual arousal dysfunction (p \\ .001) and overall sexual dysfunction (p \\ .001) than both women with average HRV and women with above average HRV. In conclusion, low HRV may be a risk factor for female sexual arousal dysfunction and overall sexual dysfunction. Given these findings, it is reasonable to expect ANS activity (indexed by HRV) may be related to women\'s self-reported, real-life sexual arousal function outside of the laboratory.""><b>Finding D:</b></span> In conclusion, low HRV may be a risk factor for female sexual arousal dysfunction and overall sexual dysfunction."
Medicine_tweet_68_p$Medicine_tweet_298_r$Medicine_29_p$Medicine_128_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: We found that maternal vitamin D supplementation timing, dose, and administration method did not affect cord blood vitamin D concentration. Late vitamin D supplementation (initiation at ≥20 weeks\' gestation) improved birth weight, but early supplementation (initiation at <20 weeks\' gestation) did not. Most importantly, we found that the lower dose of vitamin D supplementation (≤2000 IU/d) reduced the risk of fetal or neonatal mortality and SGA, but the higher dose (>2000 IU/d) did not.""><b>Finding A:</b></span> Late vitamin D supplementation (initiation at ≥20 weeks\' gestation) improved birth weight, but early supplementation (initiation at <20 weeks\' gestation) did not.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Gender Differences in Medical Students\' Motives &amp; Career Choice ""><b>Finding B:</b></span> Gender Differences in Medical Students\' Motives &amp; Career Choice <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In spite of its limitations, the present findings reveal indicators that may be useful for identifying children and adolescents at greater risk of psychiatric hospitalization as well as offer potential targets for individual and family intervention aimed at reducing the likelihood of requiring acute psychiatric services. Our results underscore the importance of a multi-disciplinary approach to the assessment and treatment of children and adolescents with ASD that addresses behavioral, psychological/ psychiatric, adaptive, sleep, and medical functioning in order to decrease behavioral crises and the utilization of inpatient psychiatric services. Furthermore, our findings highlight the need to consider the child\'s functioning in the context of family resources and needs during assessment and treatment, and to provide adequate supports for caregivers.""><b>Finding C:</b></span> Our results underscore the importance of a multi-disciplinary approach to the assessment and treatment of children and adolescents with ASD that addresses behavioral, psychological/ psychiatric, adaptive, sleep, and medical functioning in order to decrease behavioral crises and the utilization of inpatient psychiatric services.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Alternatively, the synergistic effects of social support and individual regulation variables as for example found by for the association of attitudes and intentions may also appear in the context of smoking cessation. Thus, self-regulation alone might not suffice but smokers might be in need of both high self-regulation skills and high levels of received social support from their spouses. Of these, 72.6% (n = 77) were men and the mean age was 40.67years (SD= 10.03, ranging from 19 to 72).""><b>Finding D:</b></span> Thus, self-regulation alone might not suffice but smokers might be in need of both high self-regulation skills and high levels of received social support from their spouses."
Medicine_346_p$Medicine_403_p$Medicine_tweet_170_p$Medicine_tweet_2_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The results of the present study are in agreement with the literature linking sleep problems with an overall more severe psychiatric presentation, but also suggest that active sleep problems can be an indicator of significant behavioral crisis. Overall, our findings emphasize the utility of thorough assessment and treatment of mood and sleep conditions, to decrease the likelihood of requiring psychiatric hospitalization. There are aspects of the study design that should be considered when interpreting the findings.""><b>Finding A:</b></span> Overall, our findings emphasize the utility of thorough assessment and treatment of mood and sleep conditions, to decrease the likelihood of requiring psychiatric hospitalization.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: While it is important to note that research evaluations are not substitutes for clinical evaluations, it is useful to examine the yield of ASD diagnoses based on criteria that more closely resemble what is used in clinical practice (both directly administered assessment and parental history). In this study, not one child met strict diagnostic criteria for ASD using results of both the ADOS and SCQ. Given the similar prevalence rates (44-68 %) we found based on BASC-PRS, it seems that the difference in diagnostic methodology is the primary reason for the discrepancy between the percentage of children meeting criteria for an ASD diagnosis in our study and the prevalence of ASD in the 22q11.2DS literature for children in this age range Niklasson et al.""><b>Finding B:</b></span> In this study, not one child met strict diagnostic criteria for ASD using results of both the ADOS and SCQ.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Although previous studies have revealed that marijuana users are at high risk for use, this study revealed risk factors among current marijuana users that increase risk of current use and higher-frequency use of SCs. Prevention needs to be focused primarily on marijuana users, especially marijuana users with risk factors discovered in this analysis. Marijuana users who use other drugs in particular are at highest risk for currently using SCs, so particular focus needs to be paid to these individuals at high risk.""><b>Finding C:</b></span> Marijuana users who use other drugs in particular are at highest risk for currently using SCs, so particular focus needs to be paid to these individuals at high risk.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Fourth, as with all observational studies, it was not possible to rule out residual confounding. In this long-term prospective cohort study, diet quality assessed during midlife was not significantly associated with subsequent risk for dementia. The validity and reliability of this version of the FFQ in terms of nutrient and food consumption has been documented in detail both in this cohort and in another independent study in the United Kingdom.""><b>Finding D:</b></span> In this long-term prospective cohort study, diet quality assessed during midlife was not significantly associated with subsequent risk for dementia."
Medicine_3_r$Medicine_tweet_108_p$Medicine_44_r$Medicine_170_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Of the 704 patients, 60.7, 31.7, and 7.7 percent reported sufficient, problematic, and inadequate FHL, respectively. The researchers found that the inadequate and problematic FHL groups had a global score of SwQoR that indicated poor recovery (37.4 and 22.9, respectively). The difference in the global score of SwQoR between inadequate and sufficient FHL (37.4 and 17.7) was statistically significant.""><b>Finding A:</b></span> Of the 704 patients, 60.7, 31.7, and 7.7 percent reported sufficient, problematic, and inadequate FHL, respectively.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In contrast, insomnia has a significant impact on the clinical presentation of migraine. Migraineurs with insomnia experienced a higher headache intensity and impact of headache (HIT-6 score) compared to migraineurs without insomnia (Table 3) . It is possible that their distinct anatomy and pathophysiology contribute to the contrast findings.""><b>Finding B:</b></span> Migraineurs with insomnia experienced a higher headache intensity and impact of headache (HIT-6 score) compared to migraineurs without insomnia (Table 3) .<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: DNA analysis showed that salamanders that breed in the fall move to new ponds less often than salamanders that breed in the spring. Distance between ponds and various landscape features could not fully explain the observed genetic differences. ""Even though some habitat features seemed to affect dispersal, we found that, for all four species, breeding season was a better predictor than habitat of the observed genetic differences,"" Burkhart says.""><b>Finding C:</b></span> Distance between ponds and various landscape features could not fully explain the observed genetic differences.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: They were particularly interested in studying mutations to the ANO7 gene because their previous research suggested this could be a gene of interest for prostate cancer. ""We found that small genetic changes to the ANO7 gene increase a patient\'s risk of aggressive prostate cancer. Genetic testing for ANO7 could help identify these patients sooner and may bring new opportunities for precision oncology in prostate cancer,"" says the leading author of the study, Professor Johanna Schleutker from the Institute of Biomedicine of the University of Turku, Finland.""><b>Finding D:</b></span> ""We found that small genetic changes to the ANO7 gene increase a patient\'s risk of aggressive prostate cancer."
Medicine_tweet_181_p$Medicine_92_p$Medicine_240_r$Medicine_353_r	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Vitamin D supplementation during pregnancy with lower doses (≤2000 IU/d) was associated with a reduced risk of fetal and neonatal mortality. Vitamin D supplementation was associated with higher neonatal vitamin D status (bolus-or regular-dose supplement and early or late timing were equally effective in attaining improvement in vitamin D levels), higher calcium levels, higher Apgar scores, greater neonatal skinfold thickness, greater weight (at birth, 3 months, 6 months, 9 months, and 12 months), and greater height (at 3 months, 9 months, and 12 months) in the offspring. Timing of vitamin D supplementation affected birth weight.""><b>Finding A:</b></span> Vitamin D supplementation was associated with higher neonatal vitamin D status (bolus-or regular-dose supplement and early or late timing were equally effective in attaining improvement in vitamin D levels), higher calcium levels, higher Apgar scores, greater neonatal skinfold thickness, greater weight (at birth, 3 months, 6 months, 9 months, and 12 months), and greater height (at 3 months, 9 months, and 12 months) in the offspring.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Performing oral sex increases the risk of oral HPV infection, and the risk increases with the number of partners. Awareness of this link between sexual behavior, oral HPV infection, and cancer may cause concern for patients who have HPV-positive OSCC and their partners. Strong associations are observed between sexual behavior, oral HPV infection, and oropharyngeal cancer.""><b>Finding B:</b></span> Awareness of this link between sexual behavior, oral HPV infection, and cancer may cause concern for patients who have HPV-positive OSCC and their partners.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""The Society\'s recommendations allow physicians to make the diagnosis if clear symptoms are present without resorting to universal hormone tests or ultrasound screening."" In the CPG, The Endocrine Society recommends that a diagnosis be made if adult women have two of the three cardinal features of PCOS (diagnostic criteria supported by the NIH panel): * Excess production of male hormones called androgens. Other recommendations from the CPG include:\n\n* Because women with PCOS face an increased risk of pregnancy complications such as gestational diabetes, preterm delivery and preeclampsia that can be exacerbated by obesity, women should have their body mass index, blood pressure and oral glucose tolerance assessed prior to conceiving;\n\n* Following diagnosis, women with PCOS should be examined for skin and hair complications including excess hair growth and acne;\n\n* Although women with PCOS have some of the same risk factors associated with the development of endometrial cancer, they should not routinely undergo ultrasound screening for endometrial thickness;\n\n* To gauge metabolic risk, adolescents and adult women with PCOS should be screened for increased obesity using body mass index and waist circumference measurements;\n\n* Clinicians should give adolescents and adult women with PCOS an oral glucose tolerance test to check for type 2 diabetes or impaired glucose tolerance because they are at increased risk of these conditions; and\n\n* Initial treatment of type 2 diabetes or impaired glucose tolerance in women with PCOS should be diet and exercise, with metformin as a second-line therapy.""><b>Finding C:</b></span> Other recommendations from the CPG include:\n\n* Because women with PCOS face an increased risk of pregnancy complications such as gestational diabetes, preterm delivery and preeclampsia that can be exacerbated by obesity, women should have their body mass index, blood pressure and oral glucose tolerance assessed prior to conceiving;\n\n* Following diagnosis, women with PCOS should be examined for skin and hair complications including excess hair growth and acne;\n\n* Although women with PCOS have some of the same risk factors associated with the development of endometrial cancer, they should not routinely undergo ultrasound screening for endometrial thickness;\n\n* To gauge metabolic risk, adolescents and adult women with PCOS should be screened for increased obesity using body mass index and waist circumference measurements;\n\n* Clinicians should give adolescents and adult women with PCOS an oral glucose tolerance test to check for type 2 diabetes or impaired glucose tolerance because they are at increased risk of these conditions; and\n\n* Initial treatment of type 2 diabetes or impaired glucose tolerance in women with PCOS should be diet and exercise, with metformin as a second-line therapy.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Fragments of the \'missing\' digits can be found in the form of ridges on the backside of the splints."" According to the team, this demonstrates that the first and fifth digits were not simply lost to evolution, but attached to their neighboring second and fourth digits. ""With a distinct surface from the metacarpal, we know the splints on today\'s horses to be the remnants of the second and fourth digits,"" Professor Solounias said.""><b>Finding D:</b></span> According to the team, this demonstrates that the first and fifth digits were not simply lost to evolution, but attached to their neighboring second and fourth digits."
Medicine_128_r$Medicine_36_p$Medicine_279_r$Medicine_tweet_76_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Self-efficacy and support\n\nThe result: support from their partners is helpful to smokers who wish to stop and it increases their chances of success, provided that they have developed skills of their own that help them to abstain. Such support could involve their partner reminding them of their plan to quit as well as encouraging and supporting them in critical situations. Careful planning\n\nThe same is true of the coping strategies that the smoker plans to apply in difficult situations (for instance, taking a chewing gum or being reminded of one\'s wish to quit when spending an evening in the company of smokers and feeling an uncontrollable craving for a cigarette).""><b>Finding A:</b></span> Self-efficacy and support\n\nThe result: support from their partners is helpful to smokers who wish to stop and it increases their chances of success, provided that they have developed skills of their own that help them to abstain.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This is a limitation that is inherent in the prognosis literature that we hope will be overcome in the future by improved quality of reporting. Our study had a number of strengths. The hypothesis-generating nature of this study allowed for the identification of prognostic factors that are potentially modifiable in the preoperative setting, which could lead to better surgical outcomes for older adults undergoing elective surgery.""><b>Finding B:</b></span> Our study had a number of strengths.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: As for your eating after your workout, there is really no time constraint -- but you should definitely eat when you\'re hungry. Whether you decide to eat 30 minutes or two hours after your workout, Agnani stressed that this meal is just as important as the one you had before hitting the gym. ""Eating after your workout is important, as muscle repair continues,"" she wrote.""><b>Finding C:</b></span> Whether you decide to eat 30 minutes or two hours after your workout, Agnani stressed that this meal is just as important as the one you had before hitting the gym.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Drug Delivers Estrogen Selectively to the Brain to Treat Neurological Disorders #SciTM  via @username @username""><b>Finding D:</b></span> Drug Delivers Estrogen Selectively to the Brain to Treat Neurological Disorders #SciTM  via @username @username"
Medicine_tweet_58_p$Medicine_443_r$Medicine_170_r$Medicine_419_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Our findings are consistent with similarly published data. We found that, similarly to the cerebral volume, the bilateral frontal and left temporal lobe volumes increased with age in all children. Interestingly, the right frontal and right temporal lobe volumes differed significantly between patients and controls, and this persisted over time, with controls having higher volumes than patients.""><b>Finding A:</b></span> We found that, similarly to the cerebral volume, the bilateral frontal and left temporal lobe volumes increased with age in all children.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: However, some perplexing pieces of the puzzle remained, as two people with exactly the same genetic makeup can still differ markedly regarding how bitter certain foods and liquids taste to them. Now, findings from Monell reveal that a person\'s sensitivity to bitter taste is shaped not only by which taste genes that person has, but also by how much messenger RNA -- the gene\'s instruction guide that tells a taste cell to build a specific receptor - their cells make. The findings add a new level of complexity to the understanding of the cellular mechanisms of taste perception, which may ultimately lend insight into individual differences in food preferences and dietary choices.""><b>Finding B:</b></span> Now, findings from Monell reveal that a person\'s sensitivity to bitter taste is shaped not only by which taste genes that person has, but also by how much messenger RNA -- the gene\'s instruction guide that tells a taste cell to build a specific receptor - their cells make.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: They were particularly interested in studying mutations to the ANO7 gene because their previous research suggested this could be a gene of interest for prostate cancer. ""We found that small genetic changes to the ANO7 gene increase a patient\'s risk of aggressive prostate cancer. Genetic testing for ANO7 could help identify these patients sooner and may bring new opportunities for precision oncology in prostate cancer,"" says the leading author of the study, Professor Johanna Schleutker from the Institute of Biomedicine of the University of Turku, Finland.""><b>Finding C:</b></span> ""We found that small genetic changes to the ANO7 gene increase a patient\'s risk of aggressive prostate cancer.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Thus, we propose that maternal cortisol levels might mediate the relation between MSDP and offspring ND. Given evidence for more pronounced MSDP-offspring smoking links in daughters (12-14, 16,17,19,24) and for sex differences in prenatal glucocorticoid levels (59) and offspring outcomes after prenatal glucocorticoid exposure (60), we also hypothesized that links between prenatal glucocorticoids and offspring ND would be stronger for daughters. showed associations between fetal testosterone exposure and alterations in responsiveness of neural reward regions and behavioral approach tendencies, both of which have been associated with ND .""><b>Finding D:</b></span> Given evidence for more pronounced MSDP-offspring smoking links in daughters (12-14, 16,17,19,24) and for sex differences in prenatal glucocorticoid levels (59) and offspring outcomes after prenatal glucocorticoid exposure (60), we also hypothesized that links between prenatal glucocorticoids and offspring ND would be stronger for daughters."
Medicine_92_p$Medicine_13_p$Medicine_tweet_14_r$Medicine_tweet_66_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Performing oral sex increases the risk of oral HPV infection, and the risk increases with the number of partners. Awareness of this link between sexual behavior, oral HPV infection, and cancer may cause concern for patients who have HPV-positive OSCC and their partners. Strong associations are observed between sexual behavior, oral HPV infection, and oropharyngeal cancer.""><b>Finding A:</b></span> Awareness of this link between sexual behavior, oral HPV infection, and cancer may cause concern for patients who have HPV-positive OSCC and their partners.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Until such findings are confirmed, however, we strongly would caution about drawing impulsive, thoughtless or potentially stigmatizing conclusions about members of such groups . Despite the null findings identified in the present study, history gives us reason to suspect the idea that violent video games drives aggressive behaviour will remain an unsettled question for parents, pundits and policy-makers. Although our results do have implications for these stakeholders, the present work holds special significance for those studying technology effects, in general, and video games, in particular.""><b>Finding B:</b></span> Despite the null findings identified in the present study, history gives us reason to suspect the idea that violent video games drives aggressive behaviour will remain an unsettled question for parents, pundits and policy-makers.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Our new paper using MTurk finds no evidence that artificial monitoring cues influence online donations to charity ""><b>Finding C:</b></span> Our new paper using MTurk finds no evidence that artificial monitoring cues influence online donations to charity <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: [31] Demonstrating the role that telehealth can play in achieving the Triple Aim of improving quality and health outcomes while lowering the cost of care could prove to be a powerful incentive for increased uptake. The use of telehealth increased dramatically in the period 2013-16 across all population groups. While we found evidence that populations with limited mobility (such as Medicare beneficiaries younger than age sixty-five and people with selfreported physical or mental health concerns that limit their activities) were among the highest users, key underserved populations (including Medicaid, low-income, and rural populations) had significantly lower use of telehealth.""><b>Finding D:</b></span> The use of telehealth increased dramatically in the period 2013-16 across all population groups."
