DOI	id	News Finding	Paper Finding	News Context	Paper Context	scores	field	split	final_score	source	News URL	text
10.1177/0141076814565942	Psychology_48	"What's more, ""risk was particularly high for infantile autism before age 5 years."""	More strikingly, risk was 80-83% increased in the first 0-4 years of life, an increase that was restricted to infantile autism.	"Regardless of background, the team explains, ""circumcised boys were more likely than intact boys to develop ASD before age 10 years."" What's more, ""risk was particularly high for infantile autism before age 5 years."" That number may be so low due to overwhelming beliefs that the practice equates to genital mutilation, while stateside it may be considered more comparable to dental braces."	Ritual circumcision among Danish boys is linked to an overall 46-62% increase in ASD risk in the first 10 years of life, with the upper risk estimate obtained after restriction to the period with the most complete data. More strikingly, risk was 80-83% increased in the first 0-4 years of life, an increase that was restricted to infantile autism. To our knowledge, there is no prior evidence to suggest a link between circumcision and hyperactivity disorder, so our finding of an increased risk of this common neurobehavioral disorder among circumcised boys in non-Muslim families was unexpected and needs cautious interpretation.	[5.0, 4.0, 3.0]	Psychology	train	4.0	news	http://www.medicaldaily.com/asd-and-circumcision-linked-thoughts-brain-development-factor-318144	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Regardless of background, the team explains, ""circumcised boys were more likely than intact boys to develop ASD before age 10 years."" What\'s more, ""risk was particularly high for infantile autism before age 5 years."" That number may be so low due to overwhelming beliefs that the practice equates to genital mutilation, while stateside it may be considered more comparable to dental braces.""><b>Reported Finding:</b></span> What\'s more, ""risk was particularly high for infantile autism before age 5 years.""<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Ritual circumcision among Danish boys is linked to an overall 46-62% increase in ASD risk in the first 10 years of life, with the upper risk estimate obtained after restriction to the period with the most complete data. More strikingly, risk was 80-83% increased in the first 0-4 years of life, an increase that was restricted to infantile autism. To our knowledge, there is no prior evidence to suggest a link between circumcision and hyperactivity disorder, so our finding of an increased risk of this common neurobehavioral disorder among circumcised boys in non-Muslim families was unexpected and needs cautious interpretation.""><b>Paper Finding:</b></span> More strikingly, risk was 80-83% increased in the first 0-4 years of life, an increase that was restricted to infantile autism.']"
10.1177/0305735613517410	Psychology_tweet_136	Music can lift you out of a funk, if you can truly immerse yourself in its beauty  via 	We argue that the more beautiful music is, the easier it is for the listener to concentrate on the music.	Music can lift you out of a funk, if you can truly immerse yourself in its beauty  via 	As predicted (2c) people most often selected music with a high aesthetic value selection strategy when they aimed for distraction. We argue that the more beautiful music is, the easier it is for the listener to concentrate on the music. Moreover, these findings are in line with findings that stimulus that is perceived to have high aesthetic value will generate sensory pleasure and inhibit displeasure Menon & Levitin, 2005) .	[4.0, 3.0, 5.0, 4.0, 3.0]	Psychology	val	3.8	tweets	431443332829437955	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Music can lift you out of a funk, if you can truly immerse yourself in its beauty  via ""><b>Reported Finding:</b></span> Music can lift you out of a funk, if you can truly immerse yourself in its beauty  via <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: As predicted (2c) people most often selected music with a high aesthetic value selection strategy when they aimed for distraction. We argue that the more beautiful music is, the easier it is for the listener to concentrate on the music. Moreover, these findings are in line with findings that stimulus that is perceived to have high aesthetic value will generate sensory pleasure and inhibit displeasure Menon & Levitin, 2005) .""><b>Paper Finding:</b></span> We argue that the more beautiful music is, the easier it is for the listener to concentrate on the music.']"
10.1038/npp.2011.6	Psychology_tweet_111	"""Pretreatment with CBD significantly reduced anxiety, cognitive impairment and discomfort in their speech... "	The placebo group presented higher anxiety, cognitive impairment, discomfort, and alert levels when compared with the control group as assessed with the VAMS.	"""Pretreatment with CBD significantly reduced anxiety, cognitive impairment and discomfort in their speech... "	Pretreatment with CBD significantly reduced anxiety, cognitive impairment and discomfort in their speech performance, and significantly decreased alert in their anticipatory speech. The placebo group presented higher anxiety, cognitive impairment, discomfort, and alert levels when compared with the control group as assessed with the VAMS. The SSPS-N scores evidenced significant increases during the testing of placebo group that was almost abolished in the CBD group.	[1.0, 5.0, 4.0, 3.0, 1.0]	Psychology	train	4.0	tweets	239855864532574210	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: ""Pretreatment with CBD significantly reduced anxiety, cognitive impairment and discomfort in their speech... ""><b>Reported Finding:</b></span> ""Pretreatment with CBD significantly reduced anxiety, cognitive impairment and discomfort in their speech... <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Pretreatment with CBD significantly reduced anxiety, cognitive impairment and discomfort in their speech performance, and significantly decreased alert in their anticipatory speech. The placebo group presented higher anxiety, cognitive impairment, discomfort, and alert levels when compared with the control group as assessed with the VAMS. The SSPS-N scores evidenced significant increases during the testing of placebo group that was almost abolished in the CBD group.""><b>Paper Finding:</b></span> The placebo group presented higher anxiety, cognitive impairment, discomfort, and alert levels when compared with the control group as assessed with the VAMS.']"
10.1073/pnas.1407787111	Psychology_tweet_38	Lag in maturation of the brain’s intrinsic functional architecture in ADHD disorder  	These observations suggest that lagged maturation in anterior insula could contribute to several forms of inattention in ADHD.	Lag in maturation of the brain’s intrinsic functional architecture in ADHD disorder  	We found prominent maturational lag in DMN interconnections with VAN, with a concentration of lagged connections involving anterior insula, a key hub in VAN. These observations suggest that lagged maturation in anterior insula could contribute to several forms of inattention in ADHD. There was also a lag in ADHD in integration of interconnections linking DMN and FPN (Fig.	[5.0, 5.0, 4.0, 3.0, 4.0]	Psychology	test	4.2	tweets	738780468573831169	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Lag in maturation of the brain’s intrinsic functional architecture in ADHD disorder  ""><b>Reported Finding:</b></span> Lag in maturation of the brain’s intrinsic functional architecture in ADHD disorder  <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: We found prominent maturational lag in DMN interconnections with VAN, with a concentration of lagged connections involving anterior insula, a key hub in VAN. These observations suggest that lagged maturation in anterior insula could contribute to several forms of inattention in ADHD. There was also a lag in ADHD in integration of interconnections linking DMN and FPN (Fig.""><b>Paper Finding:</b></span> These observations suggest that lagged maturation in anterior insula could contribute to several forms of inattention in ADHD.']"
10.1080/08870446.2013.818674	Psychology_172	"Self-efficacy and support

The result: support from their partners is helpful to smokers who wish to stop and it increases their chances of success, provided that they have developed skills of their own that help them to abstain."	The rationale for examining potential joint effects of smoking-specific received social support and individual self-regulation before the quit date and post-quit date smoking cessation in the short-term rather than a longer-term ( 6 months) perspective lies in the chosen constructs.	"Support from one's partner can help -- but only if the smokers have developed skills of their own that help them to stop. Self-efficacy and support

The result: support from their partners is helpful to smokers who wish to stop and it increases their chances of success, provided that they have developed skills of their own that help them to abstain. Such support could involve their partner reminding them of their plan to quit as well as encouraging and supporting them in critical situations."	On average, 29 days (range 21-58days) after the quit date, the respondents returned to the lab for the second assessment (T2). The rationale for examining potential joint effects of smoking-specific received social support and individual self-regulation before the quit date and post-quit date smoking cessation in the short-term rather than a longer-term ( 6 months) perspective lies in the chosen constructs. In contrast to perceived social support, received social support is not assumed to be stable over time, but a measure of retrospective support transactions from the partner.	[5.0, 1.0, 2.0, 4.0, 4.0]	Psychology	train	4.0	news	http://www.sciencedaily.com/releases/2013/07/130724102602.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily+%28ScienceDaily%3A+Latest+Science+News%29	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Support from one\'s partner can help -- but only if the smokers have developed skills of their own that help them to stop. Self-efficacy and support\n\nThe result: support from their partners is helpful to smokers who wish to stop and it increases their chances of success, provided that they have developed skills of their own that help them to abstain. Such support could involve their partner reminding them of their plan to quit as well as encouraging and supporting them in critical situations.""><b>Reported Finding:</b></span> Self-efficacy and support\n\nThe result: support from their partners is helpful to smokers who wish to stop and it increases their chances of success, provided that they have developed skills of their own that help them to abstain.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: On average, 29 days (range 21-58days) after the quit date, the respondents returned to the lab for the second assessment (T2). The rationale for examining potential joint effects of smoking-specific received social support and individual self-regulation before the quit date and post-quit date smoking cessation in the short-term rather than a longer-term ( 6 months) perspective lies in the chosen constructs. In contrast to perceived social support, received social support is not assumed to be stable over time, but a measure of retrospective support transactions from the partner.""><b>Paper Finding:</b></span> The rationale for examining potential joint effects of smoking-specific received social support and individual self-regulation before the quit date and post-quit date smoking cessation in the short-term rather than a longer-term ( 6 months) perspective lies in the chosen constructs.']"
10.1001/jamapsychiatry.2018.1941	Psychology_20	A total of 162 functional connectivity neural links involved in the areas of the brain associated with sleep were identified from these scans.	A total of 162 functional connectivity links involving areas associated with sleep, such as the precuneus, anterior cingulate cortex, and the lateral orbitofrontal cortex, were identified.	"Depression and sleeplessness go hand in hand.A petitefox/Flickr

aAn important part of the research was that we showed that in a population from the US, available because of the Human Connectome Project, the orbitofrontal cortex had increased functional connectivity with the other brain regions in people with depressive problems,a co-author and fellow University of Warwick professor Edmund Rolls, Ph.D. tells Inverse, referring to the large-scale effort to map the complete structural and functional neural connections within the human brain. A total of 162 functional connectivity neural links involved in the areas of the brain associated with sleep were identified from these scans. While anyone whoas experienced the difficulty of depression or insomnia may not be surprised that theyare connected, this study marks the first time scientists can definitively say there are neural mechanisms underlying the relationship between the two."	The Depressive Problems score was positively correlated with poor sleep quality (r = 0.371; P < .001). A total of 162 functional connectivity links involving areas associated with sleep, such as the precuneus, anterior cingulate cortex, and the lateral orbitofrontal cortex, were identified. Of these links, 39 were also associated with the Depressive Problems scores.	[4.0, 5.0, 4.0]	Psychology	train	4.333333333333333	news	http://ct.moreover.com/?a=34642343077&p=1pl&v=1&x=KFiPC90kn8JgzhaUX20nIg	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Depression and sleeplessness go hand in hand.A petitefox/Flickr\n\naAn important part of the research was that we showed that in a population from the US, available because of the Human Connectome Project, the orbitofrontal cortex had increased functional connectivity with the other brain regions in people with depressive problems,a co-author and fellow University of Warwick professor Edmund Rolls, Ph.D. tells Inverse, referring to the large-scale effort to map the complete structural and functional neural connections within the human brain. A total of 162 functional connectivity neural links involved in the areas of the brain associated with sleep were identified from these scans. While anyone whoas experienced the difficulty of depression or insomnia may not be surprised that theyare connected, this study marks the first time scientists can definitively say there are neural mechanisms underlying the relationship between the two.""><b>Reported Finding:</b></span> A total of 162 functional connectivity neural links involved in the areas of the brain associated with sleep were identified from these scans.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: The Depressive Problems score was positively correlated with poor sleep quality (r = 0.371; P < .001). A total of 162 functional connectivity links involving areas associated with sleep, such as the precuneus, anterior cingulate cortex, and the lateral orbitofrontal cortex, were identified. Of these links, 39 were also associated with the Depressive Problems scores.""><b>Paper Finding:</b></span> A total of 162 functional connectivity links involving areas associated with sleep, such as the precuneus, anterior cingulate cortex, and the lateral orbitofrontal cortex, were identified.']"
10.1073/pnas.1407787111	Psychology_138	"""The results of this study set the stage for the next phase of this research, which is to examine individual components of the networks that have the maturational lag,"" he says."	Our finding of maturational lag specifically in connections within and between these networks suggests a developmental etiology for the deficits proposed in these models.	"""It is particularly noteworthy that the networks we found to have lagging maturation in ADHD are linked to the very behaviors that are the symptoms of ADHD,"" he says. ""The results of this study set the stage for the next phase of this research, which is to examine individual components of the networks that have the maturational lag,"" he says. ""This study provides a coarse-grained understanding, and now we want to examine this phenomenon in a more fine-grained way that might lead us to a true biological marker, or neuromarker, for ADHD."""	In particular, lag was observed within the midline core of the DMN, as well as in DMN connections with right lateralized prefrontal regions (in frontoparietal network) and anterior insula (in ventral attention network). Our finding of maturational lag specifically in connections within and between these networks suggests a developmental etiology for the deficits proposed in these models. These advances raise possibilities for investigating maturational lag in ADHD in the developing ICN architecture of the brain (18).	[5.0, 3.0, 4.0, 4.0]	Psychology	test	4.0	news	http://www.sciencedaily.com/releases/2014/09/140915153607.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily+%28Latest+Science+News+--+ScienceDaily%29	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: ""It is particularly noteworthy that the networks we found to have lagging maturation in ADHD are linked to the very behaviors that are the symptoms of ADHD,"" he says. ""The results of this study set the stage for the next phase of this research, which is to examine individual components of the networks that have the maturational lag,"" he says. ""This study provides a coarse-grained understanding, and now we want to examine this phenomenon in a more fine-grained way that might lead us to a true biological marker, or neuromarker, for ADHD.""""><b>Reported Finding:</b></span> ""The results of this study set the stage for the next phase of this research, which is to examine individual components of the networks that have the maturational lag,"" he says.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: In particular, lag was observed within the midline core of the DMN, as well as in DMN connections with right lateralized prefrontal regions (in frontoparietal network) and anterior insula (in ventral attention network). Our finding of maturational lag specifically in connections within and between these networks suggests a developmental etiology for the deficits proposed in these models. These advances raise possibilities for investigating maturational lag in ADHD in the developing ICN architecture of the brain (18).""><b>Paper Finding:</b></span> Our finding of maturational lag specifically in connections within and between these networks suggests a developmental etiology for the deficits proposed in these models.']"
10.1177/0022146514533347	Psychology_477	"""Our findings demonstrate that where obesity is most prevalent, the difference in life satisfaction between the obese and non-obese is smaller for women and almost non-existent for men,"" he said."	In counties with higher levels of obesity, this difference virtually disappears (less than 1.5 percent separates the nonobese and severely obese, and the difference between the nonobese and obese is less than .5 percent).	"""Think about the advertising we see on television or in magazines -- we are bombarded by images of thin women, and we are told that is the ideal,"" said Pendergast, who noted that the study offers a potential explanation for the exponential increase in obesity in the United States over the past 30 years. ""Our findings demonstrate that where obesity is most prevalent, the difference in life satisfaction between the obese and non-obese is smaller for women and almost non-existent for men,"" he said. ""The same relationship is likely to exist over time and, as such, the emotional cost and advantage of obesity and non-obesity, respectively, may be decreasing as the prevalence of obesity increases."	For men in low-obesity counties, there is little more than a 2 and 7 percentage point respective difference between the obese and nonobese, and severely obese and nonobese, in the likelihood of reporting high life satisfaction. In counties with higher levels of obesity, this difference virtually disappears (less than 1.5 percent separates the nonobese and severely obese, and the difference between the nonobese and obese is less than .5 percent). In other words, there is almost no emotional cost of obesity in terms of life satisfaction for men living in high-obesity counties.	[5.0, 5.0, 5.0, 3.0, 5.0]	Psychology	train	4.6	news	http://psychcentral.com/news/2014/05/30/where-you-live-influences-your-satisfaction-with-life/70561.html	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: ""Think about the advertising we see on television or in magazines -- we are bombarded by images of thin women, and we are told that is the ideal,"" said Pendergast, who noted that the study offers a potential explanation for the exponential increase in obesity in the United States over the past 30 years. ""Our findings demonstrate that where obesity is most prevalent, the difference in life satisfaction between the obese and non-obese is smaller for women and almost non-existent for men,"" he said. ""The same relationship is likely to exist over time and, as such, the emotional cost and advantage of obesity and non-obesity, respectively, may be decreasing as the prevalence of obesity increases.""><b>Reported Finding:</b></span> ""Our findings demonstrate that where obesity is most prevalent, the difference in life satisfaction between the obese and non-obese is smaller for women and almost non-existent for men,"" he said.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: For men in low-obesity counties, there is little more than a 2 and 7 percentage point respective difference between the obese and nonobese, and severely obese and nonobese, in the likelihood of reporting high life satisfaction. In counties with higher levels of obesity, this difference virtually disappears (less than 1.5 percent separates the nonobese and severely obese, and the difference between the nonobese and obese is less than .5 percent). In other words, there is almost no emotional cost of obesity in terms of life satisfaction for men living in high-obesity counties.""><b>Paper Finding:</b></span> In counties with higher levels of obesity, this difference virtually disappears (less than 1.5 percent separates the nonobese and severely obese, and the difference between the nonobese and obese is less than .5 percent).']"
10.1038/s41598-017-02274-2	Psychology_tweet_167	Our new study with @username in @username : How ‘wearing’ a tactile heart(beat) helps you stay calmer  	Participants in the doppel active condition displayed lower increases in skin conductance responses relative to baseline and reported lower anxiety levels compared to the control group.	Our new study with @username in @username : How ‘wearing’ a tactile heart(beat) helps you stay calmer  	Vickhoff and colleagues 6 monitored the heart rates of singers and found that as the members sang in unison, their pulses began to speed up and slow down at the same rate. Participants in the doppel active condition displayed lower increases in skin conductance responses relative to baseline and reported lower anxiety levels compared to the control group. Therefore, the presence, as opposed to its absence, of a slow rhythm, which in the present study was instantiated as an auxiliary slow heartbeat delivered through doppel, had a significant calming effect on physiological arousal and subjective experience during a socially stressful situation.	[3.0, 2.0, 4.0, 5.0, 4.0]	Psychology	val	3.6	tweets	866943938342653952	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Our new study with @username in @username : How ‘wearing’ a tactile heart(beat) helps you stay calmer  ""><b>Reported Finding:</b></span> Our new study with @username in @username : How ‘wearing’ a tactile heart(beat) helps you stay calmer  <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Vickhoff and colleagues 6 monitored the heart rates of singers and found that as the members sang in unison, their pulses began to speed up and slow down at the same rate. Participants in the doppel active condition displayed lower increases in skin conductance responses relative to baseline and reported lower anxiety levels compared to the control group. Therefore, the presence, as opposed to its absence, of a slow rhythm, which in the present study was instantiated as an auxiliary slow heartbeat delivered through doppel, had a significant calming effect on physiological arousal and subjective experience during a socially stressful situation.""><b>Paper Finding:</b></span> Participants in the doppel active condition displayed lower increases in skin conductance responses relative to baseline and reported lower anxiety levels compared to the control group.']"
10.1001/jamapsychiatry.2018.3514	Psychology_312	"""These findings show the need both for clinicians to pay particular attention to patients reporting experience of psychotic experience, and for greater funding for research into recognizing a psychosis subtype of suicide,"" he continued."	We found that co-occurring psychopathology is only a partial mediator of the association between PEs and suicidal behavior; that is, PEs are a marker of risk for later suicidal behavior in excess of the risk associated with co-occurring mental disorders.	"""Given that about 1 million people die by suicide every year, that's a very encouraging prospect for suicide prevention."" ""These findings show the need both for clinicians to pay particular attention to patients reporting experience of psychotic experience, and for greater funding for research into recognizing a psychosis subtype of suicide,"" he continued. ""If we are to understand suicide, we need to understand a lot more about perceptual abnormalities,"" added doctoral student and co-author Kathryn Yates of RCSI Psychiatry."	For one, PEs are associated with increased odds of suicidal behavior even in individuals without a mental disorder. We found that co-occurring psychopathology is only a partial mediator of the association between PEs and suicidal behavior; that is, PEs are a marker of risk for later suicidal behavior in excess of the risk associated with co-occurring mental disorders. (Figure 2 includes examples of mediating variables in the association between PEs and suicidal ideation and behavior.)	[5.0, 4.0, 3.0, 4.0, 4.0]	Psychology	train	4.0	news	http://ct.moreover.com/?a=38199144066&p=1pl&v=1&x=PR70GSjRLk3dzNiHIohVjQ	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: ""Given that about 1 million people die by suicide every year, that\'s a very encouraging prospect for suicide prevention."" ""These findings show the need both for clinicians to pay particular attention to patients reporting experience of psychotic experience, and for greater funding for research into recognizing a psychosis subtype of suicide,"" he continued. ""If we are to understand suicide, we need to understand a lot more about perceptual abnormalities,"" added doctoral student and co-author Kathryn Yates of RCSI Psychiatry.""><b>Reported Finding:</b></span> ""These findings show the need both for clinicians to pay particular attention to patients reporting experience of psychotic experience, and for greater funding for research into recognizing a psychosis subtype of suicide,"" he continued.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: For one, PEs are associated with increased odds of suicidal behavior even in individuals without a mental disorder. We found that co-occurring psychopathology is only a partial mediator of the association between PEs and suicidal behavior; that is, PEs are a marker of risk for later suicidal behavior in excess of the risk associated with co-occurring mental disorders. (Figure 2 includes examples of mediating variables in the association between PEs and suicidal ideation and behavior.)""><b>Paper Finding:</b></span> We found that co-occurring psychopathology is only a partial mediator of the association between PEs and suicidal behavior; that is, PEs are a marker of risk for later suicidal behavior in excess of the risk associated with co-occurring mental disorders.']"
