DOI	id	News Finding	Paper Finding	News Context	Paper Context	scores	field	split	final_score	source	News URL	text
10.1080/16066359.2017.1311877	Psychology_tweet_144	New #ReadiLab piece online describing enhanced pleasure from smoking cigs while drinking but not while smoking pot 	In contrast, there was on average no change in perceived pleasure from smoking cigarettes when using marijuana (5.3 ± 2.7, t (199) ¼ 1.7, p ¼ .09).	New #ReadiLab piece online describing enhanced pleasure from smoking cigs while drinking but not while smoking pot 	"Individuals reported an increase in perceived pleasure from smoking cigarettes when drinking alcohol (7.0 ± 2.2 versus null hypothesis 5 ¼ ""no increase or decrease in pleasure""; t (199) ¼13.0, p < .001). In contrast, there was on average no change in perceived pleasure from smoking cigarettes when using marijuana (5.3 ± 2.7, t (199) ¼ 1.7, p ¼ .09). Perceived pleasure from smoking cigarettes did not differ by frequency of binge drinking (F (3,200) ¼ 0.84, p ¼ .47): nonbinge (7.1 ± 2.1), 1-3 binge days (6.8 ± 2.3), 4-8 binge days (7.0 ± 2.1), 9 þ binge days (7.6 ± 2.2)."	[1.0, 1.0, 4.0, 4.0]	Psychology	train	4.0	tweets	857108199056568320	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: New #ReadiLab piece online describing enhanced pleasure from smoking cigs while drinking but not while smoking pot ""><b>Finding A:</b></span> New #ReadiLab piece online describing enhanced pleasure from smoking cigs while drinking but not while smoking pot <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Individuals reported an increase in perceived pleasure from smoking cigarettes when drinking alcohol (7.0 ± 2.2 versus null hypothesis 5 ¼ ""no increase or decrease in pleasure""; t (199) ¼13.0, p < .001). In contrast, there was on average no change in perceived pleasure from smoking cigarettes when using marijuana (5.3 ± 2.7, t (199) ¼ 1.7, p ¼ .09). Perceived pleasure from smoking cigarettes did not differ by frequency of binge drinking (F (3,200) ¼ 0.84, p ¼ .47): nonbinge (7.1 ± 2.1), 1-3 binge days (6.8 ± 2.3), 4-8 binge days (7.0 ± 2.1), 9 þ binge days (7.6 ± 2.2).""><b>Finding B:</b></span> In contrast, there was on average no change in perceived pleasure from smoking cigarettes when using marijuana (5.3 ± 2.7, t (199) ¼ 1.7, p ¼ .09).']"
10.1016/j.cub.2011.12.018	Psychology_tweet_220	Dog's gaze following tuned to human communicative signals: 	Furthermore, dogs followed the actor's gaze significantly less in the BC compared to the O condition [cumulative accuracy, two-sample t test, t(24) = 22.107, p = 0.045].	Dog's gaze following tuned to human communicative signals: 	Importantly, however, the accuracy indexes calculated for the cueing phase did not capture gaze following in BC [mean 6 SEM of cumulative accuracy: 20.06 6 0.14; one-sample t test, t(12) = 20.433; p = 0.67; first look: 0.11 6 0.16; one-sample t test, t(12) = 0.695; p = 0.5]. Furthermore, dogs followed the actor's gaze significantly less in the BC compared to the O condition [cumulative accuracy, two-sample t test, t(24) = 22.107, p = 0.045]. These data suggest that the lack of gaze following, when there are no ostensive signals, cannot be accounted for by the confounding effect of ''artificial'' salient attention getter used in the NO condition, also providing further support for the significant role of ostensive signals in dogs' gaze response.	[5.0, 5.0, 3.0, 3.0, 4.0]	Psychology	train	4.0	tweets	159447747328618496	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Dog\'s gaze following tuned to human communicative signals: ""><b>Finding A:</b></span> Dog\'s gaze following tuned to human communicative signals: <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Importantly, however, the accuracy indexes calculated for the cueing phase did not capture gaze following in BC [mean 6 SEM of cumulative accuracy: 20.06 6 0.14; one-sample t test, t(12) = 20.433; p = 0.67; first look: 0.11 6 0.16; one-sample t test, t(12) = 0.695; p = 0.5]. Furthermore, dogs followed the actor\'s gaze significantly less in the BC compared to the O condition [cumulative accuracy, two-sample t test, t(24) = 22.107, p = 0.045]. These data suggest that the lack of gaze following, when there are no ostensive signals, cannot be accounted for by the confounding effect of \'\'artificial\'\' salient attention getter used in the NO condition, also providing further support for the significant role of ostensive signals in dogs\' gaze response.""><b>Finding B:</b></span> Furthermore, dogs followed the actor\'s gaze significantly less in the BC compared to the O condition [cumulative accuracy, two-sample t test, t(24) = 22.107, p = 0.045].']"
10.1016/j.bbi.2011.08.007	Psychology_tweet_45	Immune dysfunction in autism. Pathophysiological pathways. 	Furthermore, these dysfunctional immune responses are associated with increased impairments in behaviors characteristic of core features of ASD, in particular, deficits in social interactions and communication.	Immune dysfunction in autism. Pathophysiological pathways. 	Furthermore, these dysfunctional immune responses are associated with increased impairments in behaviors characteristic of core features of ASD, in particular, deficits in social interactions and communication. This review will discuss the current state of our knowledge of immune dysfunction in ASD, how these findings may impact on underlying neuro-immune mechanisms and implicate potential areas where the manipulation of the immune response could have an impact on behavior and immunity in ASD. There is a concordance rate for ASD of 0-37% reported for dizygotic twins, while concordance rates of 44-91% are reported for monozygotic twins (Bailey et al., 1995; Constantino and Todd, 2000; Kates et al., 2004; Steffenburg et al., 1989) , suggesting that genetic composition may contribute to increased risk of developing ASD.	[3.0, 4.0, 3.0, 4.0]	Psychology	test	3.5	tweets	264799278818533376	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Immune dysfunction in autism. Pathophysiological pathways. ""><b>Finding A:</b></span> Immune dysfunction in autism. Pathophysiological pathways. <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Furthermore, these dysfunctional immune responses are associated with increased impairments in behaviors characteristic of core features of ASD, in particular, deficits in social interactions and communication. This review will discuss the current state of our knowledge of immune dysfunction in ASD, how these findings may impact on underlying neuro-immune mechanisms and implicate potential areas where the manipulation of the immune response could have an impact on behavior and immunity in ASD. There is a concordance rate for ASD of 0-37% reported for dizygotic twins, while concordance rates of 44-91% are reported for monozygotic twins (Bailey et al., 1995; Constantino and Todd, 2000; Kates et al., 2004; Steffenburg et al., 1989) , suggesting that genetic composition may contribute to increased risk of developing ASD.""><b>Finding B:</b></span> Furthermore, these dysfunctional immune responses are associated with increased impairments in behaviors characteristic of core features of ASD, in particular, deficits in social interactions and communication.']"
10.1016/j.jcrimjus.2016.03.001	Psychology_510	Beckley, who is in the department of psychology and neuroscience at Duke, said the adult-onset group had a history of anti-social behavior back to childhood, but reported committing relatively fewer crimes.	Our results showed that most of the official adult-onset men began their antisocial activities during early childhood.	Using this unusually rich source of data, the study was able to look at childhood history compared with adult behavior. Beckley, who is in the department of psychology and neuroscience at Duke, said the adult-onset group had a history of anti-social behavior back to childhood, but reported committing relatively fewer crimes. This group reported committing more crimes than folks who had never been convicted, but fewer crimes than people who had been in trouble as juveniles.	Our results, along with past research (see, for example, , indicate that as a whole, apparent adult-onset offenders are responsible for a small minority of total crime. Our results showed that most of the official adult-onset men began their antisocial activities during early childhood. In fact, on average, official adult-onset men were similar to juvenile-onset men on multiple measures of child and adolescent antisocial behavior.	[5.0, 4.0, 5.0, 4.0, 4.0]	Psychology	val	4.4	news	http://www.science20.com/news_articles/juvenile_offenders_probably_more_criminal_to_begin_with-170569	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Using this unusually rich source of data, the study was able to look at childhood history compared with adult behavior. Beckley, who is in the department of psychology and neuroscience at Duke, said the adult-onset group had a history of anti-social behavior back to childhood, but reported committing relatively fewer crimes. This group reported committing more crimes than folks who had never been convicted, but fewer crimes than people who had been in trouble as juveniles.""><b>Finding A:</b></span> Beckley, who is in the department of psychology and neuroscience at Duke, said the adult-onset group had a history of anti-social behavior back to childhood, but reported committing relatively fewer crimes.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Our results, along with past research (see, for example, , indicate that as a whole, apparent adult-onset offenders are responsible for a small minority of total crime. Our results showed that most of the official adult-onset men began their antisocial activities during early childhood. In fact, on average, official adult-onset men were similar to juvenile-onset men on multiple measures of child and adolescent antisocial behavior.""><b>Finding B:</b></span> Our results showed that most of the official adult-onset men began their antisocial activities during early childhood.']"
10.1016/j.jpeds.2017.10.028	Psychology_21	In total,19 percent of the young volunteers involved in the study reported that they had been physically abusive to a partner during a dating relationship and 68 percent of the volunteers reported to experiencing corporal punishment as children.	Results In all, 19% of participants (n = 134) reported physical dating violence perpetration and 68% reported experiencing corporal punishment as children (n = 498).	Of the 758 young adults recruited for the study, 61 percent were female. In total,19 percent of the young volunteers involved in the study reported that they had been physically abusive to a partner during a dating relationship and 68 percent of the volunteers reported to experiencing corporal punishment as children. There was a positive relationship between corporal punishment and physical violence during a romantic relationship.	Results In all, 19% of participants (n = 134) reported physical dating violence perpetration and 68% reported experiencing corporal punishment as children (n = 498). Analysis showed a significant positive association between corporal punishment and physical perpetration of dating violence (OR 1.30, 95% CI 1.07-1.59). Even after controlling for sex, ethnicity, age, parental education, and child physical abuse, childhood corporal punishment was associated significantly with physical dating violence perpetration (aOR 1.29, 95% CI 1.02-1.62).	[3.0, 4.0, 5.0, 4.0]	Psychology	train	4.0	news	http://ct.moreover.com/?a=32698329640&p=1pl&v=1&x=pR-rCOq5zncqbaREgJOeFg	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Of the 758 young adults recruited for the study, 61 percent were female. In total,19 percent of the young volunteers involved in the study reported that they had been physically abusive to a partner during a dating relationship and 68 percent of the volunteers reported to experiencing corporal punishment as children. There was a positive relationship between corporal punishment and physical violence during a romantic relationship.""><b>Finding A:</b></span> In total,19 percent of the young volunteers involved in the study reported that they had been physically abusive to a partner during a dating relationship and 68 percent of the volunteers reported to experiencing corporal punishment as children.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Results In all, 19% of participants (n = 134) reported physical dating violence perpetration and 68% reported experiencing corporal punishment as children (n = 498). Analysis showed a significant positive association between corporal punishment and physical perpetration of dating violence (OR 1.30, 95% CI 1.07-1.59). Even after controlling for sex, ethnicity, age, parental education, and child physical abuse, childhood corporal punishment was associated significantly with physical dating violence perpetration (aOR 1.29, 95% CI 1.02-1.62).""><b>Finding B:</b></span> Results In all, 19% of participants (n = 134) reported physical dating violence perpetration and 68% reported experiencing corporal punishment as children (n = 498).']"
10.1093/jcr/ucw012	Psychology_275	"For example, in one experiment, people felt more environmentally conscious after they received a behaviorally targeted ad for a ""green"" product."	The results of study 3 replicate previous results by showing that ads identified as behaviorally targeted can affect consumer self-perceptions and hence behavior.	"For example, in one experiment, people felt more environmentally conscious after they received a behaviorally targeted ad for a ""green"" product. ""The power of a behaviorally targeted ad for a green product isn't just that it persuades you to buy the advertised product. It actually makes you feel more environmentally conscious and can change your behavior,"" said Rebecca Walker Reczek, co-author of the study and associate professor of marketing at The Ohio State University's Fisher College of Business."	", and this effect was not present when the order of the mediators was reversed (b ¼ .0046, SE ¼ .02, 95% CI, À.0297 to .0607). The results of study 3 replicate previous results by showing that ads identified as behaviorally targeted can affect consumer self-perceptions and hence behavior. Specifically, consumers receiving a behaviorally targeted ad for an environmentally friendly ""green"" product viewed themselves as possessing stronger green consumption values."	[5.0, 4.0, 3.0, 4.0, 4.0]	Psychology	train	4.0	news	http://feedproxy.google.com/~r/TechnologyOrg/~3/KIPqQyrnyiA/	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: For example, in one experiment, people felt more environmentally conscious after they received a behaviorally targeted ad for a ""green"" product. ""The power of a behaviorally targeted ad for a green product isn\'t just that it persuades you to buy the advertised product. It actually makes you feel more environmentally conscious and can change your behavior,"" said Rebecca Walker Reczek, co-author of the study and associate professor of marketing at The Ohio State University\'s Fisher College of Business.""><b>Finding A:</b></span> For example, in one experiment, people felt more environmentally conscious after they received a behaviorally targeted ad for a ""green"" product.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: , and this effect was not present when the order of the mediators was reversed (b ¼ .0046, SE ¼ .02, 95% CI, À.0297 to .0607). The results of study 3 replicate previous results by showing that ads identified as behaviorally targeted can affect consumer self-perceptions and hence behavior. Specifically, consumers receiving a behaviorally targeted ad for an environmentally friendly ""green"" product viewed themselves as possessing stronger green consumption values.""><b>Finding B:</b></span> The results of study 3 replicate previous results by showing that ads identified as behaviorally targeted can affect consumer self-perceptions and hence behavior.']"
10.1177/0001839213509590	Psychology_tweet_217	Why is it good to enter the workforce in a time of recession? 	Across three studies, well-educated graduates who entered the workforce during economic downturns were more satisfied with their current jobs than those who entered during more prosperous economic times.	Why is it good to enter the workforce in a time of recession? 	Across three studies, well-educated graduates who entered the workforce during economic downturns were more satisfied with their current jobs than those who entered during more prosperous economic times. Study 1 showed that economic conditions at college graduation predicted later job satisfaction even after accounting for different industry and occupational choices. Study 2 replicated these results and found that recession-era graduates were more satisfied with their jobs both early and later in their careers and even when they earned less money.	[5.0, 5.0, 3.0, 4.0]	Psychology	train	4.25	tweets	391973059772436480	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Why is it good to enter the workforce in a time of recession? ""><b>Finding A:</b></span> Why is it good to enter the workforce in a time of recession? <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Across three studies, well-educated graduates who entered the workforce during economic downturns were more satisfied with their current jobs than those who entered during more prosperous economic times. Study 1 showed that economic conditions at college graduation predicted later job satisfaction even after accounting for different industry and occupational choices. Study 2 replicated these results and found that recession-era graduates were more satisfied with their jobs both early and later in their careers and even when they earned less money.""><b>Finding B:</b></span> Across three studies, well-educated graduates who entered the workforce during economic downturns were more satisfied with their current jobs than those who entered during more prosperous economic times.']"
10.1038/s41398-017-0048-8	Psychology_448	They also found that while older bipolar disorder patients had significantly accelerated epigenetic aging compared to controls, no difference was found in younger patients.	This might be one of the reasons why we only detected significant differences in epigenetic aging in older subjects, especially considering the key role proposed for chronic stress and the high rates of unhealthy lifestyles seen in BD patients .	"""Controlling these factors is just as important as taking medications,"" Fries said. They also found that while older bipolar disorder patients had significantly accelerated epigenetic aging compared to controls, no difference was found in younger patients. ""We believe a difference wasn't detected in younger patients because they haven't had as much exposure to stressful events,"" Fries said."	In line with previous results , our current findings suggest that DNAm age might represent a better aging marker than the commonly used telomere length, particularly in older individuals. This might be one of the reasons why we only detected significant differences in epigenetic aging in older subjects, especially considering the key role proposed for chronic stress and the high rates of unhealthy lifestyles seen in BD patients . Our findings suggest that accelerated epigenetic aging in BD may be at least partially associated with an increase in mtDNA copy number.	[5.0, 2.0, 4.0, 4.0, 3.0]	Psychology	val	3.6	news	http://healthmedicinet.com/news/uthealth-researchers-link-epigenetic-aging-to-bipolar-disorder/	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: ""Controlling these factors is just as important as taking medications,"" Fries said. They also found that while older bipolar disorder patients had significantly accelerated epigenetic aging compared to controls, no difference was found in younger patients. ""We believe a difference wasn\'t detected in younger patients because they haven\'t had as much exposure to stressful events,"" Fries said.""><b>Finding A:</b></span> They also found that while older bipolar disorder patients had significantly accelerated epigenetic aging compared to controls, no difference was found in younger patients.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: In line with previous results , our current findings suggest that DNAm age might represent a better aging marker than the commonly used telomere length, particularly in older individuals. This might be one of the reasons why we only detected significant differences in epigenetic aging in older subjects, especially considering the key role proposed for chronic stress and the high rates of unhealthy lifestyles seen in BD patients . Our findings suggest that accelerated epigenetic aging in BD may be at least partially associated with an increase in mtDNA copy number.""><b>Finding B:</b></span> This might be one of the reasons why we only detected significant differences in epigenetic aging in older subjects, especially considering the key role proposed for chronic stress and the high rates of unhealthy lifestyles seen in BD patients .']"
10.1093/chemse/bjt066	Psychology_263	The result was that all participants rated the four odours more positively when they were presented with positive labels than when presented with negative labels.	Although labels appear to also influence intensity ratings and reaction times, this seems to be a more complex relationship that could be modulated by additional factors such as odor valence, label fit, and possibly the edibility attributed to an odor or a label.	When associated with a pleasant label, we enjoy the odour more than when it is presented with a negative label. The result was that all participants rated the four odours more positively when they were presented with positive labels than when presented with negative labels. Specifically, participants described the odours as pleasant and edible (even those associated with non-food items) when associated with positive labels.	In summary, odor labels affect pleasantness ratings and edibility perception. Although labels appear to also influence intensity ratings and reaction times, this seems to be a more complex relationship that could be modulated by additional factors such as odor valence, label fit, and possibly the edibility attributed to an odor or a label. Odors with different valences impact our mood and wellbeing in different ways.	[5.0, 4.0, 3.0, 3.0]	Psychology	train	3.75	news	http://www.sciencedaily.com/releases/2014/02/140211084007.htm?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+sciencedaily+%28Latest+Science+News+--+ScienceDaily%29	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: When associated with a pleasant label, we enjoy the odour more than when it is presented with a negative label. The result was that all participants rated the four odours more positively when they were presented with positive labels than when presented with negative labels. Specifically, participants described the odours as pleasant and edible (even those associated with non-food items) when associated with positive labels.""><b>Finding A:</b></span> The result was that all participants rated the four odours more positively when they were presented with positive labels than when presented with negative labels.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: In summary, odor labels affect pleasantness ratings and edibility perception. Although labels appear to also influence intensity ratings and reaction times, this seems to be a more complex relationship that could be modulated by additional factors such as odor valence, label fit, and possibly the edibility attributed to an odor or a label. Odors with different valences impact our mood and wellbeing in different ways.""><b>Finding B:</b></span> Although labels appear to also influence intensity ratings and reaction times, this seems to be a more complex relationship that could be modulated by additional factors such as odor valence, label fit, and possibly the edibility attributed to an odor or a label.']"
10.1038/s41598-018-30980-y	Psychology_tweet_91	Learning a lot about sleep from @username. Naps and sleep are very important for young children to enhance emotional memory. Even more reasons for a daytime siesta. 	Notably, here too with emotional memories, we found a significant association between ΔRecall nap and ΔRecall overnight such that declines in accuracy across the nap were associated with improvements across overnight sleep (B = −0.488, p = 0.029; 95% CI: [−1.294, −0.079]; Fig.	Learning a lot about sleep from @username. Naps and sleep are very important for young children to enhance emotional memory. Even more reasons for a daytime siesta. 	In that study, ΔRecall nap predicted ΔRecall overnight , suggesting an interaction of multiple sleep bouts on memory processing. Notably, here too with emotional memories, we found a significant association between ΔRecall nap and ΔRecall overnight such that declines in accuracy across the nap were associated with improvements across overnight sleep (B = −0.488, p = 0.029; 95% CI: [−1.294, −0.079]; Fig. We did not receive caregiver reports for 9 of the children.	[4.0, 3.0, 5.0, 3.0, 3.0]	Psychology	train	3.6	tweets	1038112531238346753	"['<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Learning a lot about sleep from @username. Naps and sleep are very important for young children to enhance emotional memory. Even more reasons for a daytime siesta. ""><b>Finding A:</b></span> Learning a lot about sleep from @username. Naps and sleep are very important for young children to enhance emotional memory. Even more reasons for a daytime siesta. <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: In that study, ΔRecall nap predicted ΔRecall overnight , suggesting an interaction of multiple sleep bouts on memory processing. Notably, here too with emotional memories, we found a significant association between ΔRecall nap and ΔRecall overnight such that declines in accuracy across the nap were associated with improvements across overnight sleep (B = −0.488, p = 0.029; 95% CI: [−1.294, −0.079]; Fig. We did not receive caregiver reports for 9 of the children.""><b>Finding B:</b></span> Notably, here too with emotional memories, we found a significant association between ΔRecall nap and ΔRecall overnight such that declines in accuracy across the nap were associated with improvements across overnight sleep (B = −0.488, p = 0.029; 95% CI: [−1.294, −0.079]; Fig.']"
