id	text
Psychology_503_r$Psychology_tweet_50_p$Psychology_tweet_59_p$Psychology_80_p	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""We found that surprising because we weren\'t certain participants would self report that. While it\'s true that people are generally averse to harming others, the bottom line is that people don\'t feel this way all the time."" Again, the findings matched earlier experiments -- participants rated the articles associated with disgust and envy with less warmth than the pride or pity scenarios.""><b>Finding A:</b></span> While it\'s true that people are generally averse to harming others, the bottom line is that people don\'t feel this way all the time.""<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Statistical classifiers discriminated emotion-specific activation maps accurately, confirming independence of bodily topographies across emotions. We propose that consciously felt emotions are associated with culturally universal, topographically distinct bodily sensations that may support the categorical experience of different emotions. One-out linear discriminant analysis (LDA) classified each of the basic emotions and the neutral state against all of the other emotions with a mean accuracy of 72% (chance level 50%), whereas complete classification (discriminating all emotions from each other) was accomplished with a mean accuracy of 38% (chance level 14%) ( Fig.""><b>Finding B:</b></span> We propose that consciously felt emotions are associated with culturally universal, topographically distinct bodily sensations that may support the categorical experience of different emotions.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Across most samples and in a meta-analysis, lower neuroticism and higher extraversion, conscientiousness, and openness at baseline were prospectively related to faster gait speed. In the HRS, lower neuroticism and higher extraversion, conscientiousness, and openness were related to slower gait speed decline. This study provides robust evidence that walking speed in adulthood reflects, in part, the individual\'s personality.""><b>Finding C:</b></span> Across most samples and in a meta-analysis, lower neuroticism and higher extraversion, conscientiousness, and openness at baseline were prospectively related to faster gait speed.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Rather, spanking predicted increases in children\'s aggression over and above initial levels. Spanking consistently predicted increases in children\'s aggression over time, regardless of how aggressive children were when the spanking occurred. It is difficult to imagine that a parent would be able to meet all these criteria when administering spanking; indeed, it would likely be both inadvisable and bordering on abusive if parents spanked children following every instance of a given misbehavior.""><b>Finding D:</b></span> Spanking consistently predicted increases in children\'s aggression over time, regardless of how aggressive children were when the spanking occurred."
Psychology_tweet_185_r$Psychology_tweet_184_r$Psychology_191_p$Psychology_tweet_28_p	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: \'Upstream Color\' in a neuro tweet? LIP neurons exhibit integrative representations of both color &amp; motion features ""><b>Finding A:</b></span> \'Upstream Color\' in a neuro tweet? LIP neurons exhibit integrative representations of both color &amp; motion features <br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: When the Going Gets Tough: The ""Why” of Goal Striving Matters. An excellent article by @username + colleagues.\n""><b>Finding B:</b></span> When the Going Gets Tough: The ""Why” of Goal Striving Matters. An excellent article by @username + colleagues.\n<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Second graders\' engagement score of 1.20 was lower than third graders ( p ¼ 0.39), and the fourth graders have a higher score of 2.28 than third graders ( p ¼ 0.19). The findings indicate that students provided with stand-biased desks did not decrease in their academic engagement in the classroom when compared with their seated counterparts. The significance of this finding is twofold.""><b>Finding C:</b></span> The findings indicate that students provided with stand-biased desks did not decrease in their academic engagement in the classroom when compared with their seated counterparts.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Contrary to our expectations, standard DBT was not superior to either comparison condition for any suicide-related outcome, and no significant differences were detected between DBT-S and DBT-I. Thus, all 3 versions of DBT were comparably effective at reducing suicidality among individuals at high risk for suicide. In contrast, findings suggested that DBT interventions that included DBT skills training (standard DBT and DBT-S) were more effective in reducing NSSI acts and improving other mental health problems than a DBT intervention without skills training (DBT-I).""><b>Finding D:</b></span> Thus, all 3 versions of DBT were comparably effective at reducing suicidality among individuals at high risk for suicide."
Psychology_tweet_14_p$Psychology_27_r$Psychology_tweet_179_r$Psychology_28_r	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: There were no differences in familial risk or heritability between male and female patients. CONCLUSIONS AND RELEVANCE Tic disorders, including TS and CTDs, cluster in families primarily because of genetic factors and appear to be among the most heritable neuropsychiatric conditions. Second, families were primarily recruited from specialist clinics, potentially resulting in the inclusion of more severe and impaired cases.""><b>Finding A:</b></span> CONCLUSIONS AND RELEVANCE Tic disorders, including TS and CTDs, cluster in families primarily because of genetic factors and appear to be among the most heritable neuropsychiatric conditions.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: For these teens, being popular was their highest goal, Allen said. According the study, by the time they reached the age of 22, the once-popular teens were perceived as less competent, and were more likely to have problems with drugs and alcohol. The teens\' ""pseudomature behavior,"" as the researchers call it, ""predicted long-term difficulties in close relationships, as well as significant problems with alcohol and substance use, and elevated levels of criminal behavior,"" the study said.""><b>Finding B:</b></span> The teens\' ""pseudomature behavior,"" as the researchers call it, ""predicted long-term difficulties in close relationships, as well as significant problems with alcohol and substance use, and elevated levels of criminal behavior,"" the study said.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Year of the Woman?  @username \n\nA 2016 study from the Journal of Consumer Research showed women are better at compromising, stating compromise is “nearly guaranteed when a woman is involved in decision-making pairs.” ""><b>Finding C:</b></span> Year of the Woman?  @username \n\nA 2016 study from the Journal of Consumer Research showed women are better at compromising, stating compromise is “nearly guaranteed when a woman is involved in decision-making pairs.” <br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In all three cities, the researchers identified new cases of autism in mainstream schools, confirming that there is under-diagnosis of autism in China. ""Contrary to previous studies, we have shown that the prevalence of autism spectrum conditions in China is in line with that found in the West,"" said Dr Sophia Xiang Sun, who conducted this study as part of her PhD at Cambridge University and who is now based in the Star Kay Bridge Research Centre for Children with Autism in Xiamen, China. We have been able to use a standardized screening methodology, allowing us to compare the results with Western countries to show that autism occurs broadly at the same rate, irrespective of culture.""""><b>Finding D:</b></span> ""Contrary to previous studies, we have shown that the prevalence of autism spectrum conditions in China is in line with that found in the West,"" said Dr Sophia Xiang Sun, who conducted this study as part of her PhD at Cambridge University and who is now based in the Star Kay Bridge Research Centre for Children with Autism in Xiamen, China."
Psychology_tweet_83_p$Psychology_tweet_83_r$Psychology_466_p$Psychology_127_r	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The study also identifies cannabis use as a candidate mechanism for explaining how childhood abuse may lead to hypomania in adulthood. This is important in the context of the push in many jurisdictions to legalize or decriminalize cannabis. Consistent with the stage specific model of mental disorders linking intervention to stage of illness, our findings suggest frequent cannabis use is likely to be a suitable target for interventions that may allay the risk of young people developing bipolar disorder.""><b>Finding A:</b></span> Consistent with the stage specific model of mental disorders linking intervention to stage of illness, our findings suggest frequent cannabis use is likely to be a suitable target for interventions that may allay the risk of young people developing bipolar disorder.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: New paper led by @username links #cannabis and features of #bipolardisorder in young adults from @username cohort ""><b>Finding B:</b></span> New paper led by @username links #cannabis and features of #bipolardisorder in young adults from @username cohort <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Pretreatment with CBD significantly reduced anxiety, cognitive impairment and discomfort in their speech performance, and significantly decreased alert in their anticipatory speech. The placebo group presented higher anxiety, cognitive impairment, discomfort, and alert levels when compared with the control group as assessed with the VAMS. The SSPS-N scores evidenced significant increases during the testing of placebo group that was almost abolished in the CBD group.""><b>Finding C:</b></span> The placebo group presented higher anxiety, cognitive impairment, discomfort, and alert levels when compared with the control group as assessed with the VAMS.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Results showed that 162 functional connectivity links in the brain were connected with our ability (or lack of) to get some shut-eye; of these, 39 were also linked to depressive problems a such as low self-esteem, low mood, and a lack of motivation. The crossover here goes some way to proving that sleep and depression are affected by similar parts of our brains a and suggests it is this link that causes us to feel down and more susceptible to mental health problems when we suffer from a lack of sleep. Jianfeng Feng and Edmund Rolls, who headed up the study, stressed the significance of their conclusions to Sleep Review, with Rolls stating that the results are likely to have ""implications for a deeper understanding of depression,"" as the evidence highlights ""a key brain area that might be targeted in the search for treatments.""""><b>Finding D:</b></span> The crossover here goes some way to proving that sleep and depression are affected by similar parts of our brains a and suggests it is this link that causes us to feel down and more susceptible to mental health problems when we suffer from a lack of sleep."
Psychology_tweet_19_r$Psychology_264_r$Psychology_17_p$Psychology_30_p	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Crying first worsens, but then lifts sad mood after a certain time delay.\n\nBackground: ""><b>Finding A:</b></span> Crying first worsens, but then lifts sad mood after a certain time delay.\n\nBackground: <br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Overall, 42 percent of the participants reported having casual sex. The researchers found that students who engaged in casual sex reported higher overall wellbeing. They also reported having less stress and better emotional health.""><b>Finding B:</b></span> The researchers found that students who engaged in casual sex reported higher overall wellbeing.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Risk was particularly high for infantile autism before age five years (HR ¼ 2.06; 95% CI: 1.36-3.13). Circumcised boys in non-Muslim families were also more likely to develop hyperkinetic disorder (HR ¼ 1.81; 95% CI: 1.11-2.96). Associations with asthma were consistently inconspicuous (HR ¼ 0.96; 95% CI: 0.84-1.10).""><b>Finding C:</b></span> Circumcised boys in non-Muslim families were also more likely to develop hyperkinetic disorder (HR ¼ 1.81; 95% CI: 1.11-2.96).<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The HR was higher, though not significantly so, for boys circumcised at age 24 months or older (HR ¼ 1.96; 95% CI: 0.93-4.14), an estimate based on only seven cases of ASD in that group ( Table 2) . The increased risk of ASD in circumcised boys under the age of 5 years was present among boys in both Muslim and non-Muslim families ( Table 2) . Risk in this age group was markedly elevated among boys in non-Muslim families (HR ¼ 4.23; 95% CI: 1.90-9.44), a finding based on six ASD cases in circumcised boys versus 1165 cases in intact boys.""><b>Finding D:</b></span> The increased risk of ASD in circumcised boys under the age of 5 years was present among boys in both Muslim and non-Muslim families ( Table 2) ."
Psychology_105_p$Psychology_599_r$Psychology_112_p$Psychology_tweet_65_r	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: We found significant and specific maturational lag in connections within default mode network (DMN) and in DMN interconnections with two task positive networks (TPNs): frontoparietal network and ventral attention network. In particular, lag was observed within the midline core of the DMN, as well as in DMN connections with right lateralized prefrontal regions (in frontoparietal network) and anterior insula (in ventral attention network). Our finding of maturational lag specifically in connections within and between these networks suggests a developmental etiology for the deficits proposed in these models.""><b>Finding A:</b></span> We found significant and specific maturational lag in connections within default mode network (DMN) and in DMN interconnections with two task positive networks (TPNs): frontoparietal network and ventral attention network.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: While children in both groups made progress, those receiving ESDM showed significantly higher gains in language (20 DQ points versus 10 in the control group) and cognition (14 DQ points, versus 7 in the control group). There was variability in the gains made by children receiving the ESDM, with children who had more spontaneous imitation, functional play and joint attention skills showing the most sizeable cognitive gains. This study indicates that even with the adaptations of delivering the program in a childcare group environment instead of intensive individual home-based treatment, the ESDM has positive effects on development of young children with ASD.""><b>Finding B:</b></span> While children in both groups made progress, those receiving ESDM showed significantly higher gains in language (20 DQ points versus 10 in the control group) and cognition (14 DQ points, versus 7 in the control group).<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: We note that the causal relations between sleep and depression is an important topic that deserves much further investigation. Although previous studies have found changes in patients with depression in some of the regions of interest identified in this study, including the precuneus and angular gyrus, 43 this is to our knowledge the first study to examine the neural mechanisms underlying the associations of depressive problems with sleep quality and to associate sleep quality with functional connectivity in a large sample of participants. A strength of this investigation is that the effects are likely to be very robust, given the large sample of participants with resting-state fMRI and the cross-validation with the UK Biobank data set with a sample of 8718 participants in one of its first uses of resting-state fMRI data.""><b>Finding C:</b></span> Although previous studies have found changes in patients with depression in some of the regions of interest identified in this study, including the precuneus and angular gyrus, 43 this is to our knowledge the first study to examine the neural mechanisms underlying the associations of depressive problems with sleep quality and to associate sleep quality with functional connectivity in a large sample of participants.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: New research: ""pseudomature behaviour predicted difficulties in social functioning ten years later"" via @username mag ""><b>Finding D:</b></span> New research: ""pseudomature behaviour predicted difficulties in social functioning ten years later"" via @username mag "
Psychology_121_r$Psychology_56_r$Psychology_427_r$Psychology_tweet_196_p	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This is not, after all, the first time people have reported that watching the English national team play was enough to precipitate a full-fledged biological stress response. A spike in cortisol in athletesa saliva before competition, they wrote, would support the idea that apsychosocial stressorsa can have as strong a biological effect as actual danger. They found that there was a asignificant anticipatory cortisol response before competition,a although the spikes werenat as strong as those seen before other intense events, like skydiving.""><b>Finding A:</b></span> A spike in cortisol in athletesa saliva before competition, they wrote, would support the idea that apsychosocial stressorsa can have as strong a biological effect as actual danger.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""Consumers who knew they had received a targeted ad reported being more interested in the advertised product, and even changed their self-perceptions to be more in line with what the ad implied about them."" ""Consumers who knew they had received a targeted ad reported being more interested in the advertised product, and even changed their self-perceptions to be more in line with what the ad implied about them,"" she explains. While the effectiveness of behaviorally targeted ads is great news for marketers, these findings bring up some troubling hypotheticals.""><b>Finding B:</b></span> ""Consumers who knew they had received a targeted ad reported being more interested in the advertised product, and even changed their self-perceptions to be more in line with what the ad implied about them,"" she explains.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Half of the volunteers then went to bed. The group that had been asleep were better at remembering the German translations of the Dutch words they had heard in their sleep. The volunteers who had remained awake were unable to remember words they had heard on the playback any better than those they had not.""><b>Finding C:</b></span> The group that had been asleep were better at remembering the German translations of the Dutch words they had heard in their sleep.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: These findings further strengthen the concept that odor perception is influenced by cognitive interpretation. Furthermore, we found an impact of labels on intensity ratings for one of the administered odors that goes against our hypothesis. We found that participants rated geraniol as more intense when it was labeled positively (""fresh flowers"") than when labeled negatively (""cheap perfume"").""><b>Finding D:</b></span> Furthermore, we found an impact of labels on intensity ratings for one of the administered odors that goes against our hypothesis."
Psychology_0_p$Psychology_444_r$Psychology_tweet_67_r$Psychology_10_r	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Results: With a total of 4986 ASD cases, our study showed that regardless of cultural background circumcised boys were more likely than intact boys to develop ASD before age 10 years (HR ¼ 1.46; 95% CI: 1.11-1.93). Risk was particularly high for infantile autism before age five years (HR ¼ 2.06; 95% CI: 1.36-3.13). Circumcised boys in non-Muslim families were also more likely to develop hyperkinetic disorder (HR ¼ 1.81; 95% CI: 1.11-2.96).""><b>Finding A:</b></span> Results: With a total of 4986 ASD cases, our study showed that regardless of cultural background circumcised boys were more likely than intact boys to develop ASD before age 10 years (HR ¼ 1.46; 95% CI: 1.11-1.93).<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Those 18 patients had a much stronger immune response during treatment with interferon-alpha, with a doubling in the levels of immune system messenger molecules called interleukin-10 and interleukin-6, according to the report. Even before treatment started, levels of interleukin-10 were higher among the 18 patients who later developed long-term fatigue, suggesting the immune system may have been primed to overreact, the study authors explained. Yet, there was no difference before treatments between the groups in their levels of fatigue or in psychiatric symptoms, like depression or recent stressful events, the scientists noted.""><b>Finding B:</b></span> Even before treatment started, levels of interleukin-10 were higher among the 18 patients who later developed long-term fatigue, suggesting the immune system may have been primed to overreact, the study authors explained.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Unexpected brain plasticity revealed for the human visual system after cataract removal. ""><b>Finding C:</b></span> Unexpected brain plasticity revealed for the human visual system after cataract removal. <br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The researchers, who followed the boys up to the age of nine, found that almost 5,000 cases of ASD were diagnosed. The study\'s findings showed that, regardless of cultural background, circumcised boys may run a greater risk of developing ASD. The researchers noted they also made an unexpected observation of an increased risk of hyperactivity disorder among circumcised boys in non-Muslim families.""><b>Finding D:</b></span> The study\'s findings showed that, regardless of cultural background, circumcised boys may run a greater risk of developing ASD."
Psychology_423_r$Psychology_169_r$Psychology_244_p$Psychology_tweet_29_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: They found that when the weight of the cutlery confirms expectations (e.g. a plastic spoon is light), yoghurt seemed denser and more expensive. Color contrast is also an important factor: white yoghurt when eaten from a white spoon was rated sweeter, more liked, and more expensive than pink-colored yoghurt.""><b>Finding A:</b></span> a plastic spoon is light), yoghurt seemed denser and more expensive.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The findings suggest that music instruction helps enhance skills that are critical for academic success. The gains were seen during group music classes included in the schools\' curriculum, suggesting in-school training accelerates neurodevelopment. ""While music programs are often the first to be cut when the school budget is tight, these results highlight music\'s place in the high school curriculum,"" says Nina Kraus, senior study author and director of the Auditory Neuroscience Laboratory at Northwestern University.""><b>Finding B:</b></span> The findings suggest that music instruction helps enhance skills that are critical for academic success.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In that study, ΔRecall nap predicted ΔRecall overnight , suggesting an interaction of multiple sleep bouts on memory processing. Notably, here too with emotional memories, we found a significant association between ΔRecall nap and ΔRecall overnight such that declines in accuracy across the nap were associated with improvements across overnight sleep (B = −0.488, p = 0.029; 95% CI: [−1.294, −0.079]; Fig. We did not receive caregiver reports for 9 of the children.""><b>Finding C:</b></span> Notably, here too with emotional memories, we found a significant association between ΔRecall nap and ΔRecall overnight such that declines in accuracy across the nap were associated with improvements across overnight sleep (B = −0.488, p = 0.029; 95% CI: [−1.294, −0.079]; Fig.<br><span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Really fascinating: A 20-yr cohort study of nearly 200,000 women shows that depression is associated with a 2-fold increase in the risk of developing lupus. All the more reasons to pay attention to #MentalHealth!  ""><b>Finding D:</b></span> Really fascinating: A 20-yr cohort study of nearly 200,000 women shows that depression is associated with a 2-fold increase in the risk of developing lupus. All the more reasons to pay attention to #MentalHealth!  "
Psychology_tweet_161_r$Psychology_408_p$Psychology_19_p$Psychology_434_p	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Power of touch ✋️in relieving pain  ""><b>Finding A:</b></span> Power of touch ✋️in relieving pain  <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Prior to adjusting for age, the T2DM cumulative incidence percent and incidence rates were similar in patients with PTSD (252 [7.3%]) and without PTSD (141 [6.4%]; P = .19). After adjusting for age, the cumulative incidence of T2DM was significantly higher in those with PTSD vs those without (patients with PTSD: 6.6%; patients without PTSD: 4.7%; P = .002); the same pattern occurred with respect to incidence rate (patients with PTSD: 15.2 per 1000 person-years; patients without PTSD: 11.4 per 1000 person-years; P = .01). After adjusting for age in model 2, PTSD was associated with a 33% increased likelihood of incident T2DM (hazard ratio [HR], 1.33; 95% CI, 1.08-1.64; P = .01).""><b>Finding B:</b></span> After adjusting for age, the cumulative incidence of T2DM was significantly higher in those with PTSD vs those without (patients with PTSD: 6.6%; patients without PTSD: 4.7%; P = .002); the same pattern occurred with respect to incidence rate (patients with PTSD: 15.2 per 1000 person-years; patients without PTSD: 11.4 per 1000 person-years; P = .01).<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Results: With a total of 4986 ASD cases, our study showed that regardless of cultural background circumcised boys were more likely than intact boys to develop ASD before age 10 years (HR ¼ 1.46; 95% CI: 1.11-1.93). Risk was particularly high for infantile autism before age five years (HR ¼ 2.06; 95% CI: 1.36-3.13). Circumcised boys in non-Muslim families were also more likely to develop hyperkinetic disorder (HR ¼ 1.81; 95% CI: 1.11-2.96).""><b>Finding C:</b></span> Results: With a total of 4986 ASD cases, our study showed that regardless of cultural background circumcised boys were more likely than intact boys to develop ASD before age 10 years (HR ¼ 1.46; 95% CI: 1.11-1.93).<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: found that individuals with ASD were more likely to report television and \'\'by making mistakes\'\' in their list of sexual knowledge sources, and less likely to report social sources. Most concerning is the potential that the combination of age appropriate sexual motivation and interest, limited sexual knowledge and experiences, and additional social deficits, may place adolescents and young adults with ASD at increased risk for sexual violence victimization. Children with autism in the education system were not at an increased risk for sexual abuse compared to peers with other disabilities.""><b>Finding D:</b></span> Most concerning is the potential that the combination of age appropriate sexual motivation and interest, limited sexual knowledge and experiences, and additional social deficits, may place adolescents and young adults with ASD at increased risk for sexual violence victimization."
