id,num_of_labels
Medicine_tweet_136_p,1
Medicine_38_r,1
Medicine_tweet_27_p,2
Medicine_438_r,1
Medicine_tweet_136_r,2
Medicine_67_p,1
Medicine_67_r,1
Medicine_215_r,1
Medicine_438_p,1
Medicine_38_p,1
Medicine_215_p,1
Medicine_tweet_27_r,2
Medicine_tweet_82_p,3
Medicine_346_p,2
Medicine_353_p,2
Medicine_458_r,2
Medicine_346_r,2
Medicine_tweet_82_r,3
Medicine_458_p,2
Medicine_72_r,2
Medicine_353_r,2
Medicine_418_p,2
Medicine_tweet_213_r,3
Medicine_tweet_38_r,3
Medicine_tweet_34_p,3
Medicine_tweet_34_r,3
Medicine_50_p,3
Medicine_tweet_3_r,3
Medicine_tweet_163_p,3
Medicine_tweet_213_p,3
Medicine_tweet_3_p,3
Medicine_50_r,3
Medicine_tweet_163_r,3
Medicine_tweet_38_p,3
Medicine_507_r,3
Medicine_tweet_74_p,3
Medicine_tweet_22_p,3
Medicine_294_r,3
Medicine_tweet_37_r,3
Medicine_507_p,3
Medicine_tweet_22_r,3
Medicine_92_r,3
Medicine_tweet_37_p,3
Medicine_92_p,3
Medicine_tweet_74_r,3
Medicine_294_p,3
Medicine_53_p,3
Medicine_79_r,3
Medicine_53_r,3
Medicine_tweet_28_r,3
Medicine_tweet_97_p,3
Medicine_tweet_28_p,3
Medicine_tweet_32_p,3
Medicine_tweet_32_r,3
Medicine_tweet_97_r,3
Medicine_95_p,3
Medicine_79_p,3
Medicine_95_r,3
Medicine_98_r,3
Medicine_tweet_49_r,3
Medicine_66_p,3
Medicine_tweet_117_p,3
Medicine_66_r,3
Medicine_337_p,3
Medicine_125_r,3
Medicine_98_p,3
Medicine_125_p,3
Medicine_tweet_49_p,3
Medicine_tweet_117_r,3
Medicine_337_r,3
Medicine_11_p,2
Medicine_tweet_145_p,2
Medicine_tweet_6_p,2
Medicine_443_p,2
Medicine_52_p,2
Medicine_52_r,2
Medicine_tweet_17_p,2
Medicine_tweet_17_r,2
Medicine_tweet_145_r,2
Medicine_tweet_6_r,2
Medicine_11_r,2
Medicine_443_r,2
Medicine_12_r,1
Medicine_195_r,1
Medicine_12_p,1
Medicine_537_r,1
Medicine_195_p,1
Medicine_tweet_162_r,1
Medicine_461_r,1
Medicine_537_p,1
Medicine_tweet_162_p,1
Medicine_461_p,1
Medicine_tweet_173_r,1
Medicine_tweet_173_p,1
Medicine_27_p,3
Medicine_7_r,3
Medicine_27_r,3
Medicine_240_p,2
Medicine_tweet_19_p,3
Medicine_tweet_11_r,3
Medicine_7_p,3
Medicine_216_p,3
Medicine_tweet_19_r,3
Medicine_216_r,3
Medicine_tweet_11_p,3
Medicine_tweet_179_r,2
Medicine_263_r,2
Medicine_tweet_81_r,2
Medicine_tweet_81_p,2
Medicine_460_r,3
Medicine_tweet_179_p,2
Medicine_170_r,3
Medicine_460_p,3
Medicine_263_p,2
Medicine_170_p,3
Medicine_tweet_9_p,2
Medicine_tweet_9_r,3
Medicine_400_p,3
Medicine_410_p,3
Medicine_400_r,3
Medicine_282_p,3
Medicine_1_p,3
Medicine_1_r,3
Medicine_217_p,3
Medicine_217_r,3
Medicine_410_r,3
Medicine_282_r,3
Medicine_tweet_63_r,3
Medicine_tweet_63_p,3
Medicine_tweet_58_p,2
Medicine_tweet_138_p,2
Medicine_430_r,2
Medicine_tweet_58_r,2
Medicine_340_p,2
Medicine_430_p,2
Medicine_tweet_43_p,2
Medicine_tweet_43_r,2
Medicine_tweet_183_r,2
Medicine_340_r,2
Medicine_tweet_138_r,2
Medicine_tweet_183_p,2
Medicine_tweet_170_p,2
Medicine_tweet_50_r,3
Medicine_tweet_170_r,2
Medicine_283_p,2
Medicine_tweet_66_r,2
Medicine_283_r,2
Medicine_tweet_53_p,2
Medicine_350_r,2
Medicine_tweet_53_r,3
Medicine_tweet_50_p,3
Medicine_350_p,2
Medicine_tweet_66_p,2
Medicine_72_p,1
Medicine_418_r,1
Medicine_119_r,3
Medicine_434_p,3
Medicine_tweet_137_p,3
Medicine_119_p,3
Medicine_425_r,3
Medicine_429_r,3
Medicine_434_r,3
Medicine_tweet_137_r,3
Medicine_21_r,3
Medicine_425_p,3
Medicine_21_p,3
Medicine_429_p,3
Medicine_tweet_142_p,3
Medicine_tweet_142_r,3
Medicine_56_p,3
Medicine_tweet_68_r,3
Medicine_71_r,3
Medicine_71_p,3
Medicine_tweet_68_p,3
Medicine_402_r,3
Medicine_56_r,3
Medicine_tweet_13_r,3
Medicine_tweet_13_p,3
Medicine_tweet_24_r,3
Medicine_402_p,3
Medicine_349_r,2
Medicine_279_r,2
Medicine_tweet_76_r,2
Medicine_112_p,1
Medicine_112_r,2
Medicine_349_p,2
Medicine_tweet_76_p,2
Medicine_279_p,2
Medicine_tweet_40_p,2
Medicine_tweet_40_r,2
Medicine_tweet_2_r,2
Medicine_161_r,2
Medicine_444_p,2
Medicine_tweet_150_r,2
Medicine_444_r,2
Medicine_tweet_150_p,2
Medicine_tweet_2_p,2
Medicine_161_p,2
Medicine_82_p,2
Medicine_tweet_153_r,2
Medicine_tweet_153_p,2
Medicine_82_r,2
Medicine_405_p,2
Medicine_tweet_69_r,2
Medicine_tweet_120_p,2
Medicine_tweet_65_p,2
Medicine_80_r,3
Medicine_tweet_65_r,2
Medicine_tweet_88_r,2
Medicine_405_r,2
Medicine_tweet_88_p,2
Medicine_tweet_120_r,2
