user	instance_id	displayed_text	how-causal-is-the-finding:::No mention of a relation	how-causal-is-the-finding:::Causation	how-causal-is-the-finding:::Explicitly states: no relation	how-causal-is-the-finding:::Correlation	How satisfied do you feel about your experience participating in our study?:::scale_4	How satisfied do you feel about your experience participating in our study?:::scale_1	How satisfied do you feel about your experience participating in our study?:::scale_3	How satisfied do you feel about your experience participating in our study?:::scale_5	How satisfied do you feel about your experience participating in our study?:::scale_2	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_4	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_1	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_3	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_5	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_2	How confident are you that you performed well in the task?:::scale_4	How confident are you that you performed well in the task?:::scale_1	How confident are you that you performed well in the task?:::scale_3	How confident are you that you performed well in the task?:::scale_5	How confident are you that you performed well in the task?:::scale_2	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes	I carefully went over the examples and the instructions.:::Yes	Please feel free to leave any comments about our study (optional):::text_box	span_annotation:::Causation	span_annotation:::Causation</div>	span_annotation:::Explicit mentions of no relation	span_annotation:::Correlation
613a9eec601cf6d5cb625d16	Medicine_49_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ), which adopt a more macrophage-like cell state compared to undifferentiated THP-1 cells. We also found that DO264 inhibits ABHD12 activity ( Supplementary Fig. 16 ) and alters lyso-PS and PS content in primary human macrophages, which showed elevations in both lyso-PS and 20:4 PS following 4 or 24 h treatment with DO264 (1 µ M), but not (S)-DO271 (1 µ M) ( Fig.""><b>Finding:</b></span> We also found that DO264 inhibits ABHD12 activity ( Supplementary Fig."				2																					[]	[]	[]	[]
613a9eec601cf6d5cb625d16	Medicine_41_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The median age of trial participants was 62 years (range, 53-74), 77 501 (47%) were men, 30 361 (19%) had diabetes, and the median baseline risk of the primary cardiovascular outcome was 9.2% (range, 2.6%-15.9%). Aspirin use was associated with significant reductions in the composite cardiovascular outcome compared with no aspirin (57.1 per 10 000 participant-years with aspirin and 61.4 per 10 000 participant-years with no aspirin) (hazard ratio CONCLUSIONS AND RELEVANCE The use of aspirin in individuals without cardiovascular disease was associated with a lower risk of cardiovascular events and an increased risk of major bleeding. This information may inform discussions with patients about aspirin for primary prevention of cardiovascular events and bleeding.""><b>Finding:</b></span> Aspirin use was associated with significant reductions in the composite cardiovascular outcome compared with no aspirin (57.1 per 10 000 participant-years with aspirin and 61.4 per 10 000 participant-years with no aspirin) (hazard ratio CONCLUSIONS AND RELEVANCE The use of aspirin in individuals without cardiovascular disease was associated with a lower risk of cardiovascular events and an increased risk of major bleeding."				2																					[]	[]	[]	[{'start': 968, 'end': 978, 'span': 'associated', 'annotation': 'Correlation'}]
613a9eec601cf6d5cb625d16	Medicine_94_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: They found that while it was associated with a lower risk of heart attacks and other cardiovascular events, it did lead to an increased risk of major bleeding. The results showed that:

Aspirin use was associated with an 11% lower risk of cardiovascular events. Approximately 250 patients needed to be treated with aspirin for 5 years to prevent a single heart attack, stroke or cardiovascular death.""><b>Finding:</b></span> They found that while it was associated with a lower risk of heart attacks and other cardiovascular events, it did lead to an increased risk of major bleeding."				2																					[]	[]	[]	[{'start': 613, 'end': 623, 'span': 'associated', 'annotation': 'Correlation'}]
613a9eec601cf6d5cb625d16	Experience.html	Experience								5						2			3								[]	[]	[]	[]
613a9eec601cf6d5cb625d16	Medicine_238_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""We may need to put greater effort into increasing access to psychosocial interventions that can treat symptoms and behaviors that are currently being addressed with antipsychotic medications."" Psychotherapy has made progress but is still being utilized by only a small portion of young people being treated with antipsychotics, according to the study. Olfson pointed out that more research is needed to determine the factors that are currently impeding access to psychotherapy for children and teens in need of it.""><b>Finding:</b></span> Psychotherapy has made progress but is still being utilized by only a small portion of young people being treated with antipsychotics, according to the study."	1																								[]	[]	[]	[]
613a9eec601cf6d5cb625d16	Medicine_107_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""The effect of RHDV disease virus on rabbits is enhanced by previous infection with MYXV virus. Survival rates were lowest for rabbits which survived MYXV infection and then were exposed to RHDV disease,"" says Dr Fordham from the University's Environment Institute. ""The findings suggest a continuous benefit from both viruses and maximum impact on rabbit numbers if they act together.""""><b>Finding:</b></span> Survival rates were lowest for rabbits which survived MYXV infection and then were exposed to RHDV disease,"" says Dr Fordham from the University's Environment Institute."	1																								[]	[]	[]	[]
613a9eec601cf6d5cb625d16	Medicine_94_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: 6 This study showed that when analysis was restricted to populations with observation-derived 10-year cardiovascular event rate estimates of 10% or more, aspirin use was associated with an absolute risk decrease of 0.51% (5% CI, 0.06%-0.3%) for the cardiovascular composite outcome, but an absolute risk increase of 0.64% (5% CI, 0.35%-0.7%) for major bleeding. The current study demonstrates that the absolute risk reduction for cardiovascular events and absolute risk increase for major bleeding associated with aspirin use were of similar magnitude. Aspirin use was not associated with a reduction in cardiovascular mortality, and deaths due to bleeding were rare.""><b>Finding:</b></span> The current study demonstrates that the absolute risk reduction for cardiovascular events and absolute risk increase for major bleeding associated with aspirin use were of similar magnitude."		3																							[{'start': 958, 'end': 966, 'span': 'increase', 'annotation': 'Causation'}]	[]	[]	[]
613a9eec601cf6d5cb625d16	test_question_testing_Explicitly states: no relation	<b>Reported Finding:</b> Exposure to traffic noise at the office increases stress levels. This is a test question, please select Explicitly states: no relation. Do not mark any words or phrases.			4																						[]	[]	[]	[]
613a9eec601cf6d5cb625d16	Medicine_465_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: 3 and Supplementary Fig. It is important to note that obtaining a linear release profile for a molecule carrying a charge of sign opposite to that of the channel surfaces is trivial: as a matter of fact, it is a previously unreported achievement. Figure 2b exhibits release curves of anionic cefazolin, (3-aminosalicylic acid in Supplementary Fig.""><b>Finding:</b></span> It is important to note that obtaining a linear release profile for a molecule carrying a charge of sign opposite to that of the channel surfaces is trivial: as a matter of fact, it is a previously unreported achievement."	1																								[]	[]	[]	[]
613a9eec601cf6d5cb625d16	Medicine_465_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In the context of drug delivery, this platform is considered 'drug-agnostic,' which simply means the same membrane technology can be used for a wide spectrum of drugs, and just the size of the channel is what needs to be customized. The results of this study provide new insight into the channel function. Upon putting them to the test, however, they discovered intriguing, unexpected molecular behavior in these channels.""><b>Finding:</b></span> The results of this study provide new insight into the channel function."	1																								[]	[]	[]	[]
613a9eec601cf6d5cb625d16	Medicine_49_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""This is a good example of how the study of a rare genetic disease can reveal a pathway that plays a key role in human biology,"" says study co-senior author Benjamin Cravatt, professor and chair of the Department of Chemical Physiology at Scripps Research. The team found that in adult mice, reducing ABHD12 activity with the inhibitor led to a rise in lyso-PS in immune cells called macrophages, as well as in brain tissue. The rise wasn't as great as that seen in the ABHD12-knockout mice, and even four weeks of treatment with the inhibitor appeared to cause only slight hearing defects -- nothing like the profound defects experienced by PHARC patients.""><b>Finding:</b></span> The team found that in adult mice, reducing ABHD12 activity with the inhibitor led to a rise in lyso-PS in immune cells called macrophages, as well as in brain tissue."		3																							[]	[]	[]	[]
613a9eec601cf6d5cb625d16	Medicine_238_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Among antipsychotic-treated children and adolescents with mental disorder claims, the most common diagnosis was ADHD (younger children, 52.5%; older children, 60.1%; adolescents, 34.9%), while depression was the most common diagnosis among young adults (34.5%), followed by bipolar (26.6%) and anxiety disorders (22.9%). Less than one-fourth of the patients in each of the age groups had an outpatient claim for psychotherapy (younger children, 13.5%; older children, 20.4%; adolescents, 24.8%; young adults, 18.8%) ( Table 4) . In contrast with earlier reports 7-9 of increasing antipsychotic treatment of US children through the early 2000s, the percentage of children treated with antipsychotics was lower in 2010 than in 2006.""><b>Finding:</b></span> Less than one-fourth of the patients in each of the age groups had an outpatient claim for psychotherapy (younger children, 13.5%; older children, 20.4%; adolescents, 24.8%; young adults, 18.8%) ( Table 4) ."	1																								[]	[]	[]	[]
