user	instance_id	displayed_text	changes-key-entity:::no	changes-key-entity:::yes	Level-of-generality:::no	Level-of-generality:::yes	how-certain-is-the-reported-finding:::Certain	how-certain-is-the-reported-finding:::Uncertain	how-certain-is-the-reported-finding:::Can't say	how-certain-is-the-reported-finding:::Somewhat certain	how-certain-is-the-reported-finding:::Somewhat uncertain	how-certain-is-the-paper-finding:::Somewhat uncertain	how-certain-is-the-paper-finding:::Certain	how-certain-is-the-paper-finding:::Uncertain	how-certain-is-the-paper-finding:::Can't say	how-certain-is-the-paper-finding:::Somewhat certain	reporting-is-sensational:::Mostly neutral, slightly sensational	reporting-is-sensational:::Neutral	reporting-is-sensational:::Sensational	paper-is-sensational:::Mostly neutral, slightly sensational	paper-is-sensational:::Neutral	paper-is-sensational:::Sensational	how-causal-is-the-reporting:::Correlation	how-causal-is-the-reporting:::Causation	how-causal-is-the-reporting:::No relation is stated	how-causal-is-the-paper-finding:::Correlation	how-causal-is-the-paper-finding:::Causation	how-causal-is-the-paper-finding:::No relation is stated	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes	How satisfied do you feel about your experience participating in our study?:::Satisfied	How satisfied do you feel about your experience participating in our study?:::Not satisfied	How satisfied do you feel about your experience participating in our study?:::Very satisfied	How do you feel about your experience participating in our study compared with other studies?:::Better than others	How do you feel about your experience participating in our study compared with other studies?:::Much better than others	How do you feel about your experience participating in our study compared with other studies?:::Worse than others	How do you feel about your experience participating in our study compared with other studies?:::Similar	Please feel free to leave any comments about our study (optional):::text_box	span_annotation:::Correlation	span_annotation:::Causation	span_annotation:::Words indicating certainty	span_annotation:::Words indicating uncertainty	span_annotation:::Generalization	span_annotation:::Missing element from the reported finding.	span_annotation:::Sensational language	span_annotation:::Generalization</div>	span_annotation:::Added element in reported finding.
6131e8440a4cc21f5f839e08	Medicine_tweet_150	<b>Reported finding:</b> Diet rich in omega 3 (best source = oily fish) could help preserve pancreatic function for kids with T1 #diabetes <br><b>Paper finding:</b> Our study suggests that long-chain omega-3 fatty acids may provide protection to the b-cell after clinical diagnosis of type 1 diabetes.		1	2			1				2						1			1			3		2														[]	[]	[]	[]	[]	[]	[]	[]	[]
6131e8440a4cc21f5f839e08	Consent.html	Consent																											I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes									[]	[]	[]	[]	[]	[]	[]	[]	[]
6131e8440a4cc21f5f839e08	Medicine_110	<b>Reported finding:</b> The researchers tested their BioBits kits in the Chicago Public School system, and demonstrated that students and teachers were able to perform the experiments in the kits with the same success as trained synthetic biology researchers.<br><b>Paper finding:</b> We anticipate that the availability of our BioBits™ kits and the data reported here will encourage teaching and broaden participation in the field of synthetic biology.		1	2					4			5					1		2			2			2														[]	[]	[]	[]	[]	[]	[]	[]	[]
60b3576258dd0303232cb158	Consent.html	Consent																											I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes									[]	[]	[]	[]	[]	[]	[]	[]	[]
60d4b2c2f8ec648ad7bd7a21	Consent.html	Consent																											I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes									[]	[]	[]	[]	[]	[]	[]	[]	[]
6310cc34a290f2ad41540f08	Medicine_190	<b>Reported finding:</b> The researchers found as long as the levels remained above 0.5 percent, the sponges could survive.<br><b>Paper finding:</b> Therefore, the oxygen requirements of sponges might be relatively low .	2			1				4				1				1			1			3			3													[{'start': 212, 'end': 221, 'span': 'of sponge', 'annotation': 'Correlation'}]	[{'start': 90, 'end': 111, 'span': 'levels remained above', 'annotation': 'Causation'}]	[{'start': 137, 'end': 142, 'span': 'could', 'annotation': 'Words indicating certainty'}]	[{'start': 223, 'end': 231, 'span': 'might be', 'annotation': 'Words indicating uncertainty'}]	[{'start': 232, 'end': 247, 'span': 'relatively low ', 'annotation': 'Generalization'}]	[{'start': 111, 'end': 123, 'span': ' 0.5 percent', 'annotation': 'Missing element from the reported finding.'}]	[]	[]	[{'start': 192, 'end': 211, 'span': 'oxygen requirements', 'annotation': 'Added element in reported finding.'}]
6310cc34a290f2ad41540f08	Medicine_tweet_30	<b>Reported finding:</b> More evidence for weak correlations between acute hormonal responses &amp; resistance training-induced gains in muscle mass <br><b>Paper finding:</b> Acute hormonal responses were correlated with gains in lean body mass (LBM), muscle fibre cross-sectional area (CSA) and leg press strength.	2			1					2					4	2			2			2			2														[{'start': 76, 'end': 87, 'span': 'correlation', 'annotation': 'Correlation'}, {'start': 233, 'end': 243, 'span': 'correlated', 'annotation': 'Correlation'}]	[]	[{'start': 58, 'end': 66, 'span': 'evidence', 'annotation': 'Words indicating certainty'}]	[]	[{'start': 87, 'end': 88, 'span': 's', 'annotation': 'Generalization'}]	[{'start': 273, 'end': 277, 'span': '(LBM', 'annotation': 'Missing element from the reported finding.'}, {'start': 314, 'end': 319, 'span': '(CSA)', 'annotation': 'Missing element from the reported finding.'}, {'start': 324, 'end': 333, 'span': 'leg press', 'annotation': 'Missing element from the reported finding.'}]	[{'start': 156, 'end': 162, 'span': 'gains ', 'annotation': 'Sensational language'}, {'start': 249, 'end': 255, 'span': 'gains ', 'annotation': 'Sensational language'}]	[]	[{'start': 71, 'end': 75, 'span': 'weak', 'annotation': 'Added element in reported finding.'}]
6310cc34a290f2ad41540f08	Experience.html	Experience																															How satisfied do you feel about your experience participating in our study?:::Not satisfied				How do you feel about your experience participating in our study compared with other studies?:::Worse than others		It was not possible to highlight 1 word two times (for different purposes) which was frustrating	[]	[]	[]	[]	[]	[]	[]	[]	[]
6310cc34a290f2ad41540f08	Medicine_tweet_179	"<b>Reported finding:</b> The association of stress disorders with increased risk of autoimmune diseases across 41 conditions @username 
 <br><b>Paper finding:</b> Restricting to participants with more than 5 years of followup, patients with stress-related disorders had a higher cumulative incidence of autoimmune diseases compared with their matched unexposed individuals across the follow-up period (eFigure3intheSupplement)."		1		1				4		2					2				1		2			2														[{'start': 53, 'end': 56, 'span': 'The', 'annotation': 'Correlation'}]	[]	[{'start': 57, 'end': 68, 'span': 'association', 'annotation': 'Words indicating certainty'}, {'start': 301, 'end': 307, 'span': 'higher', 'annotation': 'Words indicating certainty'}]	[]	[{'start': 72, 'end': 88, 'span': 'stress disorders', 'annotation': 'Generalization'}]	[{'start': 235, 'end': 254, 'span': '5 years of followup', 'annotation': 'Missing element from the reported finding.'}, {'start': 256, 'end': 264, 'span': 'patients', 'annotation': 'Missing element from the reported finding.'}, {'start': 308, 'end': 328, 'span': 'cumulative incidence', 'annotation': 'Missing element from the reported finding.'}, {'start': 380, 'end': 401, 'span': 'unexposed individuals', 'annotation': 'Missing element from the reported finding.'}]	[{'start': 104, 'end': 108, 'span': 'risk', 'annotation': 'Sensational language'}]	[]	[{'start': 139, 'end': 152, 'span': '41 conditions', 'annotation': 'Added element in reported finding.'}]
6310cc34a290f2ad41540f08	Consent.html	Consent																											I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes									[]	[]	[]	[]	[]	[]	[]	[]	[]
