user	instance_id	displayed_text	changes-key-entity:::no	changes-key-entity:::yes	Level-of-generality:::no	Level-of-generality:::yes	how-certain-is-the-reported-finding:::Can't say	how-certain-is-the-reported-finding:::Certain	how-certain-is-the-reported-finding:::Somewhat certain	how-certain-is-the-reported-finding:::Somewhat uncertain	how-certain-is-the-paper-finding:::Uncertain	how-certain-is-the-paper-finding:::Somewhat certain	how-certain-is-the-paper-finding:::Certain	how-certain-is-the-paper-finding:::Can't say	how-certain-is-the-paper-finding:::Somewhat uncertain	reporting-is-sensational:::Mostly neutral, slightly sensational	reporting-is-sensational:::Sensational	reporting-is-sensational:::Neutral	paper-is-sensational:::Mostly neutral, slightly sensational	paper-is-sensational:::Neutral	how-causal-is-the-reporting:::Causation	how-causal-is-the-reporting:::No relation is stated	how-causal-is-the-reporting:::Correlation	how-causal-is-the-paper-finding:::Causation	how-causal-is-the-paper-finding:::No relation is stated	how-causal-is-the-paper-finding:::Correlation	How satisfied do you feel about your experience participating in our study?:::Satisfied	How do you feel about your experience participating in our study compared with other studies?:::Better than others	How do you feel about your experience participating in our study compared with other studies?:::Similar	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes
60a91a7fbccaa6f7ea138a1c	Medicine_tweet_43	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Thrilled that our new paper is out @username:  In this work with Dan Schacter and @username, we show that episodic simulations can form real-life attitudes and how this is supported by affective representations in the vmPFC. 1/5 ""><b>Reported Finding:</b></span> Thrilled that our new paper is out @username:  In this work with Dan Schacter and @username, we show that episodic simulations can form real-life attitudes and how this is supported by affective representations in the vmPFC. 1/5 <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Such evaluative conditioning forms attitudes by changing the liking of the CS to align with the valence of the UCS . By this process, episodic simulations modify attitudes toward the very elements that the simulations had been based on, thus influencing how we evaluate our real-life environment. Our hypothesis assigns a key role to the vmPFC in mediating such presumed attitude change.""><b>Paper Finding:</b></span> By this process, episodic simulations modify attitudes toward the very elements that the simulations had been based on, thus influencing how we evaluate our real-life environment."		1	2				4		1						3			1			2		1							
60a91a7fbccaa6f7ea138a1c	Medicine_tweet_37	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: A healthy diet seems to most benefit people with a genetic predisposition to #obesity
 @username #OA ""><b>Reported Finding:</b></span> A healthy diet seems to most benefit people with a genetic predisposition to #obesity
 @username #OA <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: These data indicate that improving adherence to healthy dietary patterns could attenuate the genetic association with weight gain. Moreover, the beneficial effect of improved diet quality on weight management was particularly pronounced in people at high genetic risk for obesity. Weights reported in questionnaires and measured by technicians were highly correlated (r=0.97 in both studies) in a validation subsample.""><b>Paper Finding:</b></span> Moreover, the beneficial effect of improved diet quality on weight management was particularly pronounced in people at high genetic risk for obesity."	2		2					2		4				2				1		1				2						
60a91a7fbccaa6f7ea138a1c	Medicine_434	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: ""It could be the other way around for a minority of individuals, that is, when exposure to alcohol has led to cognitive impairment, but this is less likely to be found among young persons of course."" ""We found that lower results on IQ tests in Swedish adolescent men are associated with a higher consumption of alcohol, measured in both terms of total intake and binge drinking,"" said Sjolund. ""It may be that a higher IQ results in healthier lifestyle choices.""><b>Reported Finding:</b></span> ""We found that lower results on IQ tests in Swedish adolescent men are associated with a higher consumption of alcohol, measured in both terms of total intake and binge drinking,"" said Sjolund.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: It should be noted that the authors report a skewed study population with regard to low socioeconomic position . They found a J-shaped association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ. A higher IQ was associated with being a rare, an occasional, and a moderate drinker, whereas there was a lower IQ for being a former drinker compared with being a lifetime abstainer.""><b>Paper Finding:</b></span> They found a J-shaped association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ."		1		1				2				3		2				1			2		1							
60a91a7fbccaa6f7ea138a1c	Experience.html	Experience																									How satisfied do you feel about your experience participating in our study?:::Satisfied		How do you feel about your experience participating in our study compared with other studies?:::Similar			
60a91a7fbccaa6f7ea138a1c	Consent.html	Consent																												I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes
60a91a7fbccaa6f7ea138a1c	Medicine_tweet_2	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Is Diet Quality Associated With Later Risk for Dementia?
@username 

While usual limitations of observational studies like this apply, this analysis suggests eating a healthier diet assessed at midlife was not associated w/subsequent risk for #dementia.""><b>Reported Finding:</b></span> Is Diet Quality Associated With Later Risk for Dementia?
@username 

While usual limitations of observational studies like this apply, this analysis suggests eating a healthier diet assessed at midlife was not associated w/subsequent risk for #dementia.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Fourth, as with all observational studies, it was not possible to rule out residual confounding. In this long-term prospective cohort study, diet quality assessed during midlife was not significantly associated with subsequent risk for dementia. The validity and reliability of this version of the FFQ in terms of nutrient and food consumption has been documented in detail both in this cohort and in another independent study in the United Kingdom.""><b>Paper Finding:</b></span> In this long-term prospective cohort study, diet quality assessed during midlife was not significantly associated with subsequent risk for dementia."		1	2		3					4					3		2				2		1							
5d9518b5ed0b400016161171	Consent.html	Consent																												I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes
5df7eeb4cc6822000ac81b07	Medicine_tweet_68	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: #Vitamin D supplementation during #pregnancy may reduce the risk for underweight babies and fetal or infant mortality. ""><b>Reported Finding:</b></span> #Vitamin D supplementation during #pregnancy may reduce the risk for underweight babies and fetal or infant mortality. <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: We found that maternal vitamin D supplementation timing, dose, and administration method did not affect cord blood vitamin D concentration. Late vitamin D supplementation (initiation at ≥20 weeks' gestation) improved birth weight, but early supplementation (initiation at <20 weeks' gestation) did not. Most importantly, we found that the lower dose of vitamin D supplementation (≤2000 IU/d) reduced the risk of fetal or neonatal mortality and SGA, but the higher dose (>2000 IU/d) did not.""><b>Paper Finding:</b></span> Late vitamin D supplementation (initiation at ≥20 weeks' gestation) improved birth weight, but early supplementation (initiation at <20 weeks' gestation) did not."		1		1				2			5				3			1		1				2						
5df7eeb4cc6822000ac81b07	Medicine_tweet_179	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: The association of stress disorders with increased risk of autoimmune diseases across 41 conditions @username 
 ""><b>Reported Finding:</b></span> The association of stress disorders with increased risk of autoimmune diseases across 41 conditions @username 
 <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: A score of zero shows no comorbidities; the higher the score, the more likely the predicted outcome will result in mortality or higher medical resource use. Restricting to participants with more than 5 years of followup, patients with stress-related disorders had a higher cumulative incidence of autoimmune diseases compared with their matched unexposed individuals across the follow-up period (eFigure3intheSupplement). Additional adjustment for medical surveillance level yielded somewhat lower point estimates (eTable 6 in the Supplement) while changing the definitions for history of other psychiatric disorders and autoimmune disease, and the extension of the lag-time period yielded similar results (eTables 7 and 8 in the Supplement).""><b>Paper Finding:</b></span> Restricting to participants with more than 5 years of followup, patients with stress-related disorders had a higher cumulative incidence of autoimmune diseases compared with their matched unexposed individuals across the follow-up period (eFigure3intheSupplement)."		1		1		5				4						1	2		3					2						
5df7eeb4cc6822000ac81b07	Experience.html	Experience																									How satisfied do you feel about your experience participating in our study?:::Satisfied	How do you feel about your experience participating in our study compared with other studies?:::Better than others				
