user	instance_id	displayed_text	how-certain-is-the-finding:::Somewhat uncertain	how-certain-is-the-finding:::Uncertain	how-certain-is-the-finding:::Certain	how-certain-is-the-finding:::Somewhat certain	I carefully went over the examples and the instructions.:::Yes	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes	How satisfied do you feel about your experience participating in our study?:::scale_2	How satisfied do you feel about your experience participating in our study?:::scale_4	How satisfied do you feel about your experience participating in our study?:::scale_5	How satisfied do you feel about your experience participating in our study?:::scale_1	How satisfied do you feel about your experience participating in our study?:::scale_3	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_2	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_4	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_5	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_1	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_3	How confident are you that you performed well in the task?:::scale_2	How confident are you that you performed well in the task?:::scale_4	How confident are you that you performed well in the task?:::scale_5	How confident are you that you performed well in the task?:::scale_1	How confident are you that you performed well in the task?:::scale_3	Please feel free to leave any comments about our study (optional):::text_box	span_annotation:::Words indicating uncertainty	span_annotation:::Words indicating certainty
5e5e94a6a57943000de6b8a2	Computer_Science_tweet_139_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: However, animals were less able to learn to proficiently control the cursor using activity patterns that were outside of the intrinsic manifold. These results suggest that the existing structure of a network can shape learning. On a timescale of hours, it seems to be difficult to learn to generate neural activity patterns that are not consistent with the existing network structure.""><b>Finding:</b></span> These results suggest that the existing structure of a network can shape learning."				3																					[{'start': 581, 'end': 588, 'span': 'suggest', 'annotation': 'Words indicating uncertainty'}]	[{'start': 630, 'end': 634, 'span': 'can ', 'annotation': 'Words indicating certainty'}]
5e5e94a6a57943000de6b8a2	test_question_testing_Certain	<b>Reported Finding:</b> New study suggests that sunscreen could prevent skin damage. This is a test question, please select Certain. Do not mark any words or phrases.			4																						[]	[]
5e5e94a6a57943000de6b8a2	Computer_Science_401_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This likely contributes to the similar patterns researchers found when they applied their model to other cities, including San Francisco, Chicago, Vienna, Singapore and the Chinese cities Yangpu, Beijing, Changsha, Hangzhou and Shanghai. ""One might expect the many factors absent from the taxi drive process - variations in street segment lengths and driving speeds, taxi-taxi interactions, human routing decisions, passenger pickup and drop-off times and locations - would play a role in the statistical properties of taxis,"" the authors wrote. ""Yet our results show that, at the macroscopic level ... these complexities are unimportant.""""><b>Finding:</b></span> ""One might expect the many factors absent from the taxi drive process - variations in street segment lengths and driving speeds, taxi-taxi interactions, human routing decisions, passenger pickup and drop-off times and locations - would play a role in the statistical properties of taxis,"" the authors wrote."	2																								[{'start': 957, 'end': 962, 'span': 'might', 'annotation': 'Words indicating uncertainty'}]	[{'start': 1182, 'end': 1187, 'span': 'would', 'annotation': 'Words indicating certainty'}]
5e5e94a6a57943000de6b8a2	Computer_Science_70_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: But unlike rudeness among friends, discourteous behavior in the workplace can have real implications for careers, hiring and even workplace efficiency, with tension among coworkers harming productivity. A timely new study co-authored by Peter W. Cardon of the USC Marshall School of Business and colleagues at Howard University is the first to provide an empirical baseline for how attitudes towards mobile phone use actually break down across gender, age and region. Published today in the journal Business Communication Quarterly, the research offers a critical baseline for how attitudes toward technology may change over time and serves as a guide to navigating social expectations around polite smartphone use.""><b>Finding:</b></span> A timely new study co-authored by Peter W. Cardon of the USC Marshall School of Business and colleagues at Howard University is the first to provide an empirical baseline for how attitudes towards mobile phone use actually break down across gender, age and region."				3																					[{'start': 1025, 'end': 1034, 'span': 'the first', 'annotation': 'Words indicating uncertainty'}]	[{'start': 916, 'end': 1021, 'span': 'co-authored by Peter W. Cardon of the USC Marshall School of Business and colleagues at Howard University', 'annotation': 'Words indicating certainty'}, {'start': 1049, 'end': 1058, 'span': 'empirical', 'annotation': 'Words indicating certainty'}]
5e5e94a6a57943000de6b8a2	Computer_Science_422_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""The remarkable thing is that with each training session, the participants were able to reach the target aim faster, even though we were raising the bar for the target objective in each session, the way you raise the bar each time in a high jump competition,"" the researchers said. ""These results showed that participants were successfully using neurofeedback to alter their pattern of brain activity according to a predefined objective in specific regions of their brain's motor cortex, without moving any body part. This demonstrates that MEG source imaging can provide brain region-specific real time neurofeedback and that longitudinal neurofeedback training is possible with this technique.""""><b>Finding:</b></span> ""These results showed that participants were successfully using neurofeedback to alter their pattern of brain activity according to a predefined objective in specific regions of their brain's motor cortex, without moving any body part."			4																						[]	[{'start': 920, 'end': 926, 'span': 'showed', 'annotation': 'Words indicating certainty'}]
5e5e94a6a57943000de6b8a2	Certainty Examples.html	Certainty Examples					I carefully went over the examples and the instructions.:::Yes																				[]	[]
5e5e94a6a57943000de6b8a2	Computer_Science_401_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This good agreement is surprising. One might expect the many factors absent from the urban explorer process -variations in street segment lengths and driving speeds, taxi-taxi interactions, human routing decisions, heterogeneities in passenger pickup and dropoff times and locations -would play a role in the statistical properties of real taxis. Yet our results show that, at the macroscopic level of segment popularity distributions, these complexities are unimportant.""><b>Finding:</b></span> One might expect the many factors absent from the urban explorer process -variations in street segment lengths and driving speeds, taxi-taxi interactions, human routing decisions, heterogeneities in passenger pickup and dropoff times and locations -would play a role in the statistical properties of real taxis."				3																					[{'start': 903, 'end': 908, 'span': 'would', 'annotation': 'Words indicating uncertainty'}]	[{'start': 658, 'end': 670, 'span': 'might expect', 'annotation': 'Words indicating certainty'}]
5e5e94a6a57943000de6b8a2	Computer_Science_tweet_8_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: @username @username ignoring customer loyalty, this 2013 paper finds that charging a fee for one checked bag correlates with improved on-time departure performance

abstract 
pdf  ""><b>Finding:</b></span> @username @username ignoring customer loyalty, this 2013 paper finds that charging a fee for one checked bag correlates with improved on-time departure performance

abstract 
pdf  "				3																					[{'start': 365, 'end': 384, 'span': '@username @username', 'annotation': 'Words indicating uncertainty'}, {'start': 474, 'end': 484, 'span': 'correlates', 'annotation': 'Words indicating uncertainty'}]	[{'start': 428, 'end': 433, 'span': 'finds', 'annotation': 'Words indicating certainty'}, {'start': 490, 'end': 498, 'span': 'improved', 'annotation': 'Words indicating certainty'}]
5e5e94a6a57943000de6b8a2	Computer_Science_tweet_19_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: We prove that constant-depth quantum circuits are more powerful than their classical counterparts. We prove that any classical probabilistic circuit composed of bounded fan-in gates that solves the 2D Hidden Linear Function problem with high probability must have depth logarithmic in n. In contrast, we show that this problem can be solved with certainty by a constant-depth quantum circuit composed of one-and two-qubit gates acting locally on a two-dimensional grid. Many problems of practical importance such as Monte Carlo simulation, computing the rank, the determinant, and the inverse of a matrix lend themselves naturally to parallelization .""><b>Finding:</b></span> We prove that constant-depth quantum circuits are more powerful than their classical counterparts."				3																					[{'start': 834, 'end': 836, 'span': 'We', 'annotation': 'Words indicating uncertainty'}]	[{'start': 837, 'end': 842, 'span': 'prove', 'annotation': 'Words indicating certainty'}]
5e5e94a6a57943000de6b8a2	test_question_testing_Somewhat uncertain	<b>Reported Finding:</b> New study suggests that sunscreen could prevent skin damage. This is a test question, please select Somewhat uncertain. Do not mark any words or phrases.				3																					[]	[]
