DOI	id	News Finding	Paper Finding	News Context	Paper Context	scores	field	split	final_score	source	News URL	text
10.1126/sciadv.aat5107	Medicine_110	The researchers tested their BioBits kits in the Chicago Public School system, and demonstrated that students and teachers were able to perform the experiments in the kits with the same success as trained synthetic biology researchers.	We anticipate that the availability of our BioBits™ kits and the data reported here will encourage teaching and broaden participation in the field of synthetic biology.	"When fruit DNA is added to the sensor-containing FD-CF pellets, only the sensors that are designed to open in the presence of each fruit's RNA will produce the fluorescent protein. The researchers tested their BioBits kits in the Chicago Public School system, and demonstrated that students and teachers were able to perform the experiments in the kits with the same success as trained synthetic biology researchers. ""We show that it is possible to use freeze-dried, cell-free extracts along with freeze-dried synthetic biology components to conduct innovative educational experiments in classrooms and other low-resource settings."	Titrating the amount of DNA template results in varying levels of fluorescent protein production, which are visible to the naked eye and under a blue or black light. We anticipate that the availability of our BioBits™ kits and the data reported here will encourage teaching and broaden participation in the field of synthetic biology. We observed that all proteins expressed with high soluble yields (between 160 and >1100 g ml −1 ) ( Fig.	[4.0, 5.0, 4.0]	Medicine	train	4.333333333333333	news	http://ct.moreover.com/?a=34696777548&p=1pl&v=1&x=pxhPjHWCPi8TfA-LxM_Vbw	<b>Reported finding:</b> The researchers tested their BioBits kits in the Chicago Public School system, and demonstrated that students and teachers were able to perform the experiments in the kits with the same success as trained synthetic biology researchers.<br><b>Paper finding:</b> We anticipate that the availability of our BioBits™ kits and the data reported here will encourage teaching and broaden participation in the field of synthetic biology.
10.2337/dc12-2084	Medicine_tweet_150	Diet rich in omega 3 (best source = oily fish) could help preserve pancreatic function for kids with T1 #diabetes 	Our study suggests that long-chain omega-3 fatty acids may provide protection to the b-cell after clinical diagnosis of type 1 diabetes.	Diet rich in omega 3 (best source = oily fish) could help preserve pancreatic function for kids with T1 #diabetes 	However, significantly reduced risk of development of islet autoimmunity was associated with increased intake of omega-3 fatty acids among youth genetically susceptible to development of type 1 diabetes (36), although continued follow-up did not reveal subsequent protection against incident type 1 diabetes (37). Our study suggests that long-chain omega-3 fatty acids may provide protection to the b-cell after clinical diagnosis of type 1 diabetes. Our results support further study of the potential role of branched-chain amino acids to enhance sustained insulin production in type 1 diabetes.	[4.0, 4.0, 5.0, 5.0, 4.0]	Medicine	train	4.4	tweets	370255745251815424	<b>Reported finding:</b> Diet rich in omega 3 (best source = oily fish) could help preserve pancreatic function for kids with T1 #diabetes <br><b>Paper finding:</b> Our study suggests that long-chain omega-3 fatty acids may provide protection to the b-cell after clinical diagnosis of type 1 diabetes.
10.1038/s41598-018-29793-w	Medicine_52	Each nasal microbiota type had a characteristic inflammatory response and viral load profile.	The results indicate that nasal microbiota has a role in the presentation of viral upper respiratory illness symptoms.	The study team found that the baseline nasal microbiota samples divided into six types named after predominant bacterial genera: (1) Staphylococcus, (2) Corynebacterium/Alloiococcus, (3) Moraxella, (4) Haemophilus, (5) Pseudomonadaceae/Mixed, and (6) Mixed. Each nasal microbiota type had a characteristic inflammatory response and viral load profile. In general, subjects having Staphyloccocus, and Corynebacterium/Alloiococcus types had lower inflammatory responses and Pseudomonadaceae/Mixed type had lower viral load than other types.	The individual symptoms sneezing, plugged nose, and cough followed a similar pattern. The results indicate that nasal microbiota has a role in the presentation of viral upper respiratory illness symptoms. It has been shown that the severity of illness is modestly correlated with the innate inflammatory CXCL8 and CXCL10 response to the virus 33 , however the nasal lavage concentrations of these cytokines were similar between the clusters.	[5.0, 4.0, 3.0, 2.0, 4.0]	Medicine	train	3.6	news	http://ct.moreover.com/?a=37212363335&p=1pl&v=1&x=sLcdfRtU-o1Jl6n2DiKDzQ	<b>Reported finding:</b> Each nasal microbiota type had a characteristic inflammatory response and viral load profile.<br><b>Paper finding:</b> The results indicate that nasal microbiota has a role in the presentation of viral upper respiratory illness symptoms.
10.1111/1365-2656.12871	Medicine_107	"Survival rates were lowest for rabbits which survived MYXV infection and then were exposed to RHDV disease,"" says Dr Fordham from the University's Environment Institute."	Crucially, we found relatively higher survival rates of individuals susceptible to both viruses compared to those susceptible to RHDV and immune to MYXV throughout the year (Figure 2 ), indicating that rabbits immune to MYXV have a lower survival rate than susceptible individuals.	"""The effect of RHDV disease virus on rabbits is enhanced by previous infection with MYXV virus. Survival rates were lowest for rabbits which survived MYXV infection and then were exposed to RHDV disease,"" says Dr Fordham from the University's Environment Institute. ""The findings suggest a continuous benefit from both viruses and maximum impact on rabbit numbers if they act together."""	Individuals susceptible to both RHDV and MYXV had significantly higher survival rates than immune rabbits in all seasons (all odd ratio 1.13-1.67 with CIs between 1.02 and 1.99; Figure 2 and Supporting Information Figure   S3 ). Crucially, we found relatively higher survival rates of individuals susceptible to both viruses compared to those susceptible to RHDV and immune to MYXV throughout the year (Figure 2 ), indicating that rabbits immune to MYXV have a lower survival rate than susceptible individuals. Young rabbits, including those with maternal antibodies to either virus, had significantly lower survival rates than immune rabbits in spring (Figure 2 and Supporting Information Figure S4 ), indicating that waning protection by antibodies result in infection and potentially, mortality, later in the same year.	[4.0, 3.0, 3.0, 4.0, 5.0]	Medicine	train	3.8	news	http://ct.moreover.com/?a=34506942217&p=1pl&v=1&x=OCP5j07SbNKK_Tx7JPH1Dw	"<b>Reported finding:</b> Survival rates were lowest for rabbits which survived MYXV infection and then were exposed to RHDV disease,"" says Dr Fordham from the University's Environment Institute.<br><b>Paper finding:</b> Crucially, we found relatively higher survival rates of individuals susceptible to both viruses compared to those susceptible to RHDV and immune to MYXV throughout the year (Figure 2 ), indicating that rabbits immune to MYXV have a lower survival rate than susceptible individuals."
10.1073/pnas.1400547111	Medicine_190	The researchers found as long as the levels remained above 0.5 percent, the sponges could survive.	Therefore, the oxygen requirements of sponges might be relatively low .	"When oxygen levels dropped to zero, some died. The researchers found as long as the levels remained above 0.5 percent, the sponges could survive. ""There must have been other ecological and evolutionary mechanisms at play."	Because these cells are always in direct contact with seawater, they do not rely on the diffusion of oxygen from the external environment into the interior of the animal, nor do they require oxygen delivery via a true circulatory system. Therefore, the oxygen requirements of sponges might be relatively low . Sponges were also observed on the Volcano 7 seamount in the eastern tropical Pacific, where oxygen concentrations ranged from 4.5 to 7.2 μM O 2 .	[4.0, 4.0, 5.0]	Medicine	val	4.333333333333333	news	http://www.ibtimes.com/oxygen-needed-complex-life-sea-sponges-show-first-animals-did-just-fine-low-levels-1556394	<b>Reported finding:</b> The researchers found as long as the levels remained above 0.5 percent, the sponges could survive.<br><b>Paper finding:</b> Therefore, the oxygen requirements of sponges might be relatively low .
10.1001/jama.2018.7028	Medicine_tweet_179	"The association of stress disorders with increased risk of autoimmune diseases across 41 conditions @username 
 "	Restricting to participants with more than 5 years of followup, patients with stress-related disorders had a higher cumulative incidence of autoimmune diseases compared with their matched unexposed individuals across the follow-up period (eFigure3intheSupplement).	"The association of stress disorders with increased risk of autoimmune diseases across 41 conditions @username 
 "	A score of zero shows no comorbidities; the higher the score, the more likely the predicted outcome will result in mortality or higher medical resource use. Restricting to participants with more than 5 years of followup, patients with stress-related disorders had a higher cumulative incidence of autoimmune diseases compared with their matched unexposed individuals across the follow-up period (eFigure3intheSupplement). Additional adjustment for medical surveillance level yielded somewhat lower point estimates (eTable 6 in the Supplement) while changing the definitions for history of other psychiatric disorders and autoimmune disease, and the extension of the lag-time period yielded similar results (eTables 7 and 8 in the Supplement).	[4.0, 4.0, 3.0, 5.0]	Medicine	train	4.0	tweets	1009096906830594048	"<b>Reported finding:</b> The association of stress disorders with increased risk of autoimmune diseases across 41 conditions @username 
 <br><b>Paper finding:</b> Restricting to participants with more than 5 years of followup, patients with stress-related disorders had a higher cumulative incidence of autoimmune diseases compared with their matched unexposed individuals across the follow-up period (eFigure3intheSupplement)."
10.1073/pnas.1504869112	Medicine_tweet_49	Lianas reduce tropical forests' #carbon accumulation and storage   #TheTarzanEffect	This study is the first direct demonstration of liana effects at the ecosystem scale and illustrates the important role of lianas in tropical forests, particularly with respect to carbon budgets.	Lianas reduce tropical forests' #carbon accumulation and storage   #TheTarzanEffect	By impacting on tree growth and survival, lianas impact the carbon balance of these forests. This study is the first direct demonstration of liana effects at the ecosystem scale and illustrates the important role of lianas in tropical forests, particularly with respect to carbon budgets. Lianas are increasing in biomass and productivity throughout the tropics, and thus our findings have even greater relevance in terms of the fate of the tropical carbon balance, as well as for global atmospheric CO 2 levels, in a changing climate.	[4.0, 5.0, 2.0, 4.0, 4.0]	Medicine	train	3.8	tweets	658602471737069568	<b>Reported finding:</b> Lianas reduce tropical forests' #carbon accumulation and storage   #TheTarzanEffect<br><b>Paper finding:</b> This study is the first direct demonstration of liana effects at the ecosystem scale and illustrates the important role of lianas in tropical forests, particularly with respect to carbon budgets.
10.1007/s00421-011-2246-z	Medicine_tweet_30	More evidence for weak correlations between acute hormonal responses &amp; resistance training-induced gains in muscle mass 	Acute hormonal responses were correlated with gains in lean body mass (LBM), muscle fibre cross-sectional area (CSA) and leg press strength.	More evidence for weak correlations between acute hormonal responses &amp; resistance training-induced gains in muscle mass 	Acute hormonal responses were correlated with gains in lean body mass (LBM), muscle fibre cross-sectional area (CSA) and leg press strength. There were no significant correlations between the exercise-induced elevations (area under the curve-AUC) of GH, fT and IGF-1 and gains in LBM or leg press strength. Significant correlations were found for cortisol, usually assumed to be a hormone indicative of catabolic drive, AUC with change in LBM (r = 0.29, P \ 0.05) and type II fibre CSA (r = 0.35, P \ 0.01) as well as GH AUC and gain in fibre area (type I: r = 0.36, P = 0.006; type II: r = 0.28, P = 0.04, but not lean mass).	[4.0, 5.0, 2.0, 1.0, 5.0]	Medicine	val	5.0	tweets	240713912331411456	<b>Reported finding:</b> More evidence for weak correlations between acute hormonal responses &amp; resistance training-induced gains in muscle mass <br><b>Paper finding:</b> Acute hormonal responses were correlated with gains in lean body mass (LBM), muscle fibre cross-sectional area (CSA) and leg press strength.
10.1542/peds.2017-1330	Medicine_tweet_170	Abstract: Teens who regularly use synthetic cannabinoids more likely 2 report polydrug use than marijuana-only users 	Marijuana users who use other drugs in particular are at highest risk for currently using SCs, so particular focus needs to be paid to these individuals at high risk.	Abstract: Teens who regularly use synthetic cannabinoids more likely 2 report polydrug use than marijuana-only users 	Although previous studies have revealed that marijuana users are at high risk for use, this study revealed risk factors among current marijuana users that increase risk of current use and higher-frequency use of SCs. Prevention needs to be focused primarily on marijuana users, especially marijuana users with risk factors discovered in this analysis. Marijuana users who use other drugs in particular are at highest risk for currently using SCs, so particular focus needs to be paid to these individuals at high risk.	[4.0, 4.0, 4.0]	Medicine	train	4.0	tweets	907598453706035201	<b>Reported finding:</b> Abstract: Teens who regularly use synthetic cannabinoids more likely 2 report polydrug use than marijuana-only users <br><b>Paper finding:</b> Marijuana users who use other drugs in particular are at highest risk for currently using SCs, so particular focus needs to be paid to these individuals at high risk.
10.1001/jamaneurol.2017.4618	Medicine_tweet_10	Acute lesions on diffusion #MRI of the brain could predict delayed neurological sequelae following acute CO poisoning. 	Multivariable logistic regression analysis indicated that the presence of acute brain lesions was independently associated with development of delayed neurological sequelae (adjusted odds ratio, 13.93; 95% CI, 7.16-27.11; P < .001).	Acute lesions on diffusion #MRI of the brain could predict delayed neurological sequelae following acute CO poisoning. 	Multivariable logistic regression analysis indicated that the presence of acute brain lesions was independently associated with development of delayed neurological sequelae (adjusted odds ratio, 13.93; 95% CI, 7.16-27.11; P < .001). The sensitivity and specificity of acute brain lesions to assess the probability of delayed neurological sequelae were 75.2% (95% CI, 66.8%-83.7%) and 90.2% (95% CI, 86.8%-93.7%), respectively. In addition, the positive and negative predictive values were 73.1% (95% CI, 64.6%-81.6%) and 91.2% (95% CI, 87.9%-94.5%), respectively.	[2.0, 4.0, 3.0, 5.0, 4.0]	Medicine	train	3.6	tweets	958021925342760960	<b>Reported finding:</b> Acute lesions on diffusion #MRI of the brain could predict delayed neurological sequelae following acute CO poisoning. <br><b>Paper finding:</b> Multivariable logistic regression analysis indicated that the presence of acute brain lesions was independently associated with development of delayed neurological sequelae (adjusted odds ratio, 13.93; 95% CI, 7.16-27.11; P < .001).
