user	instance_id	displayed_text	how-certain-is-the-finding:::Somewhat uncertain	how-certain-is-the-finding:::Certain	how-certain-is-the-finding:::Uncertain	how-certain-is-the-finding:::Somewhat certain	How satisfied do you feel about your experience participating in our study?:::scale_4	How satisfied do you feel about your experience participating in our study?:::scale_2	How satisfied do you feel about your experience participating in our study?:::scale_3	How satisfied do you feel about your experience participating in our study?:::scale_5	How satisfied do you feel about your experience participating in our study?:::scale_1	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_4	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_2	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_3	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_5	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_1	How confident are you that you performed well in the task?:::scale_4	How confident are you that you performed well in the task?:::scale_2	How confident are you that you performed well in the task?:::scale_3	How confident are you that you performed well in the task?:::scale_5	How confident are you that you performed well in the task?:::scale_1	Please feel free to leave any comments about our study (optional):::text_box	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes	I carefully went over the examples and the instructions.:::Yes	"span_annotation:::<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Palabras que indican incertidumbre</font></font>"	span_annotation:::Words indicating certainty	span_annotation:::Words indicating uncertainty
60dd619e24eb76732ae7934b	Medicine_tweet_183_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: There was a rise in antipsychotic use during childhood that extended into adolescence for females, followed by a plateau and a decline during the transition to early adulthood. This age profile refines earlier reports of steadily increasing rates of antipsychotic use across multiyear developmental categories of childhood to adolescence 28 to early adulthood. 29 A peak in antipsychotic use among males aged 11 to 17 years fits with treatment of conduct problems that commonly occur during adolescence.""><b>Finding:</b></span> This age profile refines earlier reports of steadily increasing rates of antipsychotic use across multiyear developmental categories of childhood to adolescence 28 to early adulthood."		4																							[]	[]	[]
60dd619e24eb76732ae7934b	Experience.html	Experience								5					5						1	Interesting study					[]	[]	[]
60dd619e24eb76732ae7934b	test_question_testing_Somewhat uncertain	<b>Reported Finding:</b> New study suggests that sunscreen could prevent skin damage. This is a test question, please select Somewhat uncertain. Do not mark any words or phrases.	2																								[]	[]	[]
60dd619e24eb76732ae7934b	Consent.html	Consent																					I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes		[]	[]	[]
60dd619e24eb76732ae7934b	Medicine_tweet_43_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Such evaluative conditioning forms attitudes by changing the liking of the CS to align with the valence of the UCS . By this process, episodic simulations modify attitudes toward the very elements that the simulations had been based on, thus influencing how we evaluate our real-life environment. Our hypothesis assigns a key role to the vmPFC in mediating such presumed attitude change.""><b>Finding:</b></span> By this process, episodic simulations modify attitudes toward the very elements that the simulations had been based on, thus influencing how we evaluate our real-life environment."		4																							[]	[]	[]
60dd619e24eb76732ae7934b	Medicine_tweet_183_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Use of #antipsychotic meds increased among teens &amp; young adults from 2006-2010 but not among kids 12 or younger. ""><b>Finding:</b></span> Use of #antipsychotic meds increased among teens &amp; young adults from 2006-2010 but not among kids 12 or younger. "		4																							[]	[]	[]
60dd619e24eb76732ae7934b	Medicine_tweet_58_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Our findings are consistent with similarly published data. We found that, similarly to the cerebral volume, the bilateral frontal and left temporal lobe volumes increased with age in all children. Interestingly, the right frontal and right temporal lobe volumes differed significantly between patients and controls, and this persisted over time, with controls having higher volumes than patients.""><b>Finding:</b></span> We found that, similarly to the cerebral volume, the bilateral frontal and left temporal lobe volumes increased with age in all children."		4																							[]	[]	[]
60dd619e24eb76732ae7934b	Medicine_tweet_58_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: A prospective study of cerebral, frontal &amp; temporal lobe volumes &amp; neuropsychol performance in children w cranial RT ""><b>Finding:</b></span> A prospective study of cerebral, frontal &amp; temporal lobe volumes &amp; neuropsychol performance in children w cranial RT "				3																					[]	[]	[]
60dd619e24eb76732ae7934b	Medicine_430_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Despite the fact that the recommended amount of sleep for adolescents is nine hours, students from lower-income families and ethnic minorities did not report having more than seven hours of sleep a night. While the reasons for the difference in sleep times is unclear, it could be due to housing quality, obesity, and conditions that disrupt sleep, as well as worrying about money, of course. Interestingly, the study also found that students from middle and higher-income families who had parents that received a high school education regularly had more than seven hours of sleep per night.""><b>Finding:</b></span> While the reasons for the difference in sleep times is unclear, it could be due to housing quality, obesity, and conditions that disrupt sleep, as well as worrying about money, of course."			1																						[]	[]	[]
60dd619e24eb76732ae7934b	Certainty Examples.html	Certainty Examples																								I carefully went over the examples and the instructions.:::Yes	[]	[]	[]
