id,num_of_labels
Medicine_tweet_49_r,3
Medicine_98_p,3
Medicine_66_r,3
Medicine_98_r,3
Medicine_337_p,3
Medicine_337_r,3
Medicine_tweet_49_p,3
Medicine_66_p,3
Medicine_125_r,3
Medicine_125_p,3
Medicine_tweet_117_r,3
Medicine_tweet_117_p,3
Medicine_409_r,6
Medicine_110_r,6
Medicine_tweet_79_r,6
Medicine_456_r,5
Medicine_tweet_30_r,6
Medicine_456_p,6
Medicine_tweet_30_p,6
Medicine_tweet_79_p,6
Medicine_tweet_29_p,6
Medicine_409_p,6
Medicine_tweet_29_r,6
Medicine_110_p,6
Medicine_tweet_183_p,6
Medicine_tweet_43_p,6
Medicine_tweet_183_r,6
Medicine_tweet_58_p,6
Medicine_tweet_58_r,6
Medicine_430_r,6
Medicine_tweet_43_r,6
Medicine_340_r,6
Medicine_430_p,6
Medicine_340_p,6
Medicine_tweet_138_p,6
Medicine_tweet_138_r,6
Medicine_tweet_63_p,3
Medicine_400_p,3
Medicine_1_p,3
Medicine_217_p,3
Medicine_tweet_63_r,3
Medicine_282_p,3
Medicine_410_r,3
Medicine_410_p,3
Medicine_217_r,3
Medicine_282_r,3
Medicine_400_r,3
Medicine_1_r,3
Medicine_tweet_20_r,3
Medicine_tweet_18_r,3
Medicine_tweet_85_r,3
Medicine_tweet_85_p,3
Medicine_15_p,3
Medicine_tweet_0_p,3
Medicine_tweet_0_r,3
Medicine_tweet_20_p,3
Medicine_15_r,3
Medicine_tweet_60_r,3
Medicine_tweet_18_p,3
Medicine_tweet_60_p,3
Medicine_tweet_101_p,2
Medicine_tweet_92_r,2
Medicine_tweet_176_p,3
Medicine_tweet_10_p,2
Medicine_tweet_176_r,2
Medicine_tweet_101_r,2
Medicine_23_r,2
Medicine_tweet_10_r,2
Medicine_46_p,2
Medicine_23_p,2
Medicine_tweet_92_p,2
Medicine_46_r,2
Medicine_tweet_82_p,3
Medicine_346_r,3
Medicine_418_p,3
Medicine_458_p,3
Medicine_tweet_82_r,3
Medicine_72_p,3
Medicine_353_r,3
Medicine_72_r,3
Medicine_418_r,3
Medicine_353_p,3
Medicine_346_p,3
Medicine_458_r,3
Medicine_41_p,3
Medicine_465_r,3
Medicine_49_p,3
Medicine_465_p,3
Medicine_107_p,3
Medicine_49_r,3
Medicine_94_p,3
Medicine_238_r,3
Medicine_41_r,3
Medicine_107_r,3
Medicine_238_p,3
Medicine_94_r,3
Medicine_tweet_145_r,3
Medicine_11_r,3
Medicine_35_p,3
Medicine_tweet_105_p,3
Medicine_tweet_6_r,3
Medicine_35_r,3
Medicine_11_p,3
Medicine_tweet_105_r,3
Medicine_tweet_42_r,3
Medicine_tweet_6_p,3
Medicine_tweet_145_p,3
Medicine_tweet_42_p,3
Medicine_100_p,3
Medicine_tweet_130_r,3
Medicine_tweet_35_r,3
Medicine_tweet_35_p,3
Medicine_tweet_130_p,3
Medicine_100_r,3
Medicine_tweet_38_p,3
Medicine_tweet_34_r,3
Medicine_tweet_3_p,3
Medicine_tweet_34_p,3
Medicine_tweet_163_p,3
Medicine_50_r,3
Medicine_tweet_38_r,3
Medicine_tweet_3_r,3
Medicine_tweet_213_p,3
Medicine_tweet_163_r,3
Medicine_50_p,3
Medicine_tweet_213_r,3
Medicine_70_p,3
Medicine_tweet_75_p,3
Medicine_70_r,3
Medicine_239_r,3
Medicine_tweet_75_r,3
Medicine_16_r,3
Medicine_tweet_64_r,3
Medicine_174_r,3
Medicine_16_p,3
Medicine_174_p,3
Medicine_239_p,3
Medicine_tweet_64_p,3
Medicine_tweet_111_p,3
Medicine_30_p,3
Medicine_422_r,3
Medicine_420_r,3
Medicine_tweet_142_p,3
Medicine_30_r,3
Medicine_tweet_5_r,3
Medicine_420_p,3
Medicine_tweet_142_r,3
Medicine_tweet_5_p,3
Medicine_422_p,3
Medicine_tweet_111_r,3
Medicine_26_r,3
Medicine_140_p,3
Medicine_tweet_59_p,3
Medicine_128_r,3
Medicine_19_r,3
Medicine_tweet_59_r,3
Medicine_19_p,3
Medicine_140_r,3
Medicine_403_r,3
Medicine_26_p,3
Medicine_403_p,3
Medicine_190_p,3
Medicine_tweet_52_p,3
Medicine_13_p,3
Medicine_tweet_110_r,3
Medicine_tweet_206_p,3
Medicine_396_r,3
Medicine_396_p,3
Medicine_tweet_52_r,3
Medicine_tweet_206_r,3
Medicine_tweet_110_p,3
Medicine_190_r,3
Medicine_13_r,3
Medicine_42_r,3
Medicine_42_p,3
Medicine_tweet_15_p,3
Medicine_tweet_14_r,3
Medicine_417_p,3
Medicine_87_r,3
Medicine_417_r,3
Medicine_87_p,3
Medicine_tweet_15_r,3
Medicine_tweet_14_p,3
Medicine_tweet_108_r,3
Medicine_tweet_108_p,3
Medicine_tweet_164_p,3
Medicine_tweet_73_p,3
Medicine_29_p,3
Medicine_43_p,3
Medicine_tweet_164_r,3
Medicine_tweet_143_p,3
Medicine_43_r,3
Medicine_tweet_73_r,3
Medicine_tweet_143_r,3
Medicine_29_r,3
Medicine_44_r,3
Medicine_44_p,3
Medicine_8_r,2
Medicine_34_r,2
Medicine_8_p,2
Medicine_117_r,2
Medicine_432_p,2
