user	instance_id	displayed_text	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes	Level-of-generality:::Finding B	Level-of-generality:::They are at the same level of generality	Level-of-generality:::Finding A	I carefully went over the examples and the instructions.:::Yes	How satisfied do you feel about your experience participating in our study?:::scale_2	How satisfied do you feel about your experience participating in our study?:::scale_5	How satisfied do you feel about your experience participating in our study?:::scale_4	How satisfied do you feel about your experience participating in our study?:::scale_3	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_5	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_3	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_4	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_2	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_1	How confident are you that you performed well in the task?:::scale_5	How confident are you that you performed well in the task?:::scale_3	How confident are you that you performed well in the task?:::scale_4	How confident are you that you performed well in the task?:::scale_2	How confident are you that you performed well in the task?:::scale_1	Please feel free to leave any comments about our study (optional):::text_box
60c4e0103b1fe901a8bc4839	Consent.html	Consent	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes																			
60c4e0103b1fe901a8bc4839	Medicine_465	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: In the context of drug delivery, this platform is considered 'drug-agnostic,' which simply means the same membrane technology can be used for a wide spectrum of drugs, and just the size of the channel is what needs to be customized. The results of this study provide new insight into the channel function. Upon putting them to the test, however, they discovered intriguing, unexpected molecular behavior in these channels.""><b>Finding A:</b></span> The results of this study provide new insight into the channel function.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: 3 and Supplementary Fig. It is important to note that obtaining a linear release profile for a molecule carrying a charge of sign opposite to that of the channel surfaces is trivial: as a matter of fact, it is a previously unreported achievement. Figure 2b exhibits release curves of anionic cefazolin, (3-aminosalicylic acid in Supplementary Fig.""><b>Finding B:</b></span> It is important to note that obtaining a linear release profile for a molecule carrying a charge of sign opposite to that of the channel surfaces is trivial: as a matter of fact, it is a previously unreported achievement."						1																
60c4e0103b1fe901a8bc4839	Medicine_238	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: ""We may need to put greater effort into increasing access to psychosocial interventions that can treat symptoms and behaviors that are currently being addressed with antipsychotic medications."" Psychotherapy has made progress but is still being utilized by only a small portion of young people being treated with antipsychotics, according to the study. Olfson pointed out that more research is needed to determine the factors that are currently impeding access to psychotherapy for children and teens in need of it.""><b>Finding A:</b></span> Psychotherapy has made progress but is still being utilized by only a small portion of young people being treated with antipsychotics, according to the study.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Among antipsychotic-treated children and adolescents with mental disorder claims, the most common diagnosis was ADHD (younger children, 52.5%; older children, 60.1%; adolescents, 34.9%), while depression was the most common diagnosis among young adults (34.5%), followed by bipolar (26.6%) and anxiety disorders (22.9%). Less than one-fourth of the patients in each of the age groups had an outpatient claim for psychotherapy (younger children, 13.5%; older children, 20.4%; adolescents, 24.8%; young adults, 18.8%) ( Table 4) . In contrast with earlier reports 7-9 of increasing antipsychotic treatment of US children through the early 2000s, the percentage of children treated with antipsychotics was lower in 2010 than in 2006.""><b>Finding B:</b></span> Less than one-fourth of the patients in each of the age groups had an outpatient claim for psychotherapy (younger children, 13.5%; older children, 20.4%; adolescents, 24.8%; young adults, 18.8%) ( Table 4) ."						1																
60c4e0103b1fe901a8bc4839	test_question_testing_They are at the same level of generality	<b>Finding A:</b> Magnesium potentially has many health benefits.<br><b>Finding B:</b> This is a test question, please select They are at the same level of generality.					3																	
60c4e0103b1fe901a8bc4839	Medicine_456	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Whether in a marriage or a casual fling, sex should always be consensual with respectable boundaries. Findings revealed that for many, anal heterosex appeared to be ""painful, risky and coercive, particularly for women."" Meanwhile, male partners often talked of their expectations to coerce reluctant partners.""><b>Finding A:</b></span> Findings revealed that for many, anal heterosex appeared to be ""painful, risky and coercive, particularly for women.""<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Even Alicia's narrative contains some of the apparently coercive features of anal sex that other women report in negative terms, despite Alicia reporting enjoying anal sex. Fourth, anal sex today appears to be a marker of (hetero)sexual achievement or experience, particularly for men. The society which our interviewees inhabit seems to reward men for sexual experience per se ('every hole's a goal') and, to some extent, rewards women for compliance with sexually 'adventurous' acts (enjoyment signifying not being naive, unrelaxed, etc), although women must balance this with the risk to their reputation.""><b>Finding B:</b></span> Fourth, anal sex today appears to be a marker of (hetero)sexual achievement or experience, particularly for men."						1																
60c4e0103b1fe901a8bc4839	Medicine_409	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: We also found that T-cell senescence is associated with systemic inflammation and alters hepatic glucose homeostasis. The rational modulation of T-cell senescence would be a promising avenue for the treatment or prevention of diabetes. Post a comment; thoughtful, considered opinions are valued.""><b>Finding A:</b></span> The rational modulation of T-cell senescence would be a promising avenue for the treatment or prevention of diabetes.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: In addition, we demonstrated that these CD8 + CD28 − T cells reside within the liver and are more numerous in the liver of aged and HFD-fed mice. These suggest that T-cell senescence-mediated reprogramming of metabolic pathways may be associated with development of diabetes and its complications, as well as other aging-related diseases. • In conclusion, we identified a link between the numbers and secretion of effector molecules by senescent T cells, and blood glucose status, in humans and mice.""><b>Finding B:</b></span> These suggest that T-cell senescence-mediated reprogramming of metabolic pathways may be associated with development of diabetes and its complications, as well as other aging-related diseases."				2																		
60c4e0103b1fe901a8bc4839	Medicine_49	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: ""This is a good example of how the study of a rare genetic disease can reveal a pathway that plays a key role in human biology,"" says study co-senior author Benjamin Cravatt, professor and chair of the Department of Chemical Physiology at Scripps Research. The team found that in adult mice, reducing ABHD12 activity with the inhibitor led to a rise in lyso-PS in immune cells called macrophages, as well as in brain tissue. The rise wasn't as great as that seen in the ABHD12-knockout mice, and even four weeks of treatment with the inhibitor appeared to cause only slight hearing defects -- nothing like the profound defects experienced by PHARC patients.""><b>Finding A:</b></span> The team found that in adult mice, reducing ABHD12 activity with the inhibitor led to a rise in lyso-PS in immune cells called macrophages, as well as in brain tissue.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: ), which adopt a more macrophage-like cell state compared to undifferentiated THP-1 cells. We also found that DO264 inhibits ABHD12 activity ( Supplementary Fig. 16 ) and alters lyso-PS and PS content in primary human macrophages, which showed elevations in both lyso-PS and 20:4 PS following 4 or 24 h treatment with DO264 (1 µ M), but not (S)-DO271 (1 µ M) ( Fig.""><b>Finding B:</b></span> We also found that DO264 inhibits ABHD12 activity ( Supplementary Fig."				2																		
60c4e0103b1fe901a8bc4839	Generalization Examples.html	Generalization Examples							I carefully went over the examples and the instructions.:::Yes															
60c4e0103b1fe901a8bc4839	test_question_testing_Finding B	<b>Finding A:</b> Magnesium potentially has many health benefits.<br><b>Finding B:</b> This is a test question, please select Finding B.				2																		
60c4e0103b1fe901a8bc4839	Medicine_tweet_29	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Metabolic phenotyping of plasma could be used to detect lung cancer in Belgian cohort. ""><b>Finding A:</b></span> Metabolic phenotyping of plasma could be used to detect lung cancer in Belgian cohort. <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: These findings indicate that lung cancer cells utilize at least some steps of the gluconeogenic pathway to adapt to low-glucose conditions as a result of insufficient blood flow. In conclusion, this paper validates 1 H-NMR metabolic phenotyping of blood plasma as a complementary tool to discriminate between patients with lung cancer and controls. Our findings indicate that metabolic alterations can already be detected in an early stage.""><b>Finding B:</b></span> In conclusion, this paper validates 1 H-NMR metabolic phenotyping of blood plasma as a complementary tool to discriminate between patients with lung cancer and controls."						1																
