id,num_of_labels
Medicine_tweet_101,3
Medicine_tweet_179,3
Medicine_46,3
Medicine_263,3
Medicine_tweet_92,3
Medicine_460,3
Medicine_tweet_10,3
Medicine_tweet_176,3
Medicine_23,3
Medicine_170,3
Medicine_tweet_9,3
Medicine_tweet_81,3
Medicine_82,3
Medicine_179,3
Medicine_161,3
Medicine_tweet_150,3
Medicine_5,3
Medicine_444,3
Medicine_167,3
Medicine_373,3
Medicine_tweet_153,3
Medicine_31,3
Medicine_437,3
Medicine_tweet_2,3
Medicine_tweet_210,3
Medicine_106,3
Medicine_396,3
Medicine_tweet_52,3
Medicine_24,3
Medicine_tweet_206,3
Medicine_tweet_157,3
Medicine_tweet_110,3
Medicine_86,3
Medicine_190,3
Medicine_13,3
Medicine_tweet_31,3
Medicine_tweet_32,4
Medicine_95,4
Medicine_tweet_183,4
Medicine_340,4
Medicine_tweet_58,4
Medicine_tweet_138,4
Medicine_53,4
Medicine_tweet_28,4
Medicine_tweet_97,4
Medicine_430,4
Medicine_tweet_43,4
Medicine_79,4
Medicine_tweet_244,3
Medicine_228,3
Medicine_4,3
Medicine_503,3
Medicine_tweet_164,3
Medicine_63,3
Medicine_tweet_143,3
Medicine_44,3
Medicine_122,3
Medicine_29,3
Medicine_43,3
Medicine_tweet_73,3
Medicine_465,4
Medicine_238,4
Medicine_456,4
Medicine_409,4
Medicine_49,4
Medicine_tweet_29,4
Medicine_110,4
Medicine_tweet_79,4
Medicine_107,4
Medicine_tweet_30,4
Medicine_94,4
Medicine_41,4
Medicine_tweet_11,2
Medicine_128,2
Medicine_7,2
Medicine_27,2
Medicine_240,2
Medicine_tweet_19,2
Medicine_403,2
Medicine_216,2
Medicine_140,2
Medicine_19,2
Medicine_26,2
Medicine_tweet_59,2
Medicine_71,3
Medicine_tweet_85,3
Medicine_tweet_163,3
Medicine_tweet_213,3
Medicine_tweet_3,3
Medicine_tweet_38,3
Medicine_tweet_0,3
Medicine_tweet_18,3
Medicine_tweet_34,3
Medicine_tweet_20,3
Medicine_tweet_60,3
Medicine_50,3
Medicine_15,3
Medicine_tweet_13,3
Medicine_402,3
Medicine_104,3
Medicine_401,3
Medicine_3,3
Medicine_tweet_68,3
Medicine_268,3
Medicine_tweet_24,3
Medicine_56,3
Medicine_tweet_1,3
Medicine_tweet_298,3
Medicine_tweet_108,3
Medicine_tweet_14,3
Medicine_440,3
Medicine_tweet_8,3
Medicine_87,3
Medicine_tweet_61,3
Medicine_412,3
Medicine_36,3
Medicine_tweet_15,3
Medicine_417,3
Medicine_tweet_161,3
Medicine_42,3
Medicine_tweet_37,3
Medicine_337,3
Medicine_tweet_22,3
Medicine_125,3
Medicine_tweet_74,3
Medicine_66,3
Medicine_tweet_49,3
Medicine_92,3
Medicine_98,3
Medicine_507,3
Medicine_tweet_117,3
Medicine_294,3
Medicine_tweet_17,2
Medicine_tweet_76,2
Medicine_349,2
Medicine_279,2
Medicine_tweet_145,2
Medicine_11,2
Medicine_tweet_6,2
Medicine_112,2
Medicine_443,2
Medicine_52,2
Medicine_400,3
Medicine_350,3
Medicine_283,3
Medicine_1,3
Medicine_tweet_50,3
Medicine_tweet_170,3
Medicine_tweet_53,3
Medicine_410,3
Medicine_217,3
Medicine_tweet_63,3
Medicine_tweet_66,3
Medicine_282,3
Medicine_70,3
Medicine_425,3
Medicine_174,3
Medicine_239,3
Medicine_434,3
Medicine_429,3
Medicine_tweet_137,3
Medicine_16,3
Medicine_tweet_64,3
Medicine_119,3
Medicine_tweet_75,3
Medicine_21,3
Medicine_tweet_5,3
Medicine_72,3
Medicine_tweet_142,3
Medicine_458,3
Medicine_420,3
Medicine_418,3
Medicine_30,3
Medicine_422,3
Medicine_tweet_111,3
Medicine_346,3
Medicine_tweet_82,3
Medicine_353,3
Medicine_33,3
Medicine_tweet_159,3
Medicine_tweet_7,3
Medicine_8,3
Medicine_117,3
Medicine_34,3
Medicine_538,3
Medicine_419,3
Medicine_267,3
Medicine_tweet_23,3
Medicine_432,3
Medicine_214,3
Medicine_tweet_40,1
Medicine_tweet_42,3
Medicine_tweet_130,3
Medicine_100,3
Medicine_35,3
Medicine_215,3
Medicine_tweet_105,3
Medicine_38,3
Medicine_tweet_35,3
Medicine_tweet_136,3
Medicine_67,3
Medicine_438,3
Medicine_tweet_27,3
Medicine_75,3
Medicine_171,3
Medicine_tweet_88,3
Medicine_tweet_65,3
Medicine_tweet_47,3
Medicine_80,3
Medicine_25,3
Medicine_tweet_69,3
Medicine_435,3
Medicine_tweet_120,3
Medicine_tweet_151,3
Medicine_405,3
Medicine_tweet_162,3
Medicine_tweet_181,3
Medicine_537,3
Medicine_461,3
Medicine_tweet_173,3
Medicine_138,3
Medicine_12,3
Medicine_tweet_123,3
Medicine_147,3
Medicine_tweet_87,3
Medicine_234,3
Medicine_195,3
