user	instance_id	displayed_text	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes	Level-of-generality:::Finding B	Level-of-generality:::Finding A	Level-of-generality:::They are at the same level of generality	I carefully went over the examples and the instructions.:::Yes	How satisfied do you feel about your experience participating in our study?:::scale_3	How satisfied do you feel about your experience participating in our study?:::scale_5	How satisfied do you feel about your experience participating in our study?:::scale_2	How satisfied do you feel about your experience participating in our study?:::scale_4	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_1	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_4	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_3	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_5	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_2	How confident are you that you performed well in the task?:::scale_1	How confident are you that you performed well in the task?:::scale_4	How confident are you that you performed well in the task?:::scale_3	How confident are you that you performed well in the task?:::scale_5	How confident are you that you performed well in the task?:::scale_2	Please feel free to leave any comments about our study (optional):::text_box
60d602dfa49bf579c49988f5	Consent.html	Consent	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes																			
60d602dfa49bf579c49988f5	test_question_testing_Finding B	<b>Finding A:</b> Magnesium potentially has many health benefits.<br><b>Finding B:</b> This is a test question, please select Finding B.				2																		
60d602dfa49bf579c49988f5	Generalization Examples.html	Generalization Examples							I carefully went over the examples and the instructions.:::Yes															
5edd1cfb9a2ae09ff1250c9c	Consent.html	Consent	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes																			
5edd1cfb9a2ae09ff1250c9c	Experience.html	Experience											4				5						2	
5edd1cfb9a2ae09ff1250c9c	Computer_Science_70	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: But unlike rudeness among friends, discourteous behavior in the workplace can have real implications for careers, hiring and even workplace efficiency, with tension among coworkers harming productivity. A timely new study co-authored by Peter W. Cardon of the USC Marshall School of Business and colleagues at Howard University is the first to provide an empirical baseline for how attitudes towards mobile phone use actually break down across gender, age and region. Published today in the journal Business Communication Quarterly, the research offers a critical baseline for how attitudes toward technology may change over time and serves as a guide to navigating social expectations around polite smartphone use.""><b>Finding A:</b></span> A timely new study co-authored by Peter W. Cardon of the USC Marshall School of Business and colleagues at Howard University is the first to provide an empirical baseline for how attitudes towards mobile phone use actually break down across gender, age and region.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: It also equips instructors and trainers with a current set of statistics about norms of civility associated with various mobile phone behaviors in formal and informal meetings. Business communication instructors and trainers can use the tables and figures in this article to help business students and professionals gain awareness of some of the dramatic generational and gender differences. Showing these figures and tables can also foster productive conversations about how generation, gender, and status affect perceptions of appropriate mobile phone use in formal and informal settings.""><b>Finding B:</b></span> Showing these figures and tables can also foster productive conversations about how generation, gender, and status affect perceptions of appropriate mobile phone use in formal and informal settings."						3																
5edd1cfb9a2ae09ff1250c9c	Generalization Examples.html	Generalization Examples							I carefully went over the examples and the instructions.:::Yes															
5edd1cfb9a2ae09ff1250c9c	test_question_testing_Finding B	<b>Finding A:</b> Magnesium potentially has many health benefits.<br><b>Finding B:</b> This is a test question, please select Finding B.				2																		
5edd1cfb9a2ae09ff1250c9c	Computer_Science_410	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: ""Our method has wide range of applications in critical human systems, such as financial markets and military operations."" The research demonstrated that NPP is able to significantly outperform the current state-of-the-art methods in predicting node degree centrality. ""Our method, NPP, is helpful in the prediction of an individual's future importance because it reconciles the trade-offs between two important principles that drive the evolution of social networks -- preferential attachment and triadic closure,"" Chawla said.""><b>Finding A:</b></span> The research demonstrated that NPP is able to significantly outperform the current state-of-the-art methods in predicting node degree centrality.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Triad 3 is a stable sub-structure , as the propensity of attaching new links for the nodes having high occurrence frequencies in position 5 is relatively small. The empirical experiments reveal that NPP is able to provide more precise prediction of node's future degree centrality over baseline solutions. NPP is validated on four different social networks.""><b>Finding B:</b></span> The empirical experiments reveal that NPP is able to provide more precise prediction of node's future degree centrality over baseline solutions."						3																
5edd1cfb9a2ae09ff1250c9c	Computer_Science_400	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Additionally, the results from our study suggest that iPhones are capable of becoming an extension of our selves such that when separated, we experience a lessening of 'self' and a negative physiological state."" The team writes: ""The researchers found a significant increase in anxiety, heart rate and blood pressure levels, and a significant decrease in puzzle performance when the participants were separated from their iPhones as compared to when iPhone users completed similar word search puzzles while in possession of their iPhones."" The findings underpin just how addicted we've become to technology.""><b>Finding A:</b></span> The team writes: ""The researchers found a significant increase in anxiety, heart rate and blood pressure levels, and a significant decrease in puzzle performance when the participants were separated from their iPhones as compared to when iPhone users completed similar word search puzzles while in possession of their iPhones.""<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: It is interesting to note that self-reported feelings of unpleasantness and anxiety reflected participants' physiological responses such that perceived levels of unpleasantness and anxiety were greatest during iPhone separation. In contrast, when participants completed word-search puzzles with their iPhone in their possession, heart rate and blood pressure levels returned to baseline and cognitive performance increased. Again, self-reported feelings of unpleasantness and anxiety reflected participants' physiological responses such that perceived levels of unpleasantness and anxiety were lowest when participants were in possession of their iPhone.""><b>Finding B:</b></span> In contrast, when participants completed word-search puzzles with their iPhone in their possession, heart rate and blood pressure levels returned to baseline and cognitive performance increased."				2																		
