user	instance_id	displayed_text	changes-key-entity:::yes	changes-key-entity:::no	Level-of-generality:::no	Level-of-generality:::yes	how-certain-is-the-reported-finding:::Can't say	how-certain-is-the-reported-finding:::Uncertain	how-certain-is-the-reported-finding:::Somewhat certain	how-certain-is-the-reported-finding:::Certain	how-certain-is-the-paper-finding:::Can't say	how-certain-is-the-paper-finding:::Somewhat certain	how-certain-is-the-paper-finding:::Somewhat uncertain	how-certain-is-the-paper-finding:::Certain	reporting-is-sensational:::Mostly neutral, slightly sensational	reporting-is-sensational:::Neutral	reporting-is-sensational:::Sensational	paper-is-sensational:::Mostly neutral, slightly sensational	paper-is-sensational:::Neutral	paper-is-sensational:::Sensational	how-causal-is-the-reporting:::Causation	how-causal-is-the-reporting:::No relation is stated	how-causal-is-the-reporting:::Correlation	how-causal-is-the-paper-finding:::Causation	how-causal-is-the-paper-finding:::No relation is stated	how-causal-is-the-paper-finding:::Correlation	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes	How satisfied do you feel about your experience participating in our study?:::Satisfied	How satisfied do you feel about your experience participating in our study?:::Very satisfied	How satisfied do you feel about your experience participating in our study?:::Not satisfied	How do you feel about your experience participating in our study compared with other studies?:::Better than others	How do you feel about your experience participating in our study compared with other studies?:::Worse than others	How do you feel about your experience participating in our study compared with other studies?:::Much better than others	I carefully went over the examples and the instructions.:::Yes	span_annotation:::Words indicating uncertainty	span_annotation:::Generalization	span_annotation:::Added element in reported finding.	span_annotation:::Sensational language	span_annotation:::Causation	span_annotation:::Missing element from the reported finding.	span_annotation:::Words indicating certainty	span_annotation:::Correlation
615f220d7dcbf05838b05d2f	Medicine_434	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: It could be the other way around for a minority of individuals, that is, when exposure to alcohol has led to cognitive impairment, but this is less likely to be found among young persons of course. We found that lower results on IQ tests in Swedish adolescent men are associated with a higher consumption of alcohol, measured in both terms of total intake and binge drinking, said Sjolund. It may be that a higher IQ results in healthier lifestyle choices.""><b>Reported Finding:</b></span> ""We found that lower results on IQ tests in Swedish adolescent men are associated with a higher consumption of alcohol, measured in both terms of total intake and binge drinking,"" said Sjolund.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: It should be noted that the authors report a skewed study population with regard to low socioeconomic position . They found a J-shaped association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ. A higher IQ was associated with being a rare, an occasional, and a moderate drinker, whereas there was a lower IQ for being a former drinker compared with being a lifetime abstainer.""><b>Paper Finding:</b></span> They found a J-shaped association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ."	1		2					5			2			1		2					2			2											[{'start': 753, 'end': 765, 'span': 'consumption ', 'annotation': 'Words indicating uncertainty'}, {'start': 1445, 'end': 1450, 'span': 'They ', 'annotation': 'Words indicating uncertainty'}, {'start': 1459, 'end': 1460, 'span': '-', 'annotation': 'Words indicating uncertainty'}]	[{'start': 701, 'end': 709, 'span': 'Swedish ', 'annotation': 'Generalization'}, {'start': 1450, 'end': 1456, 'span': 'found ', 'annotation': 'Generalization'}]	[{'start': 746, 'end': 753, 'span': 'higher ', 'annotation': 'Added element in reported finding.'}, {'start': 1460, 'end': 1467, 'span': 'shaped ', 'annotation': 'Added element in reported finding.'}, {'start': 1467, 'end': 1479, 'span': 'association ', 'annotation': 'Added element in reported finding.'}, {'start': 1487, 'end': 1497, 'span': 'frequency ', 'annotation': 'Added element in reported finding.'}, {'start': 1536, 'end': 1540, 'span': 'the ', 'annotation': 'Added element in reported finding.'}, {'start': 1540, 'end': 1546, 'span': 'daily ', 'annotation': 'Added element in reported finding.'}, {'start': 1546, 'end': 1555, 'span': 'drinkers ', 'annotation': 'Added element in reported finding.'}, {'start': 1563, 'end': 1570, 'span': 'lowest ', 'annotation': 'Added element in reported finding.'}]	[{'start': 820, 'end': 826, 'span': 'binge ', 'annotation': 'Sensational language'}]	[]	[]	[{'start': 1500, 'end': 1509, 'span': 'drinking ', 'annotation': 'Words indicating certainty'}]	[{'start': 768, 'end': 775, 'span': 'alcohol', 'annotation': 'Correlation'}, {'start': 789, 'end': 794, 'span': 'both ', 'annotation': 'Correlation'}]
615f220d7dcbf05838b05d2f	Medicine_tweet_37	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: A healthy diet seems to most benefit people with a genetic predisposition to #obesity
 @username #OA ""><b>Reported Finding:</b></span> A healthy diet seems to most benefit people with a genetic predisposition to #obesity
 @username #OA <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: These data indicate that improving adherence to healthy dietary patterns could attenuate the genetic association with weight gain. Moreover, the beneficial effect of improved diet quality on weight management was particularly pronounced in people at high genetic risk for obesity. Weights reported in questionnaires and measured by technicians were highly correlated (r=0.97 in both studies) in a validation subsample.""><b>Paper Finding:</b></span> Moreover, the beneficial effect of improved diet quality on weight management was particularly pronounced in people at high genetic risk for obesity."		2		1		1						5		1		2			3					2											[{'start': 318, 'end': 324, 'span': 'seems ', 'annotation': 'Words indicating uncertainty'}]	[{'start': 327, 'end': 332, 'span': 'most ', 'annotation': 'Generalization'}]	[{'start': 1029, 'end': 1038, 'span': 'improved ', 'annotation': 'Added element in reported finding.'}]	[{'start': 1113, 'end': 1118, 'span': 'high ', 'annotation': 'Sensational language'}]	[{'start': 381, 'end': 388, 'span': 'obesity', 'annotation': 'Causation'}]	[{'start': 354, 'end': 362, 'span': 'genetic ', 'annotation': 'Missing element from the reported finding.'}]	[{'start': 1089, 'end': 1100, 'span': 'pronounced ', 'annotation': 'Words indicating certainty'}]	[{'start': 1054, 'end': 1061, 'span': 'weight ', 'annotation': 'Correlation'}]
615f220d7dcbf05838b05d2f	Consent.html	Consent																									I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes								[]	[]	[]	[]	[]	[]	[]	[]
615f220d7dcbf05838b05d2f	Medicine_tweet_43	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Thrilled that our new paper is out @username:  In this work with Dan Schacter and @username, we show that episodic simulations can form real-life attitudes and how this is supported by affective representations in the vmPFC. 1/5 ""><b>Reported Finding:</b></span> Thrilled that our new paper is out @username:  In this work with Dan Schacter and @username, we show that episodic simulations can form real-life attitudes and how this is supported by affective representations in the vmPFC. 1/5 <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Such evaluative conditioning forms attitudes by changing the liking of the CS to align with the valence of the UCS . By this process, episodic simulations modify attitudes toward the very elements that the simulations had been based on, thus influencing how we evaluate our real-life environment. Our hypothesis assigns a key role to the vmPFC in mediating such presumed attitude change.""><b>Paper Finding:</b></span> By this process, episodic simulations modify attitudes toward the very elements that the simulations had been based on, thus influencing how we evaluate our real-life environment."	1			1				5			2				3	2			3					2											[{'start': 1255, 'end': 1262, 'span': 'modify ', 'annotation': 'Words indicating uncertainty'}]	[{'start': 536, 'end': 545, 'span': 'episodic ', 'annotation': 'Generalization'}]	[{'start': 495, 'end': 499, 'span': 'Dan ', 'annotation': 'Added element in reported finding.'}]	[{'start': 430, 'end': 439, 'span': 'Thrilled ', 'annotation': 'Sensational language'}]	[{'start': 576, 'end': 586, 'span': 'attitudes ', 'annotation': 'Causation'}]	[{'start': 561, 'end': 566, 'span': 'form ', 'annotation': 'Missing element from the reported finding.'}, {'start': 594, 'end': 599, 'span': 'this ', 'annotation': 'Missing element from the reported finding.'}, {'start': 602, 'end': 612, 'span': 'supported ', 'annotation': 'Missing element from the reported finding.'}, {'start': 625, 'end': 641, 'span': 'representations ', 'annotation': 'Missing element from the reported finding.'}, {'start': 1283, 'end': 1288, 'span': 'very ', 'annotation': 'Missing element from the reported finding.'}, {'start': 1327, 'end': 1333, 'span': 'based ', 'annotation': 'Missing element from the reported finding.'}, {'start': 1333, 'end': 1335, 'span': 'on', 'annotation': 'Missing element from the reported finding.'}, {'start': 1337, 'end': 1342, 'span': 'thus ', 'annotation': 'Missing element from the reported finding.'}, {'start': 1342, 'end': 1354, 'span': 'influencing ', 'annotation': 'Missing element from the reported finding.'}, {'start': 1358, 'end': 1361, 'span': 'we ', 'annotation': 'Missing element from the reported finding.'}, {'start': 1361, 'end': 1370, 'span': 'evaluate ', 'annotation': 'Missing element from the reported finding.'}, {'start': 1370, 'end': 1374, 'span': 'our ', 'annotation': 'Missing element from the reported finding.'}, {'start': 1384, 'end': 1395, 'span': 'environment', 'annotation': 'Missing element from the reported finding.'}]	[{'start': 526, 'end': 531, 'span': 'show ', 'annotation': 'Words indicating certainty'}]	[{'start': 1354, 'end': 1358, 'span': 'how ', 'annotation': 'Correlation'}]
615f220d7dcbf05838b05d2f	Experience.html	Experience																												How satisfied do you feel about your experience participating in our study?:::Satisfied			How do you feel about your experience participating in our study compared with other studies?:::Better than others				[]	[]	[]	[]	[]	[]	[]	[]
615f220d7dcbf05838b05d2f	Medicine_tweet_2	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Is Diet Quality Associated With Later Risk for Dementia?
@username 

While usual limitations of observational studies like this apply, this analysis suggests eating a healthier diet assessed at midlife was not associated w/subsequent risk for #dementia.""><b>Reported Finding:</b></span> Is Diet Quality Associated With Later Risk for Dementia?
@username 

While usual limitations of observational studies like this apply, this analysis suggests eating a healthier diet assessed at midlife was not associated w/subsequent risk for #dementia.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Fourth, as with all observational studies, it was not possible to rule out residual confounding. In this long-term prospective cohort study, diet quality assessed during midlife was not significantly associated with subsequent risk for dementia. The validity and reliability of this version of the FFQ in terms of nutrient and food consumption has been documented in detail both in this cohort and in another independent study in the United Kingdom.""><b>Paper Finding:</b></span> In this long-term prospective cohort study, diet quality assessed during midlife was not significantly associated with subsequent risk for dementia."	1			1		1						5			3	2					2	3													[{'start': 457, 'end': 460, 'span': 'Is ', 'annotation': 'Words indicating uncertainty'}]	[]	[{'start': 465, 'end': 473, 'span': 'Quality ', 'annotation': 'Added element in reported finding.'}]	[{'start': 541, 'end': 553, 'span': 'limitations ', 'annotation': 'Sensational language'}]	[{'start': 1377, 'end': 1382, 'span': 'diet ', 'annotation': 'Causation'}]	[{'start': 1363, 'end': 1370, 'span': 'cohort ', 'annotation': 'Missing element from the reported finding.'}, {'start': 1370, 'end': 1375, 'span': 'study', 'annotation': 'Missing element from the reported finding.'}]	[{'start': 1390, 'end': 1399, 'span': 'assessed ', 'annotation': 'Words indicating certainty'}]	[{'start': 473, 'end': 484, 'span': 'Associated ', 'annotation': 'Correlation'}]
60d4b2c2f8ec648ad7bd7a21	Consent.html	Consent																									I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes								[]	[]	[]	[]	[]	[]	[]	[]
60d4b2c2f8ec648ad7bd7a21	Medicine_tweet_179	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: The association of stress disorders with increased risk of autoimmune diseases across 41 conditions @username 
 ""><b>Reported Finding:</b></span> The association of stress disorders with increased risk of autoimmune diseases across 41 conditions @username 
 <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: A score of zero shows no comorbidities; the higher the score, the more likely the predicted outcome will result in mortality or higher medical resource use. Restricting to participants with more than 5 years of followup, patients with stress-related disorders had a higher cumulative incidence of autoimmune diseases compared with their matched unexposed individuals across the follow-up period (eFigure3intheSupplement). Additional adjustment for medical surveillance level yielded somewhat lower point estimates (eTable 6 in the Supplement) while changing the definitions for history of other psychiatric disorders and autoimmune disease, and the extension of the lag-time period yielded similar results (eTables 7 and 8 in the Supplement).""><b>Paper Finding:</b></span> Restricting to participants with more than 5 years of followup, patients with stress-related disorders had a higher cumulative incidence of autoimmune diseases compared with their matched unexposed individuals across the follow-up period (eFigure3intheSupplement)."		2		1			4			4				1			1				2			2											[]	[{'start': 393, 'end': 413, 'span': 'across 41 conditions', 'annotation': 'Generalization'}]	[]	[]	[]	[]	[{'start': 355, 'end': 369, 'span': 'increased risk', 'annotation': 'Words indicating certainty'}, {'start': 1443, 'end': 1455, 'span': 'had a higher', 'annotation': 'Words indicating certainty'}]	[{'start': 318, 'end': 349, 'span': 'association of stress disorders', 'annotation': 'Correlation'}, {'start': 1413, 'end': 1441, 'span': 'with stress-related disorder', 'annotation': 'Correlation'}]
60d4b2c2f8ec648ad7bd7a21	Medicine_444	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Also, during testing with humans, they found that observers with dichromatic vision (color blindness) took longer to spot strongly colored animals. Those with trichromatic (normal) vision, on the other hand, were very good at breaking camouflage. They suggest their network could be a useful tool for better understanding the role color plays with animals living in the natural world.""><b>Reported Finding:</b></span> Those with trichromatic (normal) vision, on the other hand, were very good at breaking camouflage.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Consequently this does not account for the difference between simulated dichromat and trichromat reaction times. The result, that trichromatic vision is more effective at breaking camouflage, seems to run counter to oft-quoted temperate forest trichromat temperate forest dichromat semi-arid desert trichromat semi-arid desert dichromat historical accounts of the military value of dichromatic observers and contemporary theories for the maintenance of visual pigment polymorphisms in many New World monkey species . This view seems to be confirmed by a brief survey of the literature.""><b>Paper Finding:</b></span> The result, that trichromatic vision is more effective at breaking camouflage, seems to run counter to oft-quoted temperate forest trichromat temperate forest dichromat semi-arid desert trichromat semi-arid desert dichromat historical accounts of the military value of dichromatic observers and contemporary theories for the maintenance of visual pigment polymorphisms in many New World monkey species ."		2		1	3				3					1		2				1			1												[]	[{'start': 586, 'end': 624, 'span': 'hose with trichromatic (normal) vision', 'annotation': 'Generalization'}]	[]	[{'start': 1539, 'end': 1562, 'span': 'to oft-quoted temperate', 'annotation': 'Sensational language'}, {'start': 1570, 'end': 1618, 'span': 'trichromat temperate forest dichromat semi-arid ', 'annotation': 'Sensational language'}]	[]	[]	[]	[]
60d4b2c2f8ec648ad7bd7a21	Medicine_417	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: This may explain why pride is a target of righteous indignation around the world. ""A careful mapping of this emotion suggests a different view, however,"" he continues. ""Pride appears to be an elegantly engineered emotion: It makes you pursue socially valued courses of action, and it facilitates the gains in esteem that make those actions worth pursuing.""""><b>Reported Finding:</b></span> ""Pride appears to be an elegantly engineered emotion: It makes you pursue socially valued courses of action, and it facilitates the gains in esteem that make those actions worth pursuing.""<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Further, pride is specific to audience valuation: Emotions that co-activate with pride, such as happiness and excitement, do not track audience valuation uniquely and reliably. This suggests that pride, rather than other positive emotions, is distinctively involved in social valuation. Further evidence to demonstrate domain-specificity is needed, however.""><b>Paper Finding:</b></span> This suggests that pride, rather than other positive emotions, is distinctively involved in social valuation."	1		2				4		3				2				1		3					2											[]	[]	[{'start': 760, 'end': 777, 'span': 'courses of action', 'annotation': 'Added element in reported finding.'}, {'start': 802, 'end': 817, 'span': 'gains in esteem', 'annotation': 'Added element in reported finding.'}]	[{'start': 694, 'end': 714, 'span': 'elegantly engineered', 'annotation': 'Sensational language'}]	[{'start': 727, 'end': 743, 'span': 'makes you pursue', 'annotation': 'Causation'}]	[]	[{'start': 677, 'end': 690, 'span': 'appears to be', 'annotation': 'Words indicating certainty'}, {'start': 1386, 'end': 1400, 'span': 'This suggests ', 'annotation': 'Words indicating certainty'}]	[{'start': 1412, 'end': 1447, 'span': 'rather than other positive emotions', 'annotation': 'Correlation'}]
