user	instance_id	displayed_text	changes-key-entity:::yes	changes-key-entity:::no	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes	How satisfied do you feel about your experience participating in our study?:::scale_5	How satisfied do you feel about your experience participating in our study?:::scale_3	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_2	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_5	How confident are you that you performed well in the task?:::scale_5	How confident are you that you performed well in the task?:::scale_1	Please feel free to leave any comments about our study (optional):::text_box	I carefully went over the examples and the instructions.:::Yes	span_annotation:::Missing element from the reported finding.	span_annotation:::Added element in reported finding.
roman	Medicine_tweet_43	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Thrilled that our new paper is out @username:  In this work with Dan Schacter and @username, we show that episodic simulations can form real-life attitudes and how this is supported by affective representations in the vmPFC. 1/5 ""><b>Reported Finding:</b></span> Thrilled that our new paper is out @username:  In this work with Dan Schacter and @username, we show that episodic simulations can form real-life attitudes and how this is supported by affective representations in the vmPFC. 1/5 <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Such evaluative conditioning forms attitudes by changing the liking of the CS to align with the valence of the UCS . By this process, episodic simulations modify attitudes toward the very elements that the simulations had been based on, thus influencing how we evaluate our real-life environment. Our hypothesis assigns a key role to the vmPFC in mediating such presumed attitude change.""><b>Paper Finding:</b></span> By this process, episodic simulations modify attitudes toward the very elements that the simulations had been based on, thus influencing how we evaluate our real-life environment."		2												[]	[]
roman	Medicine_417	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: This may explain why pride is a target of righteous indignation around the world. ""A careful mapping of this emotion suggests a different view, however,"" he continues. ""Pride appears to be an elegantly engineered emotion: It makes you pursue socially valued courses of action, and it facilitates the gains in esteem that make those actions worth pursuing.""""><b>Reported Finding:</b></span> ""Pride appears to be an elegantly engineered emotion: It makes you pursue socially valued courses of action, and it facilitates the gains in esteem that make those actions worth pursuing.""<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Further, pride is specific to audience valuation: Emotions that co-activate with pride, such as happiness and excitement, do not track audience valuation uniquely and reliably. This suggests that pride, rather than other positive emotions, is distinctively involved in social valuation. Further evidence to demonstrate domain-specificity is needed, however.""><b>Paper Finding:</b></span> This suggests that pride, rather than other positive emotions, is distinctively involved in social valuation."	1													[{'start': 1430, 'end': 1447, 'span': 'positive emotions', 'annotation': 'Missing element from the reported finding.'}]	[]
roman	Medicine_tweet_37	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: A healthy diet seems to most benefit people with a genetic predisposition to #obesity
 @username #OA ""><b>Reported Finding:</b></span> A healthy diet seems to most benefit people with a genetic predisposition to #obesity
 @username #OA <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: These data indicate that improving adherence to healthy dietary patterns could attenuate the genetic association with weight gain. Moreover, the beneficial effect of improved diet quality on weight management was particularly pronounced in people at high genetic risk for obesity. Weights reported in questionnaires and measured by technicians were highly correlated (r=0.97 in both studies) in a validation subsample.""><b>Paper Finding:</b></span> Moreover, the beneficial effect of improved diet quality on weight management was particularly pronounced in people at high genetic risk for obesity."		2												[]	[]
roman	test_question_testing_Paper Finding	<b>Reported Finding:</b> Magnesium potentially has many health benefits.<br><b>Paper Finding:</b> This is a test question, please select Paper Finding. Do not mark any words or phrases.		2												[]	[]
roman	Medicine_434	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: It could be the other way around for a minority of individuals, that is, when exposure to alcohol has led to cognitive impairment, but this is less likely to be found among young persons of course. We found that lower results on IQ tests in Swedish adolescent men are associated with a higher consumption of alcohol, measured in both terms of total intake and binge drinking, said Sjolund. It may be that a higher IQ results in healthier lifestyle choices.""><b>Reported Finding:</b></span> ""We found that lower results on IQ tests in Swedish adolescent men are associated with a higher consumption of alcohol, measured in both terms of total intake and binge drinking,"" said Sjolund.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: It should be noted that the authors report a skewed study population with regard to low socioeconomic position . They found a J-shaped association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ. A higher IQ was associated with being a rare, an occasional, and a moderate drinker, whereas there was a lower IQ for being a former drinker compared with being a lifetime abstainer.""><b>Paper Finding:</b></span> They found a J-shaped association between frequency of drinking and IQ test results, where the daily drinkers had the lowest IQ."	1													[{'start': 1458, 'end': 1478, 'span': 'J-shaped association', 'annotation': 'Missing element from the reported finding.'}]	[{'start': 672, 'end': 673, 'span': 'l', 'annotation': 'Added element in reported finding.'}, {'start': 673, 'end': 685, 'span': 'ower results', 'annotation': 'Added element in reported finding.'}]
roman	Consent.html	Consent			I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes									[]	[]
roman	Experience.html	Experience							3	2			1	that was hard...		[]	[]
roman	Medicine_tweet_179	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: The association of stress disorders with increased risk of autoimmune diseases across 41 conditions @username 
 ""><b>Reported Finding:</b></span> The association of stress disorders with increased risk of autoimmune diseases across 41 conditions @username 
 <br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: A score of zero shows no comorbidities; the higher the score, the more likely the predicted outcome will result in mortality or higher medical resource use. Restricting to participants with more than 5 years of followup, patients with stress-related disorders had a higher cumulative incidence of autoimmune diseases compared with their matched unexposed individuals across the follow-up period (eFigure3intheSupplement). Additional adjustment for medical surveillance level yielded somewhat lower point estimates (eTable 6 in the Supplement) while changing the definitions for history of other psychiatric disorders and autoimmune disease, and the extension of the lag-time period yielded similar results (eTables 7 and 8 in the Supplement).""><b>Paper Finding:</b></span> Restricting to participants with more than 5 years of followup, patients with stress-related disorders had a higher cumulative incidence of autoimmune diseases compared with their matched unexposed individuals across the follow-up period (eFigure3intheSupplement)."		2												[]	[]
roman	Key-variables Examples.html	variables Examples													I carefully went over the examples and the instructions.:::Yes	[]	[]
roman	Medicine_tweet_2	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Reporting context: Is Diet Quality Associated With Later Risk for Dementia?
@username 

While usual limitations of observational studies like this apply, this analysis suggests eating a healthier diet assessed at midlife was not associated w/subsequent risk for #dementia.""><b>Reported Finding:</b></span> Is Diet Quality Associated With Later Risk for Dementia?
@username 

While usual limitations of observational studies like this apply, this analysis suggests eating a healthier diet assessed at midlife was not associated w/subsequent risk for #dementia.<br><span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Paper context: Fourth, as with all observational studies, it was not possible to rule out residual confounding. In this long-term prospective cohort study, diet quality assessed during midlife was not significantly associated with subsequent risk for dementia. The validity and reliability of this version of the FFQ in terms of nutrient and food consumption has been documented in detail both in this cohort and in another independent study in the United Kingdom.""><b>Paper Finding:</b></span> In this long-term prospective cohort study, diet quality assessed during midlife was not significantly associated with subsequent risk for dementia."		2												[]	[]
