DOI	id	News Finding	Paper Finding	News Context	Paper Context	scores	field	split	final_score	source	News URL	text
10.1146/annurev-publhealth-031914-122421	Medicine_tweet_210	"RT @username: ""Policy Dilemmas in #Latino Health Care and Implementation of the #ACA"" "	Research into health care disparities affecting Latinos will likely change rapidly during the next two decades because of two important policy and sociodemographic changes.	"RT @username: ""Policy Dilemmas in #Latino Health Care and Implementation of the #ACA"" "	Care 535 patient, provider, and system factors that explains such disparities . Research into health care disparities affecting Latinos will likely change rapidly during the next two decades because of two important policy and sociodemographic changes. First, the implementation of the ACA will provide new topics of inquiry, such as the identification of new areas of disparities in health care including those between eligible and ineligible Latino populations (e.g., documented versus undocumented immigrants) as well as those within eligible populations.	[4.0, 2.0, 4.0, 4.0, 4.0]	Medicine	train	3.6	tweets	566612924777893889	"<b>REPORTED FINDING:</b> RT @username: ""Policy Dilemmas in #Latino Health Care and Implementation of the #ACA"" <br>PAPER FINDING: Research into health care disparities affecting Latinos will likely change rapidly during the next two decades because of two important policy and sociodemographic changes."
10.1186/s12944-018-0743-3	Medicine_283	Circuit training is also a great way to improve your muscular endurance and strength.	In conclusion, I observed how circuit training at home can improve the calcaneus QUS status, such as QUS-SI, QUS-SOS, and QUS-BUA, as well as build muscle while losing fat mass through easy sports activities among young females.	"The benefits of circuit training

When it comes down to it, the benefits of circuit training are to burn fat and build muscle, Ryan says. Circuit training is also a great way to improve your muscular endurance and strength. Circuit training helps with building muscular endurance because there aren't any rests between exercises; you go from one move to the next."	Third, studies involving both sexes may be needed to clarify the sex-based differences in the effect of such exercise on the calcaneus QUS status. In conclusion, I observed how circuit training at home can improve the calcaneus QUS status, such as QUS-SI, QUS-SOS, and QUS-BUA, as well as build muscle while losing fat mass through easy sports activities among young females. These findings suggest that circuit training can help females attain significantly greater bone mass and muscle mass and may reduce their risk of osteoporosis or cardiovascular disease in later life.	[4.0, 3.0, 4.0, 4.0, 4.0]	Medicine	train	3.8	news	http://ct.moreover.com/?a=39028000354&p=1pl&v=1&x=rNZIkXnItgXmLxg4R0B21g	REPORTED FINDING: Circuit training is also a great way to improve your muscular endurance and strength.<br>PAPER FINDING: In conclusion, I observed how circuit training at home can improve the calcaneus QUS status, such as QUS-SI, QUS-SOS, and QUS-BUA, as well as build muscle while losing fat mass through easy sports activities among young females.
10.1001/jama.2018.20578	Medicine_tweet_117	"Meta-analysis evaluating aspirin for primary prevention in cardiovascular disease – the double-edged sword: NNT 265  (to prevent CV mortality/nonfatal MI + stroke); NNH 210 (major bleeding). #JAMA #CVD
 "	The current study demonstrates that the absolute risk reduction for cardiovascular events and absolute risk increase for major bleeding associated with aspirin use were of similar magnitude.	"Meta-analysis evaluating aspirin for primary prevention in cardiovascular disease – the double-edged sword: NNT 265  (to prevent CV mortality/nonfatal MI + stroke); NNH 210 (major bleeding). #JAMA #CVD
 "	6 This study showed that when analysis was restricted to populations with observation-derived 10-year cardiovascular event rate estimates of 10% or more, aspirin use was associated with an absolute risk decrease of 0.51% (5% CI, 0.06%-0.3%) for the cardiovascular composite outcome, but an absolute risk increase of 0.64% (5% CI, 0.35%-0.7%) for major bleeding. The current study demonstrates that the absolute risk reduction for cardiovascular events and absolute risk increase for major bleeding associated with aspirin use were of similar magnitude. Aspirin use was not associated with a reduction in cardiovascular mortality, and deaths due to bleeding were rare.	[3.0, 5.0, 2.0, 4.0]	Medicine	train	3.5	tweets	1087869932593926144	"REPORTED FINDING: Meta-analysis evaluating aspirin for primary prevention in cardiovascular disease – the double-edged sword: NNT 265  (to prevent CV mortality/nonfatal MI + stroke); NNH 210 (major bleeding). #JAMA #CVD
 <br>PAPER FINDING: The current study demonstrates that the absolute risk reduction for cardiovascular events and absolute risk increase for major bleeding associated with aspirin use were of similar magnitude."
10.1073/pnas.1515528113	Medicine_tweet_142	Cost-effectiveness of #hpv #vaccines: 	Therefore, both cervical cancer incidence and expenditure can be substantially reduced if the states coordinate policies to promote expansion of coverage, particularly for the new nonavalent vaccine.	Cost-effectiveness of #hpv #vaccines: 	Because of interstate migration and the long duration between HPV infection and resultant cervical cancer, much of the benefit of vaccination will be realized beyond a state's borders. Therefore, both cervical cancer incidence and expenditure can be substantially reduced if the states coordinate policies to promote expansion of coverage, particularly for the new nonavalent vaccine. Both of these vaccines are highly efficacious against HPV-16 and HPV-18 and are partially efficacious against other non-vaccine-targeted oncogenic serotypes .	[1.0, 4.0, 5.0, 4.0, 4.0]	Medicine	train	4.0	tweets	722389929796304896	REPORTED FINDING: Cost-effectiveness of #hpv #vaccines: <br>PAPER FINDING: Therefore, both cervical cancer incidence and expenditure can be substantially reduced if the states coordinate policies to promote expansion of coverage, particularly for the new nonavalent vaccine.
10.1038/s41541-019-0118-4	Medicine_tweet_157	So excited about my recent publication in @username on a #VLP vaccine targeting #Alzheimers #publishorperish Check it out here: 	Therefore, we believe that this report provides compelling evidence that a VLP-based immunotherapy approach can be beneficial in preventing tau pathology and could be applicable to diverse human tauopathies, such as Alzheimer's disease (AD), frontotemporal dementia (FTD), traumatic brain injury (TBI), and chronic traumatic encephalopathy (CTE).	So excited about my recent publication in @username on a #VLP vaccine targeting #Alzheimers #publishorperish Check it out here: 	Reduction in pathological consequences following this immunotherapy translated into improved cognitive function using well-established measurements of delay-dependent and spatial learning and memory tests. Therefore, we believe that this report provides compelling evidence that a VLP-based immunotherapy approach can be beneficial in preventing tau pathology and could be applicable to diverse human tauopathies, such as Alzheimer's disease (AD), frontotemporal dementia (FTD), traumatic brain injury (TBI), and chronic traumatic encephalopathy (CTE). In one example, pTau peptide (MAPT 9-8 , pS6/ 4) formulated with an adjuvant (Adju-Phos), induced taureactive antibodies, reduced MC1 and PHF1 positive neurons in the brains of TgP301L mice and rescued cognitive function.	[3.0, 4.0, 5.0, 5.0, 4.0]	Medicine	train	4.2	tweets	1135613881550745600	REPORTED FINDING: So excited about my recent publication in @username on a #VLP vaccine targeting #Alzheimers #publishorperish Check it out here: <br>PAPER FINDING: Therefore, we believe that this report provides compelling evidence that a VLP-based immunotherapy approach can be beneficial in preventing tau pathology and could be applicable to diverse human tauopathies, such as Alzheimer's disease (AD), frontotemporal dementia (FTD), traumatic brain injury (TBI), and chronic traumatic encephalopathy (CTE).
10.1001/jamapsychiatry.2015.0500	Medicine_tweet_183	Use of #antipsychotic meds increased among teens &amp; young adults from 2006-2010 but not among kids 12 or younger. 	This age profile refines earlier reports of steadily increasing rates of antipsychotic use across multiyear developmental categories of childhood to adolescence 28 to early adulthood.	Use of #antipsychotic meds increased among teens &amp; young adults from 2006-2010 but not among kids 12 or younger. 	There was a rise in antipsychotic use during childhood that extended into adolescence for females, followed by a plateau and a decline during the transition to early adulthood. This age profile refines earlier reports of steadily increasing rates of antipsychotic use across multiyear developmental categories of childhood to adolescence 28 to early adulthood. 29 A peak in antipsychotic use among males aged 11 to 17 years fits with treatment of conduct problems that commonly occur during adolescence.	[4.0, 3.0, 4.0]	Medicine	train	3.6666666666666665	tweets	616285498454183936	REPORTED FINDING: Use of #antipsychotic meds increased among teens &amp; young adults from 2006-2010 but not among kids 12 or younger. <br>PAPER FINDING: This age profile refines earlier reports of steadily increasing rates of antipsychotic use across multiyear developmental categories of childhood to adolescence 28 to early adulthood.
10.1001/jama.2018.20578	Medicine_tweet_0	This meta-analysis confirms that use of #aspirin for primary prevention of #cardiovasculardisease is associated with a lower risk of CV events including CV mortality and nonfatal AMI and #stroke, and an increased risk of major bleeding.  	Aspirin use was associated with significant reductions in the composite cardiovascular outcome compared with no aspirin (57.1 per 10 000 participant-years with aspirin and 61.4 per 10 000 participant-years with no aspirin) (hazard ratio CONCLUSIONS AND RELEVANCE The use of aspirin in individuals without cardiovascular disease was associated with a lower risk of cardiovascular events and an increased risk of major bleeding.	This meta-analysis confirms that use of #aspirin for primary prevention of #cardiovasculardisease is associated with a lower risk of CV events including CV mortality and nonfatal AMI and #stroke, and an increased risk of major bleeding.  	The median age of trial participants was 62 years (range, 53-74), 77 501 (47%) were men, 30 361 (19%) had diabetes, and the median baseline risk of the primary cardiovascular outcome was 9.2% (range, 2.6%-15.9%). Aspirin use was associated with significant reductions in the composite cardiovascular outcome compared with no aspirin (57.1 per 10 000 participant-years with aspirin and 61.4 per 10 000 participant-years with no aspirin) (hazard ratio CONCLUSIONS AND RELEVANCE The use of aspirin in individuals without cardiovascular disease was associated with a lower risk of cardiovascular events and an increased risk of major bleeding. This information may inform discussions with patients about aspirin for primary prevention of cardiovascular events and bleeding.	[5.0, 5.0, 5.0, 5.0]	Medicine	train	5.0	tweets	1087877579288297472	REPORTED FINDING: This meta-analysis confirms that use of #aspirin for primary prevention of #cardiovasculardisease is associated with a lower risk of CV events including CV mortality and nonfatal AMI and #stroke, and an increased risk of major bleeding.  <br>PAPER FINDING: Aspirin use was associated with significant reductions in the composite cardiovascular outcome compared with no aspirin (57.1 per 10 000 participant-years with aspirin and 61.4 per 10 000 participant-years with no aspirin) (hazard ratio CONCLUSIONS AND RELEVANCE The use of aspirin in individuals without cardiovascular disease was associated with a lower risk of cardiovascular events and an increased risk of major bleeding.
10.1126/sciadv.1700581	Medicine_267	"advertisement

Sobering findings

The team's results suggest that by the end of the century under a business-as-usual scenario, rainfall in Jordan will decrease by 30 percent, temperatures will increase by 6 degrees Celsius, and the number and duration of droughts will double."	The latter two drought types indicate the potential additional manifestations of precipitation deficit, rising temperature, and land-use change.	"The authors said this approach could better inform drought management by considering all vulnerabilities for people, agriculture and the environment. advertisement

Sobering findings

The team's results suggest that by the end of the century under a business-as-usual scenario, rainfall in Jordan will decrease by 30 percent, temperatures will increase by 6 degrees Celsius, and the number and duration of droughts will double. Flow from the Yarmouk River, an important source of water that flows from Syria, would decline by up to 75 percent."	Jordan cannot afford to be overly sanguine about the devastating consequences of droughts given preexisting regional vulnerabilities due to conflicts, immigration, dependence on transboundary river flow, and limited mitigation options . The latter two drought types indicate the potential additional manifestations of precipitation deficit, rising temperature, and land-use change. In both cases, Jordan receives a small fraction (about one-third) of transboundary flow than it relied upon in the prewar period 1980-2010.	[4.0, 5.0, 2.0, 3.0]	Medicine	train	4.0	news	https://www.sciencedaily.com/releases/2017/08/170830202128.htm	"REPORTED FINDING: advertisement

Sobering findings

The team's results suggest that by the end of the century under a business-as-usual scenario, rainfall in Jordan will decrease by 30 percent, temperatures will increase by 6 degrees Celsius, and the number and duration of droughts will double.<br>PAPER FINDING: The latter two drought types indicate the potential additional manifestations of precipitation deficit, rising temperature, and land-use change."
10.1001/jamainternmed.2017.7978	Medicine_tweet_15	#PreventingType2 #breastfeeding  @username  breastfeeding  duration is independently associated with lower incidence of diabetes. 	This study provides longitudinal biochemical evidence that lactation duration is independently associated with lower incidence of diabetes.	#PreventingType2 #breastfeeding  @username  breastfeeding  duration is independently associated with lower incidence of diabetes. 	There was no evidence of effect modification by race, GD, or parity. This study provides longitudinal biochemical evidence that lactation duration is independently associated with lower incidence of diabetes. Further investigation is required to elucidate mechanisms that may explain this relationship.	[2.0, 5.0, 4.0, 4.0]	Medicine	train	3.75	tweets	985972143929380865	REPORTED FINDING: #PreventingType2 #breastfeeding  @username  breastfeeding  duration is independently associated with lower incidence of diabetes. <br>PAPER FINDING: This study provides longitudinal biochemical evidence that lactation duration is independently associated with lower incidence of diabetes.
10.1016/j.jtho.2016.01.011	Medicine_tweet_29	Metabolic phenotyping of plasma could be used to detect lung cancer in Belgian cohort. 	In conclusion, this paper validates 1 H-NMR metabolic phenotyping of blood plasma as a complementary tool to discriminate between patients with lung cancer and controls.	Metabolic phenotyping of plasma could be used to detect lung cancer in Belgian cohort. 	These findings indicate that lung cancer cells utilize at least some steps of the gluconeogenic pathway to adapt to low-glucose conditions as a result of insufficient blood flow. In conclusion, this paper validates 1 H-NMR metabolic phenotyping of blood plasma as a complementary tool to discriminate between patients with lung cancer and controls. Our findings indicate that metabolic alterations can already be detected in an early stage.	[5.0, 3.0, 3.0, 4.0, 5.0]	Medicine	train	4.0	tweets	704624845577969664	REPORTED FINDING: Metabolic phenotyping of plasma could be used to detect lung cancer in Belgian cohort. <br>PAPER FINDING: In conclusion, this paper validates 1 H-NMR metabolic phenotyping of blood plasma as a complementary tool to discriminate between patients with lung cancer and controls.
